branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_id,provider,provider_label,symbol,timeframe,unit_label,status,trade_count,win_rate_pct,total_profit_pct,sharpe,join_status,rank_artifact,material_path,package_id
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,BTC,1h,OB/FVG fvg_retest_continuation_long_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-tradingviewremix-tvr-1h-v1.material.json,ob-fvg-fvg_retest_continuation_long_v1-tradingviewremix-tvr-1h-v1
TrendExpansion -> PullbackContinuation -> fair_value_gap_retest -> fvg_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,fair_value_gap_retest,fvg_retest_continuation_long_v1,fvg_retest_continuation_long_v1,yfinance/YF,yfinance/YF SPY 1h,SPY,1h,OB/FVG fvg_retest_continuation_long_v1 - yfinance/YF SPY 1h,completed,69,26.087,-12.59,-0.5693,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_retest_continuation_long_v1-yfinance-yf-1h-v1.material.json,ob-fvg-fvg_retest_continuation_long_v1-yfinance-yf-1h-v1
TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,TrendExpansion,PullbackContinuation,fvg_plus_order_block_confluence,ob_fvg_confluence_continuation_long_v1,ob_fvg_confluence_continuation_long_v1,Binance,Binance BTCUSDT 1h,BTC,1h,OB/FVG ob_fvg_confluence_continuation_long_v1 - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-binance-1h-v1.material.json,ob-fvg-ob_fvg_confluence_continuation_long_v1-binance-1h-v1
TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,TrendExpansion,PullbackContinuation,fvg_plus_order_block_confluence,ob_fvg_confluence_continuation_long_v1,ob_fvg_confluence_continuation_long_v1,Bybit,Bybit BTCUSDT 1h,BTC,1h,OB/FVG ob_fvg_confluence_continuation_long_v1 - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-bybit-1h-v1.material.json,ob-fvg-ob_fvg_confluence_continuation_long_v1-bybit-1h-v1
TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,TrendExpansion,PullbackContinuation,fvg_plus_order_block_confluence,ob_fvg_confluence_continuation_long_v1,ob_fvg_confluence_continuation_long_v1,IBKR,IBKR SPY 1h,SPY,1h,OB/FVG ob_fvg_confluence_continuation_long_v1 - IBKR SPY 1h,completed,81,24.6914,-4.93,-1.3032,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-ibkr-1h-v1.material.json,ob-fvg-ob_fvg_confluence_continuation_long_v1-ibkr-1h-v1
TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,TrendExpansion,PullbackContinuation,fvg_plus_order_block_confluence,ob_fvg_confluence_continuation_long_v1,ob_fvg_confluence_continuation_long_v1,Kraken,Kraken XBTUSD 1h,BTC,1h,OB/FVG ob_fvg_confluence_continuation_long_v1 - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-kraken-1h-v1.material.json,ob-fvg-ob_fvg_confluence_continuation_long_v1-kraken-1h-v1
TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,TrendExpansion,PullbackContinuation,fvg_plus_order_block_confluence,ob_fvg_confluence_continuation_long_v1,ob_fvg_confluence_continuation_long_v1,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,BTC,1h,OB/FVG ob_fvg_confluence_continuation_long_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-tradingviewremix-tvr-1h-v1.material.json,ob-fvg-ob_fvg_confluence_continuation_long_v1-tradingviewremix-tvr-1h-v1
TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,TrendExpansion,PullbackContinuation,fvg_plus_order_block_confluence,ob_fvg_confluence_continuation_long_v1,ob_fvg_confluence_continuation_long_v1,yfinance/YF,yfinance/YF SPY 1h,SPY,1h,OB/FVG ob_fvg_confluence_continuation_long_v1 - yfinance/YF SPY 1h,completed,41,31.7073,-1.86,-0.1012,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-yfinance-yf-1h-v1.material.json,ob-fvg-ob_fvg_confluence_continuation_long_v1-yfinance-yf-1h-v1
Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,Transition,RiskSuppression,failed_mitigation_guard,ob_fvg_failed_mitigation_guard_v1,ob_fvg_failed_mitigation_guard_v1,Binance,Binance BTCUSDT 1h,BTC,1h,OB/FVG ob_fvg_failed_mitigation_guard_v1 - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-binance-1h-v1.material.json,ob-fvg-ob_fvg_failed_mitigation_guard_v1-binance-1h-v1
Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,Transition,RiskSuppression,failed_mitigation_guard,ob_fvg_failed_mitigation_guard_v1,ob_fvg_failed_mitigation_guard_v1,Bybit,Bybit BTCUSDT 1h,BTC,1h,OB/FVG ob_fvg_failed_mitigation_guard_v1 - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-bybit-1h-v1.material.json,ob-fvg-ob_fvg_failed_mitigation_guard_v1-bybit-1h-v1
Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,Transition,RiskSuppression,failed_mitigation_guard,ob_fvg_failed_mitigation_guard_v1,ob_fvg_failed_mitigation_guard_v1,IBKR,IBKR SPY 1h,SPY,1h,OB/FVG ob_fvg_failed_mitigation_guard_v1 - IBKR SPY 1h,completed,7,28.5714,0.33,0.5197,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-ibkr-1h-v1.material.json,ob-fvg-ob_fvg_failed_mitigation_guard_v1-ibkr-1h-v1
Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,Transition,RiskSuppression,failed_mitigation_guard,ob_fvg_failed_mitigation_guard_v1,ob_fvg_failed_mitigation_guard_v1,Kraken,Kraken XBTUSD 1h,BTC,1h,OB/FVG ob_fvg_failed_mitigation_guard_v1 - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-kraken-1h-v1.material.json,ob-fvg-ob_fvg_failed_mitigation_guard_v1-kraken-1h-v1
Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,Transition,RiskSuppression,failed_mitigation_guard,ob_fvg_failed_mitigation_guard_v1,ob_fvg_failed_mitigation_guard_v1,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,BTC,1h,OB/FVG ob_fvg_failed_mitigation_guard_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-tradingviewremix-tvr-1h-v1.material.json,ob-fvg-ob_fvg_failed_mitigation_guard_v1-tradingviewremix-tvr-1h-v1
Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,Transition,RiskSuppression,failed_mitigation_guard,ob_fvg_failed_mitigation_guard_v1,ob_fvg_failed_mitigation_guard_v1,yfinance/YF,yfinance/YF SPY 1h,SPY,1h,OB/FVG ob_fvg_failed_mitigation_guard_v1 - yfinance/YF SPY 1h,completed,99,35.3535,1.86,0.091,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-yfinance-yf-1h-v1.material.json,ob-fvg-ob_fvg_failed_mitigation_guard_v1-yfinance-yf-1h-v1
TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,bullish_order_block_retest,order_block_retest_continuation_long_v1,order_block_retest_continuation_long_v1,Binance,Binance BTCUSDT 1h,BTC,1h,OB/FVG order_block_retest_continuation_long_v1 - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-binance-1h-v1.material.json,ob-fvg-order_block_retest_continuation_long_v1-binance-1h-v1
TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,bullish_order_block_retest,order_block_retest_continuation_long_v1,order_block_retest_continuation_long_v1,Bybit,Bybit BTCUSDT 1h,BTC,1h,OB/FVG order_block_retest_continuation_long_v1 - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-bybit-1h-v1.material.json,ob-fvg-order_block_retest_continuation_long_v1-bybit-1h-v1
TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,bullish_order_block_retest,order_block_retest_continuation_long_v1,order_block_retest_continuation_long_v1,IBKR,IBKR SPY 1h,SPY,1h,OB/FVG order_block_retest_continuation_long_v1 - IBKR SPY 1h,completed,71,32.3944,-2.42,-0.6318,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-ibkr-1h-v1.material.json,ob-fvg-order_block_retest_continuation_long_v1-ibkr-1h-v1
TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,bullish_order_block_retest,order_block_retest_continuation_long_v1,order_block_retest_continuation_long_v1,Kraken,Kraken XBTUSD 1h,BTC,1h,OB/FVG order_block_retest_continuation_long_v1 - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-kraken-1h-v1.material.json,ob-fvg-order_block_retest_continuation_long_v1-kraken-1h-v1
TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,bullish_order_block_retest,order_block_retest_continuation_long_v1,order_block_retest_continuation_long_v1,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,BTC,1h,OB/FVG order_block_retest_continuation_long_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-tradingviewremix-tvr-1h-v1.material.json,ob-fvg-order_block_retest_continuation_long_v1-tradingviewremix-tvr-1h-v1
TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,TrendExpansion,PullbackContinuation,bullish_order_block_retest,order_block_retest_continuation_long_v1,order_block_retest_continuation_long_v1,yfinance/YF,yfinance/YF SPY 1h,SPY,1h,OB/FVG order_block_retest_continuation_long_v1 - yfinance/YF SPY 1h,completed,36,33.3333,-3.69,-0.1759,matched_material_title,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/state/auto-quant/OBFVG_192258/auto_quant_agent_material_rank.20260512T114741.288Z.json,docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-yfinance-yf-1h-v1.material.json,ob-fvg-order_block_retest_continuation_long_v1-yfinance-yf-1h-v1
