candidate_status,source_report,source_url,block_id,trade_date,symbol,venue_or_market_center,market_family,aggregate_order_count_for_block,aggregate_flip_sequences_for_block,row_level_blocker
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-15,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-16,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-19,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_comex_copper_dec2011,2011-12-20,COMEX copper futures,COMEX / CME Globex,metals,1633,288,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_nymex_crude_may2012,2012-05-07,NYMEX crude oil futures,NYMEX / CME Globex,energy,1102,324,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_nymex_crude_may2012,2012-05-09,NYMEX crude oil futures,NYMEX / CME Globex,energy,1102,324,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_nymex_crude_may2012,2012-05-10,NYMEX crude oil futures,NYMEX / CME Globex,energy,1102,324,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_nymex_crude_may2012,2012-05-11,NYMEX crude oil futures,NYMEX / CME Globex,energy,1102,324,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_nymex_natural_gas_nov_dec2012,2012-11-30,NYMEX natural gas futures,NYMEX / CME Globex,energy,1574,330,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_nymex_natural_gas_nov_dec2012,2012-12-03,NYMEX natural gas futures,NYMEX / CME Globex,energy,1574,330,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_nymex_natural_gas_nov_dec2012,2012-12-04,NYMEX natural gas futures,NYMEX / CME Globex,energy,1574,330,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-19,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-20,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-21,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-22,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-25,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-26,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-27,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-02-28,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-01,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-04,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-05,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-06,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-07,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-11,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-12,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-18,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-19,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-20,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cfe_vix_feb_mar2013,2013-03-21,CFE VIX futures,CFE,volatility_index,284,89,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2013-06-11,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2013-06-12,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2013-12-16,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2013-12-17,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2013-12-18,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2013-12-19,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2014-01-06,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2014-01-07,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2014-01-08,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2014-01-09,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
date_level_context_only_not_accepted,GovInfo USCOURTS-ilnd-1_15-cv-09196 Document 195,https://www.govinfo.gov/content/pkg/USCOURTS-ilnd-1_15-cv-09196/pdf/USCOURTS-ilnd-1_15-cv-09196-1.pdf,oystacher_cme_es_jun_dec_jan2013_2014,2014-01-10,CME E-mini S&P 500 futures,CME Globex,equity_index_futures,614,285,no_exhibit_a_order_timestamp_appendix_in_public_govinfo_pdf
