package_id,provider,symbol,timeframe,branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,ote_retrace_ratio,data_path,data_rows,data_sha256,source_material,source_material_sha256,strategy_source_path,strategy_sha256,local_cache_replay,new_provider_fetch
ote-0618-ibkr-1h-v1,IBKR,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0618,ote_retrace_0618_continuation_v1,0.618,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv,1427,24fcdb5982d442bf20a8e66a47d93a2c1f32caf6bb7173c42333d6290a33c48c,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-ibkr-1h-v1.material.json,21c9f5c2d401c008fb30845e86c6780b4687a0410bec01cbe31662ca2239bb8e,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0618ContinuationV1.py,c4f5b684ee7dc6ec01d7c9c17705bbd9095428235a2442daf4832ebcdb9ffb48,true,false
ote-0618-tvr-btc-usd-1h-v1,TradingViewRemix/TVR,BTCUSD,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0618,ote_retrace_0618_continuation_v1,0.618,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv,719,907759881864aabc08c99ba56d1a5d5f459531298bc0a3c9632aab2a356d5e62,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-tvr-btc-usd-1h-v1.material.json,4790f51f371d55a81feceae173ee57713dddc6a63e1d319a2588525cb4cabc5a,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0618ContinuationV1.py,c4f5b684ee7dc6ec01d7c9c17705bbd9095428235a2442daf4832ebcdb9ffb48,true,false
ote-0705-yfinance-yf-1h-v1,yfinance/YF,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0.705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py,cbfacad84ec0d473bb487cfb69b1cf32f21f2cfcd93c4198b40074b469c42b9f,true,false
ote-0705-binance-1h-v1,Binance,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0.705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py,cbfacad84ec0d473bb487cfb69b1cf32f21f2cfcd93c4198b40074b469c42b9f,true,false
ote-0705-bybit-1h-v1,Bybit,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0.705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv,1000,5a9bb6955d0b847a5e210003d085f41f242300ea439c72a80f26d1e8abc28b5d,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-bybit-1h-v1.material.json,2b294bbea6ebaa2d81864fdc732304fd687e1d3744d69fca2fc3b09814d6cb2e,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py,cbfacad84ec0d473bb487cfb69b1cf32f21f2cfcd93c4198b40074b469c42b9f,true,false
ote-0705-kraken-1h-v1,Kraken,XBTUSD,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0.705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv,2000,0271dd42a2edbf299b8283a3929f34b52699703daa92cc3e7f430bb87750c539,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-kraken-1h-v1.material.json,138aac74ae414ea36fc6c1caf5f28c1a8e4ac54ddb81211093b511febfb72583,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py,cbfacad84ec0d473bb487cfb69b1cf32f21f2cfcd93c4198b40074b469c42b9f,true,false
ote-0705-ibkr-1h-v1,IBKR,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0.705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv,1427,24fcdb5982d442bf20a8e66a47d93a2c1f32caf6bb7173c42333d6290a33c48c,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-ibkr-1h-v1.material.json,21c9f5c2d401c008fb30845e86c6780b4687a0410bec01cbe31662ca2239bb8e,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py,cbfacad84ec0d473bb487cfb69b1cf32f21f2cfcd93c4198b40074b469c42b9f,true,false
ote-0705-tvr-btc-usd-1h-v1,TradingViewRemix/TVR,BTCUSD,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0705,ote_retrace_0705_continuation_v1,0.705,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv,719,907759881864aabc08c99ba56d1a5d5f459531298bc0a3c9632aab2a356d5e62,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-tvr-btc-usd-1h-v1.material.json,4790f51f371d55a81feceae173ee57713dddc6a63e1d319a2588525cb4cabc5a,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py,cbfacad84ec0d473bb487cfb69b1cf32f21f2cfcd93c4198b40074b469c42b9f,true,false
ote-0786-yfinance-yf-1h-v1,yfinance/YF,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0.786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv,2355,996b2f744b6c9f1ca2e630916cfbb6b9d1becdca8aa8709a004d225b2fe12b77,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-yfinance-yf-1h-v1.material.json,f1f93bbf3645744c81143bb84de5e5d23cba75c266c7bf94ac4bd50d00aeb0c9,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py,98398431e675b3ac1f932fd5841550155314791e8fc02eb18013af76539848bb,true,false
ote-0786-binance-1h-v1,Binance,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0.786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv,11905,e6a371a3334b83eb89fdfb0f2e8d9d794e93cddb0af894001f4537840fea5079,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-binance-1h-v1.material.json,ed86a685329629f3015d05bcff44d8fea00f95f4d3d64eacdf6a8144eb8a44b2,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py,98398431e675b3ac1f932fd5841550155314791e8fc02eb18013af76539848bb,true,false
ote-0786-bybit-1h-v1,Bybit,BTCUSDT,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0.786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv,1000,5a9bb6955d0b847a5e210003d085f41f242300ea439c72a80f26d1e8abc28b5d,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-bybit-1h-v1.material.json,2b294bbea6ebaa2d81864fdc732304fd687e1d3744d69fca2fc3b09814d6cb2e,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py,98398431e675b3ac1f932fd5841550155314791e8fc02eb18013af76539848bb,true,false
ote-0786-kraken-1h-v1,Kraken,XBTUSD,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0.786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv,2000,0271dd42a2edbf299b8283a3929f34b52699703daa92cc3e7f430bb87750c539,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-kraken-1h-v1.material.json,138aac74ae414ea36fc6c1caf5f28c1a8e4ac54ddb81211093b511febfb72583,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py,98398431e675b3ac1f932fd5841550155314791e8fc02eb18013af76539848bb,true,false
ote-0786-ibkr-1h-v1,IBKR,SPY,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0.786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv,1427,24fcdb5982d442bf20a8e66a47d93a2c1f32caf6bb7173c42333d6290a33c48c,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-ibkr-1h-v1.material.json,21c9f5c2d401c008fb30845e86c6780b4687a0410bec01cbe31662ca2239bb8e,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py,98398431e675b3ac1f932fd5841550155314791e8fc02eb18013af76539848bb,true,false
ote-0786-tvr-btc-usd-1h-v1,TradingViewRemix/TVR,BTCUSD,1h,TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TrendExpansion,PullbackContinuation,ote_retrace_0786,ote_retrace_0786_continuation_v1,0.786,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv,719,907759881864aabc08c99ba56d1a5d5f459531298bc0a3c9632aab2a356d5e62,docs/experiments/actionable-regime-confidence/runs/20260512T184332+0800-codex-session-liquidity-vwap-opening-range-six-provider-aq-v1/agent-material/session-liquidity-tvr-btc-usd-1h-v1.material.json,4790f51f371d55a81feceae173ee57713dddc6a63e1d319a2588525cb4cabc5a,docs/experiments/actionable-regime-confidence/runs/20260512T192000+0800-codex-ote-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py,98398431e675b3ac1f932fd5841550155314791e8fc02eb18013af76539848bb,true,false
