event_id,instrument_or_asset,venue_or_chain,event_start,event_end,is_manipulation_positive,manipulation_type,negative_control_type,chronological_split,source_id,source_url_or_private_ref
IDEX:0x87bbc5fe23574dc757ab818a9011cf6c18bf5066f57788e6dd2bd1fc147eae25,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T22:57:49Z,2017-09-27T22:57:50Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x5db1711b3ddc29fb8dcb6d9fce53d452a7938162092910111ffe0a5b1585fb45,0x0000000000000000000000000000000000000000/0xb29678a4805a7d787dc9589e179d27f7575bb9f7,IDEX/Ethereum,2018-01-18T16:39:31Z,2018-01-18T16:39:32Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x964402c1fb3c17c4ff133871f8dfe5b94726344deb0ca95c44b70614d79f7b62,0x0000000000000000000000000000000000000000/0xb29678a4805a7d787dc9589e179d27f7575bb9f7,IDEX/Ethereum,2018-01-18T16:39:31Z,2018-01-18T16:39:32Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x20a97e94f700d6c6db7a99c6c1e4fd678e253f5100def70d4c4e1f64564ed45d,0x9002d4485b7594e3e850f0a206713b305113f69e/0x0000000000000000000000000000000000000000,IDEX/Ethereum,2018-01-18T16:39:31Z,2018-01-18T16:39:32Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x75f1f8b406601a242e7fb9f7e285656b4d07410510c1355fd12a691c077ce9ed,0x0000000000000000000000000000000000000000/0xb29678a4805a7d787dc9589e179d27f7575bb9f7,IDEX/Ethereum,2018-01-18T16:39:31Z,2018-01-18T16:39:32Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x1a900971760a4f3138b505116b334aba5e3df204f494a773a832f9fe7ba79f82,0x0000000000000000000000000000000000000000/0xcdcfc0f66c522fd086a1b725ea3c0eeb9f9e8814,IDEX/Ethereum,2018-01-18T16:42:47Z,2018-01-18T16:42:48Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xdc18fc7542f7376d78e3347b14329e70f8abdfd772b141215b27d9bd82850462,0x7641b2ca9ddd58addf6e3381c1f994aac5f1a32f/0x0000000000000000000000000000000000000000,IDEX/Ethereum,2018-01-18T20:53:00Z,2018-01-18T20:53:01Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xb03d5d66dfb1d88008063835f5581d5207e06f8db2ecc7221b78117f4f745ac0,0x0000000000000000000000000000000000000000/0xcdcfc0f66c522fd086a1b725ea3c0eeb9f9e8814,IDEX/Ethereum,2018-01-19T04:53:48Z,2018-01-19T04:53:49Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xb8b17bfe7f1c7e346251ff6eb57b6da3753e4aabc32d78ae019340f599efe014,0x4e005a760e00e17c4912a8070eec047cfecbabbb/0x0000000000000000000000000000000000000000,IDEX/Ethereum,2018-01-26T16:07:51Z,2018-01-26T16:07:52Z,false,none_negative_control,same_venue_non_self_trade_control,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x36daed586f5c575801ee60282a4ede1928d1e9df6406252d57011ff8ea6e1bff,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27/0x0000000000000000000000000000000000000000,IDEX/Ethereum,2018-01-26T16:07:51Z,2018-01-26T16:07:52Z,false,none_negative_control,same_venue_non_self_trade_control,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x73344fbe5a52162a9332eda829779e01f152310319376179b678378fbe18e018,0x0000000000000000000000000000000000000000/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,IDEX/Ethereum,2018-01-26T16:07:51Z,2018-01-26T16:07:52Z,false,none_negative_control,same_venue_non_self_trade_control,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x80f4c7f2f6f6d94b9bd4a5b375f7657ff546fb58c83462641f42c53997481e2c,0x0000000000000000000000000000000000000000/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,IDEX/Ethereum,2018-01-26T16:07:51Z,2018-01-26T16:07:52Z,false,none_negative_control,same_venue_non_self_trade_control,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x3cb185291a20d4ba95f048a46a7998955cad1022dbef7a23bedbb3d4f44cebf4,0x0000000000000000000000000000000000000000/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,IDEX/Ethereum,2018-01-26T16:07:51Z,2018-01-26T16:07:52Z,false,none_negative_control,same_venue_non_self_trade_control,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x1169e77be6debc6aaf9e66c1dc1fa12c5fd9af62fd346ba8c008202dd919b775,0x0000000000000000000000000000000000000000/0x8a854288a5976036a725879164ca3e91d30c6a1b,IDEX/Ethereum,2018-01-26T17:30:35Z,2018-01-26T17:30:36Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0xc78775f47029d9b5b7176049929e3dacb8e537c35dd37fffbdcf05b0423ebfeb,0x0000000000000000000000000000000000000000/0x26d5bd2dfeda983ecd6c39899e69dae6431dffbb,IDEX/Ethereum,2018-01-26T18:22:46Z,2018-01-26T18:22:47Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x57a91f8cd009bff86cc56cd701d246c562aa3f99b3af691b4ae98e341b046568,0x0000000000000000000000000000000000000000/0x26d5bd2dfeda983ecd6c39899e69dae6431dffbb,IDEX/Ethereum,2018-01-26T18:22:46Z,2018-01-26T18:22:47Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x87897b4ba35d7d15f8e4cf036d0931bc71a926b03924936d8e2dc3e052bda147,0x0000000000000000000000000000000000000000/0x26d5bd2dfeda983ecd6c39899e69dae6431dffbb,IDEX/Ethereum,2018-01-26T18:25:47Z,2018-01-26T18:25:48Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
IDEX:0x3958b6923f785c48ba0aa34c5fa1633ef22b70cfee220739be787b7ee169c54c,0x0000000000000000000000000000000000000000/0x26d5bd2dfeda983ecd6c39899e69dae6431dffbb,IDEX/Ethereum,2018-01-26T18:27:49Z,2018-01-26T18:27:50Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,test,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; direct_signature=maker == taker
EtherDelta:0x48332867933b2d06e1fe38923f8501dcf3b2d3c6e21d012b562a510a5417a5e9,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-09T23:56:45Z,2017-02-09T23:56:46Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0xa9672e084623dc022479d8164208b4ea92e7be321014e82ba3588bf001433cc5,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T01:49:35Z,2017-02-10T01:49:36Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x3db87f8a18ce66e3d0745268b68462bca0fc49bee3eada07c2f578812fc497b3,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-10T06:59:16Z,2017-02-10T06:59:17Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x42c92f87034a1819238cd62dc124e01af6a5f2ce4feb7535fd6890519b642023,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T17:06:59Z,2017-02-10T17:07:00Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x0c7d0a9212966070a6f342697b1e0eda4058ec35a2c0423502f92a181d6512e8,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T17:44:12Z,2017-02-10T17:44:13Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x1f2990b8fe24364a5e9381a12f66e419ce8bb7115425fcffb6aff7e240379505,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T19:31:40Z,2017-02-10T19:31:41Z,false,none_negative_control,same_venue_non_self_trade_control,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x9e2351e3517a6573bda977292ff0cfc7c48d1d3b73a48bf663f194cd4a7153b5,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-11T23:17:04Z,2017-02-11T23:17:05Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0xf1fe088214370bb67b16cf33ce2d75c32e355af782bca25d6cd9871f67450880,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-18T15:12:42Z,2017-02-18T15:12:43Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x24421c31a9022b726742ade9372ad0cbd5f8425acb01bf20042e2b107edb6ea0,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-18T15:15:03Z,2017-02-18T15:15:04Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x5d0d697c055777a773b02b2f38b6eef01199fad4b6f4e2ff767d863e5336cd64,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-18T15:17:53Z,2017-02-18T15:17:54Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,train,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x66468a6ef3bda4c13846d8524688652a8e115d6d8b5415b27e296b82d61d8c35,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-06-28T22:39:54Z,2017-06-28T22:39:55Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x0538b510158b768e5da3c9e8bba36df759e24dd3aec8d0fd1308ee5272971003,0x0000000000000000000000000000000000000000/0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,EtherDelta/Ethereum,2017-06-28T22:47:12Z,2017-06-28T22:47:13Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x1af0238dbff31ce274f1541be8b2ab0cb7e47fdc4ac1e0de463496b8bd2ae827,0x0000000000000000000000000000000000000000/0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,EtherDelta/Ethereum,2017-06-28T22:47:12Z,2017-06-28T22:47:13Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x7b2dcaa3bcc96e1986a42544555167adda1e20040278df2747cea02c6a5fdc73,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-06-28T22:47:51Z,2017-06-28T22:47:52Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0xad7b7524a62021d7d0ba0ad41bd667a3cf1c71c5b2700ee81e5153c7e511d765,0x0000000000000000000000000000000000000000/0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,EtherDelta/Ethereum,2017-06-28T22:47:51Z,2017-06-28T22:47:52Z,false,none_negative_control,same_venue_non_self_trade_control,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x22cd7fa61e74071e72135ec2de81c5bb262434dabb1262c636cac87614e1cd0c,0xbbb1bd2d741f05e144e6c4517676a15554fd4b8d/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-06-29T03:28:43Z,2017-06-29T03:28:44Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0xc1c0f42d53224537fc8f94d1552fa04cf7d196c39ec031d180cf807aa146c707,0x0000000000000000000000000000000000000000/0x4fe6ea636abe664e0268af373a10ca3621a0b95b,EtherDelta/Ethereum,2017-06-29T05:11:56Z,2017-06-29T05:11:57Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0x69adefa33243ed60dd7a0da601fdce50b46ef1896dc348fee648c811b1afc6f7,0x0000000000000000000000000000000000000000/0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,EtherDelta/Ethereum,2017-06-29T05:31:34Z,2017-06-29T05:31:35Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0xe5775ab9103b8c90583a1d3fab1e7d3e773c7b09d46de49062a7798c3488861f,0x0000000000000000000000000000000000000000/0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,EtherDelta/Ethereum,2017-06-29T05:33:39Z,2017-06-29T05:33:40Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
EtherDelta:0xbebc1bdfc3415a090ff06fc08d0eeb06a0eb6b7553dcf1295ca4935e15d71810,0x0000000000000000000000000000000000000000/0xae616e72d3d89e847f74e8ace41ca68bbf56af79,EtherDelta/Ethereum,2017-06-29T10:19:56Z,2017-06-29T10:19:57Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,calibration,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; direct_signature=get == give
