record,contract,trade_date_iso,time,order_id,order_at,side_type,buy_sell,price,qty,page,day,mon,yy
96,HGH2,2011-12-02,06:04:52.908,1050364,000ZY2XQ,SPOOF,S,3.60,4,3,2,Dec,11
97,HGH2,2011-12-02,06:04:53.091,1050365,000ZY2XT,SPOOF,S,3.60,4,3,2,Dec,11
98,HGH2,2011-12-02,06:04:53.115,1050366,000ZY2XU,SPOOF,S,3.60,33,3,2,Dec,11
99,HGH2,2011-12-02,06:04:53.127,1050367,000ZY2XV,SPOOF,S,3.60,3,3,2,Dec,11
100,HGH2,2011-12-02,06:04:53.654,1050392,000ZY2Y1,FLIP,B,3.60,39,3,2,Dec,11
101,HGH2,2011-12-02,06:04:55.389,1050414,000ZY2YB,SPOOF,B,3.60,4,3,2,Dec,11
102,HGH2,2011-12-02,06:04:55.513,1050420,000ZY2YC,SPOOF,B,3.60,4,3,2,Dec,11
103,HGH2,2011-12-02,06:04:55.595,1050421,000ZY2YD,SPOOF,B,3.60,35,3,2,Dec,11
104,HGH2,2011-12-02,06:04:55.595,1050422,000ZY2YE,SPOOF,B,3.60,4,3,2,Dec,11
105,HGH2,2011-12-02,06:04:55.597,1050423,000ZY2YF,SPOOF,B,3.60,3,3,2,Dec,11
106,HGH2,2011-12-02,06:04:56.324,1050442,000ZY2YP,FLIP,S,3.60,44,3,2,Dec,11
107,HGH2,2011-12-02,06:06:00.508,1052182,000ZY3C7,SPOOF,B,3.60,37,3,2,Dec,11
108,HGH2,2011-12-02,06:06:00.514,1052183,000ZY3C8,SPOOF,B,3.60,6,3,2,Dec,11
109,HGH2,2011-12-02,06:06:00.516,1052184,000ZY3C9,SPOOF,B,3.60,4,3,2,Dec,11
110,HGH2,2011-12-02,06:06:01.145,1052192,000ZY3CI,FLIP,S,3.60,42,3,2,Dec,11
111,HGH2,2011-12-02,06:06:55.967,1053345,000ZY3ON,SPOOF,B,3.60,45,3,2,Dec,11
112,HGH2,2011-12-02,06:06:55.973,1053346,000ZY3OO,SPOOF,B,3.60,8,3,2,Dec,11
113,HGH2,2011-12-02,06:06:55.974,1053347,000ZY3OP,SPOOF,B,3.60,4,3,2,Dec,11
114,HGH2,2011-12-02,06:06:56.829,1053359,000ZY3OY,FLIP,S,3.60,47,3,2,Dec,11
115,HGH2,2011-12-02,06:09:35.986,1056626,000ZY518,SPOOF,S,3.59,43,3,2,Dec,11
116,HGH2,2011-12-02,06:09:35.994,1056628,000ZY519,SPOOF,S,3.59,8,3,2,Dec,11
117,HGH2,2011-12-02,06:09:35.994,1056629,000ZY51A,SPOOF,S,3.59,4,3,2,Dec,11
118,HGH2,2011-12-02,06:09:36.677,1056635,000ZY51G,FLIP,B,3.59,49,3,2,Dec,11
119,HGH2,2011-12-02,06:09:36.678,1056636,000ZY51H,FLIP,B,3.59,4,3,2,Dec,11
120,HGH2,2011-12-02,06:09:47.522,1056808,000ZY54G,SPOOF,S,3.59,46,3,2,Dec,11
121,HGH2,2011-12-02,06:09:47.530,1056813,000ZY54H,SPOOF,S,3.59,5,4,2,Dec,11
122,HGH2,2011-12-02,06:09:47.530,1056814,000ZY54I,SPOOF,S,3.59,4,4,2,Dec,11
123,HGH2,2011-12-02,06:09:48.186,1056834,000ZY54R,FLIP,B,3.59,47,4,2,Dec,11
124,HGH2,2011-12-02,06:09:53.255,1056954,000ZY56H,SPOOF,S,3.59,48,4,2,Dec,11
125,HGH2,2011-12-02,06:09:53.257,1056955,000ZY56I,SPOOF,S,3.59,4,4,2,Dec,11
126,HGH2,2011-12-02,06:09:53.383,1056969,000ZY56J,SPOOF,S,3.59,49,4,2,Dec,11
127,HGH2,2011-12-02,06:09:53.384,1056970,000ZY56K,SPOOF,S,3.59,4,4,2,Dec,11
128,HGH2,2011-12-02,06:09:53.391,1056971,000ZY56L,SPOOF,S,3.59,4,4,2,Dec,11
129,HGH2,2011-12-02,06:09:53.835,1056980,000ZY56S,FLIP,B,3.59,41,4,2,Dec,11
130,HGH2,2011-12-02,06:09:53.839,1056983,000ZY56T,FLIP,B,3.59,4,4,2,Dec,11
131,HGH2,2011-12-02,06:58:40.745,1110657,000ZYHFZ,SPOOF,S,3.61,36,4,2,Dec,11
132,HGH2,2011-12-02,06:58:40.748,1110658,000ZYHG0,SPOOF,S,3.61,7,4,2,Dec,11
133,HGH2,2011-12-02,06:58:40.871,1110671,000ZYHG1,SPOOF,S,3.61,43,4,2,Dec,11
134,HGH2,2011-12-02,06:58:40.872,1110672,000ZYHG2,SPOOF,S,3.61,4,4,2,Dec,11
135,HGH2,2011-12-02,06:58:40.873,1110673,000ZYHG3,SPOOF,S,3.61,7,4,2,Dec,11
136,HGH2,2011-12-02,06:58:40.965,1110675,000ZYHG4,SPOOF,S,3.61,36,4,2,Dec,11
137,HGH2,2011-12-02,06:58:41.353,1110678,000ZYHGF,FLIP,B,3.61,43,4,2,Dec,11
138,HGH2,2011-12-02,09:18:34.838,1464713,000001N4,SPOOF,S,3.58,38,4,2,Dec,11
139,HGH2,2011-12-02,09:18:34.859,1464723,000001N5,SPOOF,S,3.58,5,4,2,Dec,11
140,HGH2,2011-12-02,09:18:34.859,1464724,000001N6,SPOOF,S,3.58,4,4,2,Dec,11
141,HGH2,2011-12-02,09:18:35.661,1464760,000001NG,FLIP,B,3.58,4,4,2,Dec,11
142,HGH2,2011-12-02,09:18:53.323,1465422,000001UZ,SPOOF,B,3.58,42,4,2,Dec,11
143,HGH2,2011-12-02,09:18:53.325,1465423,000001V0,SPOOF,B,3.58,7,4,2,Dec,11
144,HGH2,2011-12-02,09:18:53.384,1465427,000001V1,SPOOF,B,3.58,4,4,2,Dec,11
145,HGH2,2011-12-02,09:18:53.933,1465446,000001V6,FLIP,S,3.58,45,4,2,Dec,11
146,HGH2,2011-12-02,09:18:53.934,1465447,000001V7,FLIP,S,3.58,4,4,2,Dec,11
147,HGH2,2011-12-02,09:32:18.230,1494007,0000097C,SPOOF,S,3.59,4,4,2,Dec,11
148,HGH2,2011-12-02,09:32:18.344,1494011,0000097D,SPOOF,S,3.59,4,4,2,Dec,11
149,HGH2,2011-12-02,09:32:18.344,1494012,0000097E,SPOOF,S,3.59,34,4,2,Dec,11
150,HGH2,2011-12-02,09:32:18.350,1494015,0000097F,SPOOF,S,3.59,3,4,2,Dec,11
151,HGH2,2011-12-02,09:32:19.221,1494048,0000097V,FLIP,B,3.59,42,4,2,Dec,11
152,HGH2,2011-12-02,09:32:20.691,1494117,00000984,SPOOF,S,3.59,44,4,2,Dec,11
153,HGH2,2011-12-02,09:32:20.699,1494120,00000985,SPOOF,S,3.59,4,4,2,Dec,11
154,HGH2,2011-12-02,09:32:20.727,1494128,00000986,SPOOF,S,3.59,4,4,2,Dec,11
155,HGH2,2011-12-02,09:32:20.805,1494133,00000987,SPOOF,S,3.59,38,4,2,Dec,11
156,HGH2,2011-12-02,09:32:20.805,1494134,00000988,SPOOF,S,3.59,4,4,2,Dec,11
157,HGH2,2011-12-02,09:32:20.808,1494135,00000989,SPOOF,S,3.59,5,4,2,Dec,11
158,HGH2,2011-12-02,09:32:20.918,1494138,0000098A,SPOOF,S,3.59,38,4,2,Dec,11
159,HGH2,2011-12-02,09:32:20.919,1494139,0000098B,SPOOF,S,3.59,4,4,2,Dec,11
160,HGH2,2011-12-02,09:32:21.324,1494159,0000098W,FLIP,B,3.59,35,4,2,Dec,11
161,HGH2,2011-12-05,06:27:40.571,2524212,00003E9M,SPOOF,B,3.58,35,4,5,Dec,11
162,HGH2,2011-12-05,06:27:40.573,2524213,00003E9N,SPOOF,B,3.58,4,4,5,Dec,11
163,HGH2,2011-12-05,06:27:40.579,2524214,00003E9O,SPOOF,B,3.58,4,4,5,Dec,11
164,HGH2,2011-12-05,06:27:41.227,2524236,00003E9W,FLIP,S,3.58,34,4,5,Dec,11
165,HGH2,2011-12-05,06:36:09.726,2530748,00003FLV,SPOOF,S,3.58,47,4,5,Dec,11
166,HGH2,2011-12-05,06:36:09.730,2530749,00003FLW,SPOOF,S,3.58,4,4,5,Dec,11
167,HGH2,2011-12-05,06:36:09.730,2530750,00003FLX,SPOOF,S,3.58,6,4,5,Dec,11
168,HGH2,2011-12-05,06:36:09.894,2530770,00003FLY,SPOOF,S,3.58,38,4,5,Dec,11
169,HGH2,2011-12-05,06:36:09.894,2530771,00003FLZ,SPOOF,S,3.58,4,4,5,Dec,11
170,HGH2,2011-12-05,06:36:09.899,2530772,00003FM0,SPOOF,S,3.58,5,4,5,Dec,11
171,HGH2,2011-12-05,06:36:10.521,2530787,00003FMA,FLIP,B,3.58,49,4,5,Dec,11
172,HGH2,2011-12-05,06:36:53.940,2531197,00003G25,SPOOF,S,3.58,4,4,5,Dec,11
173,HGH2,2011-12-05,06:36:54.055,2531198,00003G26,SPOOF,S,3.58,38,4,5,Dec,11
174,HGH2,2011-12-05,06:36:54.059,2531199,00003G27,SPOOF,S,3.58,2,4,5,Dec,11
175,HGH2,2011-12-05,06:36:54.126,2531200,00003G28,SPOOF,S,3.58,38,4,5,Dec,11
176,HGH2,2011-12-05,06:36:54.128,2531201,00003G29,SPOOF,S,3.58,4,4,5,Dec,11
177,HGH2,2011-12-05,06:36:54.165,2531203,00003G2A,SPOOF,S,3.58,4,4,5,Dec,11
178,HGH2,2011-12-05,06:36:54.245,2531204,00003G2B,SPOOF,S,3.58,37,4,5,Dec,11
179,HGH2,2011-12-05,06:36:54.251,2531206,00003G2C,SPOOF,S,3.58,6,4,5,Dec,11
180,HGH2,2011-12-05,06:36:54.252,2531207,00003G2D,SPOOF,S,3.58,4,4,5,Dec,11
181,HGH2,2011-12-05,06:36:54.858,2531215,00003G2U,FLIP,B,3.58,48,5,5,Dec,11
182,HGH2,2011-12-05,06:58:05.097,2559326,00003LNC,SPOOF,S,3.57,4,5,5,Dec,11
183,HGH2,2011-12-05,06:58:05.161,2559327,00003LNE,SPOOF,S,3.57,41,5,5,Dec,11
184,HGH2,2011-12-05,06:58:05.163,2559328,00003LNF,SPOOF,S,3.57,4,5,5,Dec,11
185,HGH2,2011-12-05,06:58:05.487,2559330,00003LNH,SPOOF,S,3.57,4,5,5,Dec,11
186,HGH2,2011-12-05,06:58:05.487,2559331,00003LNI,SPOOF,S,3.57,7,5,5,Dec,11
187,HGH2,2011-12-05,06:58:05.910,2559334,00003LNR,FLIP,B,3.57,36,5,5,Dec,11
188,HGH2,2011-12-05,06:59:05.218,2560411,00003LVW,SPOOF,B,3.58,4,5,5,Dec,11
189,HGH2,2011-12-05,06:59:05.218,2560412,00003LVX,SPOOF,B,3.58,34,5,5,Dec,11
190,HGH2,2011-12-05,06:59:05.220,2560413,00003LVY,SPOOF,B,3.58,5,5,5,Dec,11
191,HGH2,2011-12-05,06:59:06.196,2560424,00003LW4,FLIP,S,3.58,38,5,5,Dec,11
192,HGH2,2011-12-05,06:59:06.196,2560425,00003LW5,FLIP,S,3.58,4,5,5,Dec,11
193,HGH2,2011-12-05,06:59:06.200,2560428,00003LW6,FLIP,S,3.58,3,5,5,Dec,11
194,HGH2,2011-12-05,08:12:44.625,2714385,00004GOE,SPOOF,B,3.61,4,5,5,Dec,11
195,HGH2,2011-12-05,08:12:44.699,2714386,00004GOF,SPOOF,B,3.61,44,5,5,Dec,11
196,HGH2,2011-12-05,08:12:44.701,2714387,00004GOG,SPOOF,B,3.61,5,5,5,Dec,11
197,HGH2,2011-12-05,08:12:45.444,2714433,00004GOM,FLIP,S,3.61,37,5,5,Dec,11
198,HGH2,2011-12-05,08:12:45.448,2714437,00004GON,FLIP,S,3.61,5,5,5,Dec,11
199,HGH2,2011-12-05,08:13:52.010,2715539,00004H5L,SPOOF,S,3.61,37,5,5,Dec,11
200,HGH2,2011-12-05,08:13:52.016,2715542,00004H5M,SPOOF,S,3.61,3,5,5,Dec,11
201,HGH2,2011-12-05,08:13:52.136,2715545,00004H5N,SPOOF,S,3.61,47,5,5,Dec,11
202,HGH2,2011-12-05,08:13:52.136,2715546,00004H5O,SPOOF,S,3.61,4,5,5,Dec,11
203,HGH2,2011-12-05,08:13:52.144,2715550,00004H5P,SPOOF,S,3.61,6,5,5,Dec,11
204,HGH2,2011-12-05,08:13:52.228,2715551,00004H5Q,SPOOF,S,3.61,34,5,5,Dec,11
205,HGH2,2011-12-05,08:13:52.245,2715552,00004H5R,SPOOF,S,3.61,4,5,5,Dec,11
206,HGH2,2011-12-05,08:13:52.245,2715553,00004H5S,SPOOF,S,3.61,3,5,5,Dec,11
207,HGH2,2011-12-05,08:13:52.757,2715564,00004H62,FLIP,B,3.61,41,5,5,Dec,11
208,HGH2,2011-12-05,08:13:52.761,2715567,00004H63,FLIP,B,3.61,3,5,5,Dec,11
209,HGH2,2011-12-05,08:24:56.782,2731589,00004O4B,SPOOF,B,3.61,33,5,5,Dec,11
210,HGH2,2011-12-05,08:24:56.782,2731590,00004O4C,SPOOF,B,3.61,4,5,5,Dec,11
211,HGH2,2011-12-05,08:24:56.800,2731594,00004O4D,SPOOF,B,3.61,3,5,5,Dec,11
212,HGH2,2011-12-05,08:24:56.876,2731596,00004O4E,SPOOF,B,3.61,35,5,5,Dec,11
213,HGH2,2011-12-05,08:24:56.881,2731598,00004O4F,SPOOF,B,3.61,4,5,5,Dec,11
214,HGH2,2011-12-05,08:24:56.883,2731599,00004O4G,SPOOF,B,3.61,4,5,5,Dec,11
215,HGH2,2011-12-05,08:24:57.670,2731616,00004O4W,FLIP,S,3.61,45,5,5,Dec,11
216,HGH2,2011-12-05,08:24:57.674,2731618,00004O4X,FLIP,S,3.61,7,5,5,Dec,11
217,HGH2,2011-12-05,08:24:59.148,2731641,00004O5P,SPOOF,S,3.61,31,5,5,Dec,11
218,HGH2,2011-12-05,08:24:59.154,2731643,00004O5Q,SPOOF,S,3.61,5,5,5,Dec,11
219,HGH2,2011-12-05,08:24:59.154,2731646,00004O5R,SPOOF,S,3.61,4,5,5,Dec,11
220,HGH2,2011-12-05,08:24:59.742,2731655,00004O60,FLIP,B,3.61,39,5,5,Dec,11
221,HGH2,2011-12-05,08:24:59.744,2731656,00004O61,FLIP,B,3.61,7,5,5,Dec,11
222,HGH2,2011-12-05,08:35:21.527,2774258,00004UY4,SPOOF,B,3.62,43,5,5,Dec,11
223,HGH2,2011-12-05,08:35:21.528,2774259,00004UY5,SPOOF,B,3.62,4,5,5,Dec,11
224,HGH2,2011-12-05,08:35:21.530,2774260,00004UY6,SPOOF,B,3.62,3,5,5,Dec,11
225,HGH2,2011-12-05,08:35:21.654,2774266,00004UY9,SPOOF,B,3.62,4,5,5,Dec,11
226,HGH2,2011-12-05,08:35:21.654,2774267,00004UYA,SPOOF,B,3.62,46,5,5,Dec,11
227,HGH2,2011-12-05,08:35:21.665,2774268,00004UYB,SPOOF,B,3.62,5,5,5,Dec,11
228,HGH2,2011-12-05,08:35:21.765,2774277,00004UYD,SPOOF,B,3.62,43,5,5,Dec,11
229,HGH2,2011-12-05,08:35:21.770,2774280,00004UYE,SPOOF,B,3.62,6,5,5,Dec,11
230,HGH2,2011-12-05,08:35:21.772,2774281,00004UYF,SPOOF,B,3.62,4,5,5,Dec,11
231,HGH2,2011-12-05,08:35:22.232,2774320,00004UYS,FLIP,S,3.62,42,5,5,Dec,11
232,HGH2,2011-12-05,08:35:22.996,2774353,00004UZ6,SPOOF,S,3.62,4,5,5,Dec,11
233,HGH2,2011-12-05,08:35:23.116,2774360,00004UZA,SPOOF,S,3.62,4,5,5,Dec,11
234,HGH2,2011-12-05,08:35:23.118,2774361,00004UZB,SPOOF,S,3.62,40,5,5,Dec,11
235,HGH2,2011-12-05,08:35:23.125,2774363,00004UZC,SPOOF,S,3.62,6,5,5,Dec,11
236,HGH2,2011-12-05,08:35:23.212,2774364,00004UZD,SPOOF,S,3.62,35,5,5,Dec,11
237,HGH2,2011-12-05,08:35:23.214,2774365,00004UZE,SPOOF,S,3.62,6,5,5,Dec,11
238,HGH2,2011-12-05,08:35:23.220,2774370,00004UZG,SPOOF,S,3.62,4,5,5,Dec,11
239,HGH2,2011-12-05,08:35:23.346,2774377,00004UZH,SPOOF,S,3.62,31,5,5,Dec,11
240,HGH2,2011-12-05,08:35:23.347,2774378,00004UZI,SPOOF,S,3.62,4,5,5,Dec,11
241,HGH2,2011-12-05,08:35:23.349,2774379,00004UZJ,SPOOF,S,3.62,5,6,5,Dec,11
242,HGH2,2011-12-05,08:35:23.745,2774431,00004V00,FLIP,B,3.62,49,6,5,Dec,11
243,HGH2,2011-12-05,09:56:39.203,3002559,000069DQ,SPOOF,B,3.63,4,6,5,Dec,11
244,HGH2,2011-12-05,09:56:39.294,3002561,000069DR,SPOOF,B,3.63,4,6,5,Dec,11
245,HGH2,2011-12-05,09:56:39.405,3002564,000069DS,SPOOF,B,3.63,4,6,5,Dec,11
246,HGH2,2011-12-05,09:56:39.431,3002566,000069DT,SPOOF,B,3.63,46,6,5,Dec,11
247,HGH2,2011-12-05,09:56:39.447,3002573,000069DU,SPOOF,B,3.63,6,6,5,Dec,11
248,HGH2,2011-12-05,09:56:39.509,3002576,000069DV,SPOOF,B,3.63,35,6,5,Dec,11
