provider,symbol,timeframe,yf_interval,period,status,bars,first_ts,last_ts,reason
yfinance,CL=F,1h,1h,730d,ok,13447,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,
yfinance,DIA,1h,1h,730d,ok,5068,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,ES=F,1h,1h,730d,ok,13649,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,
yfinance,GC=F,1h,1h,730d,ok,13695,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,
yfinance,GLD,1h,1h,730d,ok,5067,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,NQ=F,1h,1h,730d,ok,13646,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,
yfinance,QQQ,1h,1h,730d,ok,5069,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,SPY,1h,1h,730d,ok,5068,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,USO,1h,1h,730d,ok,5068,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,YM=F,1h,1h,730d,ok,13642,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,
yfinance,^DJI,1h,1h,730d,ok,5069,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,^GSPC,1h,1h,730d,ok,5069,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,^NDX,1h,1h,730d,ok,5069,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,
yfinance,^VIX,1h,1h,730d,ok,9950,2023-07-24 08:00:00+00:00,2026-05-08 20:00:00+00:00,
yfinance,CL=F,1d,1d,10y,ok,2515,2016-05-10 00:00:00,2026-05-10 00:00:00,
yfinance,DIA,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,ES=F,1d,1d,10y,ok,2516,2016-05-10 00:00:00,2026-05-10 00:00:00,
yfinance,GC=F,1d,1d,10y,ok,2514,2016-05-10 00:00:00,2026-05-10 00:00:00,
yfinance,GLD,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,NQ=F,1d,1d,10y,ok,2516,2016-05-10 00:00:00,2026-05-10 00:00:00,
yfinance,QQQ,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,SPY,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,USO,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,YM=F,1d,1d,10y,ok,2516,2016-05-10 00:00:00,2026-05-10 00:00:00,
yfinance,^DJI,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,^GSPC,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,^NDX,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,^VIX,1d,1d,10y,ok,2515,2016-05-09 00:00:00,2026-05-08 00:00:00,
yfinance,CL=F,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,DIA,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,ES=F,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,GC=F,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,GLD,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,NQ=F,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,QQQ,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,SPY,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,USO,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,YM=F,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,^DJI,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,^GSPC,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,^NDX,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,^VIX,1w,1wk,10y,ok,522,2016-05-09 00:00:00,2026-05-04 00:00:00,
yfinance,CL=F,1mo,1mo,10y,ok,103,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,DIA,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,ES=F,1mo,1mo,10y,ok,103,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,GC=F,1mo,1mo,10y,ok,103,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,GLD,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,NQ=F,1mo,1mo,10y,ok,103,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,QQQ,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,SPY,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,USO,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,YM=F,1mo,1mo,10y,ok,103,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,^DJI,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,^GSPC,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,^NDX,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,^VIX,1mo,1mo,10y,ok,120,2016-06-01 00:00:00,2026-05-01 00:00:00,
yfinance,CL=F,4h,1h,730d,derived_ok,3361,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,derived_from_1h_summary_only
yfinance,DIA,4h,1h,730d,derived_ok,1267,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,ES=F,4h,1h,730d,derived_ok,3412,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,derived_from_1h_summary_only
yfinance,GC=F,4h,1h,730d,derived_ok,3423,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,derived_from_1h_summary_only
yfinance,GLD,4h,1h,730d,derived_ok,1266,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,NQ=F,4h,1h,730d,derived_ok,3411,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,derived_from_1h_summary_only
yfinance,QQQ,4h,1h,730d,derived_ok,1267,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,SPY,4h,1h,730d,derived_ok,1267,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,USO,4h,1h,730d,derived_ok,1267,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,YM=F,4h,1h,730d,derived_ok,3410,2023-12-15 05:00:00+00:00,2026-05-10 22:00:00+00:00,derived_from_1h_summary_only
yfinance,^DJI,4h,1h,730d,derived_ok,1267,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,^GSPC,4h,1h,730d,derived_ok,1267,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,^NDX,4h,1h,730d,derived_ok,1267,2023-06-12 13:30:00+00:00,2026-05-08 19:30:00+00:00,derived_from_1h_summary_only
yfinance,^VIX,4h,1h,730d,derived_ok,2487,2023-07-24 08:00:00+00:00,2026-05-08 20:00:00+00:00,derived_from_1h_summary_only
