base_symbol,comparison_symbol,relationship_type,relationship_confidence,timeframe,session,comparison_timeframe,comparison_session,timeframe_aligned,session_overlap,event_time,smt_signal,base_swing_type,regime_bucket,base_level,comparison_swing_type,comparison_level,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,same_event_window_confirmed,provider_provenance,evidence_source,forward_6h_return,forward_12h_return,directional_6h_return,directional_12h_return,favorable_6h,favorable_12h,mss_or_cisd_confirmed,displacement_confirmed,near_pd_array,pd_array_type,entry_context_complete,confirmation_role,actionable,confidence,fail_closed_reason
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-03-15T17:00:00+00:00,bearish_smt,HH,trend,71987.2890625,LH,2117.396728515625,buy_side_liquidity,False,LH,2117.396728515625,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.01350324,0.03253355,-0.01350324,-0.03253355,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-03-17T10:00:00+00:00,bullish_smt,LL,trend,73614.75,HL,2307.620361328125,sell_side_liquidity,False,HL,2307.620361328125,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00569202,0.00799645,0.00569202,0.00799645,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-03-19T21:00:00+00:00,bearish_smt,HH,trend,70695.4375,LH,2156.0771484375,buy_side_liquidity,False,LH,2156.0771484375,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00372161,0.00111182,-0.00372161,-0.00111182,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-03-20T04:00:00+00:00,bearish_smt,HH,trend,70939.7734375,LH,2158.4345703125,buy_side_liquidity,False,LH,2158.4345703125,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.0025268,-0.01303914,0.0025268,0.01303914,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-03-27T04:00:00+00:00,bullish_smt,LL,trend,68269.15625,HL,2043.33984375,sell_side_liquidity,False,HL,2043.33984375,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.03000715,-0.03806439,-0.03000715,-0.03806439,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-03-27T18:00:00+00:00,bullish_smt,LL,trend,65539.1875,HL,1973.5860595703125,sell_side_liquidity,False,HL,1973.5860595703125,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00824672,0.00807667,0.00824672,0.00807667,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-03-29T03:00:00+00:00,bearish_smt,HH,trend,67000.8125,LH,2015.5404052734375,buy_side_liquidity,False,LH,2015.5404052734375,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.0041726,-0.00574639,0.0041726,0.00574639,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-01T13:00:00+00:00,bullish_smt,LL,transition,67969.1171875,HL,2110.518310546875,sell_side_liquidity,False,HL,2110.518310546875,True,yfinance,provider_backed_same_timeframe_aligned_candles,-2.545e-05,-0.01210837,-2.545e-05,-0.01210837,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-02T00:00:00+00:00,bearish_smt,HH,trend,68633.1484375,LH,2158.142822265625,buy_side_liquidity,False,LH,2158.142822265625,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.02841791,-0.03729849,0.02841791,0.03729849,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-07T02:00:00+00:00,bullish_smt,LL,trend,68286.8046875,HL,2094.010009765625,sell_side_liquidity,False,HL,2094.010009765625,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.0040284,-0.0109508,0.0040284,-0.0109508,True,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-08T09:00:00+00:00,bearish_smt,HH,trend,71932.7578125,LH,2261.873779296875,buy_side_liquidity,False,LH,2261.873779296875,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.00527535,-0.00223762,0.00527535,0.00223762,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-08T14:00:00+00:00,bullish_smt,LL,trend,70754.125,HL,2189.805419921875,sell_side_liquidity,False,HL,2189.805419921875,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00746747,0.00325995,0.00746747,0.00325995,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-10T00:00:00+00:00,bullish_smt,LL,range,71609.296875,HL,2179.488037109375,sell_side_liquidity,False,HL,2179.488037109375,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.0012415,0.00489569,-0.0012415,0.00489569,False,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-11T13:00:00+00:00,bullish_smt,LL,trend,72594.53125,HL,2235.64404296875,sell_side_liquidity,False,HL,2235.64404296875,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.01350033,-0.0142461,0.01350033,-0.0142461,True,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-12T23:00:00+00:00,bullish_smt,LL,trend,70581.140625,HL,2184.7685546875,sell_side_liquidity,False,HL,2184.7685546875,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00141074,0.00267948,0.00141074,0.00267948,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-15T22:00:00+00:00,bearish_smt,HH,transition,75400.0,LH,2380.320068359375,buy_side_liquidity,False,LH,2380.320068359375,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.00026318,-0.00880704,0.00026318,0.00880704,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-19T13:00:00+00:00,bearish_smt,HH,trend,76257.0703125,LH,2350.419921875,buy_side_liquidity,False,LH,2350.419921875,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.0128759,-0.01766256,0.0128759,0.01766256,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-20T14:00:00+00:00,bearish_smt,HH,trend,75765.2109375,LH,2326.889892578125,buy_side_liquidity,False,LH,2326.889892578125,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.01658994,0.0072185,-0.01658994,-0.0072185,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-24T09:00:00+00:00,bullish_smt,LL,transition,77436.0,HL,2305.080078125,sell_side_liquidity,False,HL,2305.080078125,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00665542,0.00017488,0.00665542,0.00017488,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-24T22:00:00+00:00,bullish_smt,LL,trend,77306.0625,HL,2308.219970703125,sell_side_liquidity,False,HL,2308.219970703125,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00363439,0.00581019,0.00363439,0.00581019,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-26T12:00:00+00:00,bullish_smt,LL,transition,77787.9375,HL,2326.22998046875,sell_side_liquidity,False,HL,2326.22998046875,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00579544,0.01833224,0.00579544,0.01833224,True,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-04-27T19:00:00+00:00,bullish_smt,LL,transition,76464.78125,HL,2275.409912109375,sell_side_liquidity,False,HL,2275.409912109375,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00265415,-0.00014927,0.00265415,-0.00014927,True,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-05-01T08:00:00+00:00,bearish_smt,HH,transition,77489.828125,LH,2288.780029296875,buy_side_liquidity,False,LH,2288.780029296875,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.01300279,0.00664975,-0.01300279,-0.00664975,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-05-04T17:00:00+00:00,bearish_smt,HH,trend,80740.4375,LH,2379.6201171875,buy_side_liquidity,False,LH,2379.6201171875,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.00672311,0.00726554,0.00672311,-0.00726554,True,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-05-05T21:00:00+00:00,bearish_smt,HH,trend,81770.453125,LH,2388.159912109375,buy_side_liquidity,False,LH,2388.159912109375,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00204175,0.00722721,-0.00204175,-0.00722721,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-05-07T10:00:00+00:00,bullish_smt,LL,range,80564.140625,HL,2316.949951171875,sell_side_liquidity,False,HL,2316.949951171875,True,yfinance,provider_backed_same_timeframe_aligned_candles,-0.01309626,-0.01150123,-0.01309626,-0.01150123,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-05-08T22:00:00+00:00,bearish_smt,HH,trend,80418.7890625,LH,2318.669921875,buy_side_liquidity,False,LH,2318.669921875,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.00143198,-0.00013451,-0.00143198,0.00013451,False,True,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
BTC,ETH,positive,0.9033,1h,crypto_24x7,1h,crypto_24x7,True,True,2026-05-11T12:00:00+00:00,bearish_smt,HH,transition,81337.328125,LH,2339.27001953125,buy_side_liquidity,False,LH,2339.27001953125,True,yfinance,provider_backed_same_timeframe_aligned_candles,0.0100625,0.0061735,-0.0100625,-0.0061735,False,False,False,False,False,none,False,confirmation_only,False,0.25,missing_mss_cisd_displacement_pda_entry_context
