label_window_id,source_type,provider,instrument,market_context,timeframe,root,start_date,end_date,date_granularity,source_id,source_native_scope,crosswalk_layer,crosswalk_decision,scope_tier,confidence_gate_ref,status,notes
source-window-crosswalk-v1-0001-bull-2002-10-09-2007-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,1m,Bull,2002-10-09,2007-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0004-bull-2002-10-09-2007-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bull,2002-10-09,2007-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0004-bull-2009-03-09-2020-02-19,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bull,2009-03-09,2020-02-19,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0004-bull-2020-03-23-2022-01-03,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bull,2020-03-23,2022-01-03,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0004-bull-2022-10-12-open,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bull,2022-10-12,,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0005-bear-2000-03-24-2002-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bear,2000-03-24,2002-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0005-bear-2007-10-09-2009-03-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bear,2007-10-09,2009-03-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0005-bear-2020-02-19-2020-03-23,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bear,2020-02-19,2020-03-23,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0005-bear-2022-01-03-2022-10-12,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Bear,2022-01-03,2022-10-12,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0006-crisis-2001-03-2001-11,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Crisis,2001-03,2001-11,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0006-crisis-2007-12-2009-06,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Crisis,2007-12,2009-06,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0006-crisis-2020-02-2020-04,source_window_crosswalk,yfinance,^GSPC,sp500_index,5m,Crisis,2020-02,2020-04,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0007-bull-2002-10-09-2007-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bull,2002-10-09,2007-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0007-bull-2009-03-09-2020-02-19,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bull,2009-03-09,2020-02-19,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0007-bull-2020-03-23-2022-01-03,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bull,2020-03-23,2022-01-03,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0007-bull-2022-10-12-open,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bull,2022-10-12,,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0008-bear-2000-03-24-2002-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bear,2000-03-24,2002-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0008-bear-2007-10-09-2009-03-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bear,2007-10-09,2009-03-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0008-bear-2020-02-19-2020-03-23,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bear,2020-02-19,2020-03-23,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0008-bear-2022-01-03-2022-10-12,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Bear,2022-01-03,2022-10-12,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0009-crisis-2001-03-2001-11,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Crisis,2001-03,2001-11,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0009-crisis-2007-12-2009-06,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Crisis,2007-12,2009-06,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0009-crisis-2020-02-2020-04,source_window_crosswalk,yfinance,^GSPC,sp500_index,15m,Crisis,2020-02,2020-04,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0010-bull-2002-10-09-2007-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bull,2002-10-09,2007-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0010-bull-2009-03-09-2020-02-19,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bull,2009-03-09,2020-02-19,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0010-bull-2020-03-23-2022-01-03,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bull,2020-03-23,2022-01-03,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0010-bull-2022-10-12-open,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bull,2022-10-12,,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0011-bear-2000-03-24-2002-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bear,2000-03-24,2002-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0011-bear-2007-10-09-2009-03-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bear,2007-10-09,2009-03-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0011-bear-2020-02-19-2020-03-23,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bear,2020-02-19,2020-03-23,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0011-bear-2022-01-03-2022-10-12,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Bear,2022-01-03,2022-10-12,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0012-crisis-2001-03-2001-11,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Crisis,2001-03,2001-11,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0012-crisis-2007-12-2009-06,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Crisis,2007-12,2009-06,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0012-crisis-2020-02-2020-04,source_window_crosswalk,yfinance,^GSPC,sp500_index,30m,Crisis,2020-02,2020-04,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0013-bull-2002-10-09-2007-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bull,2002-10-09,2007-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0013-bull-2009-03-09-2020-02-19,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bull,2009-03-09,2020-02-19,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0013-bull-2020-03-23-2022-01-03,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bull,2020-03-23,2022-01-03,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0013-bull-2022-10-12-open,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bull,2022-10-12,,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0014-bear-2000-03-24-2002-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bear,2000-03-24,2002-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0014-bear-2007-10-09-2009-03-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bear,2007-10-09,2009-03-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0014-bear-2020-02-19-2020-03-23,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bear,2020-02-19,2020-03-23,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0014-bear-2022-01-03-2022-10-12,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Bear,2022-01-03,2022-10-12,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0015-crisis-2001-03-2001-11,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Crisis,2001-03,2001-11,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0015-crisis-2007-12-2009-06,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Crisis,2007-12,2009-06,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0015-crisis-2020-02-2020-04,source_window_crosswalk,yfinance,^GSPC,sp500_index,1h,Crisis,2020-02,2020-04,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0016-bull-2002-10-09-2007-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bull,2002-10-09,2007-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0016-bull-2009-03-09-2020-02-19,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bull,2009-03-09,2020-02-19,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0016-bull-2020-03-23-2022-01-03,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bull,2020-03-23,2022-01-03,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0016-bull-2022-10-12-open,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bull,2022-10-12,,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0017-bear-2000-03-24-2002-10-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bear,2000-03-24,2002-10-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0017-bear-2007-10-09-2009-03-09,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bear,2007-10-09,2009-03-09,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0017-bear-2020-02-19-2020-03-23,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bear,2020-02-19,2020-03-23,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0017-bear-2022-01-03-2022-10-12,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Bear,2022-01-03,2022-10-12,day,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0018-crisis-2001-03-2001-11,source_window_crosswalk,yfinance,^GSPC,sp500_index,4h,Crisis,2001-03,2001-11,month,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,same_underlying_calendar_window,not_calibrated_source_label_slot_only,materialized_source_window_label,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
