instrument,root,calibration_2024_support,calibration_2024_wilson95_lcb,heldout_time_2025_support,heldout_time_2025_wilson95_lcb,support_gap_to_73,lcb_gap_to_095,one_split_passes,blocker
WMT,Sideways,43,0.9179901968,75,0.9512761575,30,0.032009803200,True,calibration_support_below_73|calibration_wilson95_below_0_95
WMT,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
XOM,Bear,37,0.9059421742,81,0.9547219146,36,0.044057825800,True,calibration_support_below_73|calibration_wilson95_below_0_95
XOM,Sideways,100,0.9630065018,68,0.9465286635,5,0.003471336500,True,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
XOM,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^DJI,Bear,1,0.2065493144,20,0.8388748419,72,0.743450685600,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^DJI,Sideways,66,0.944997443,87,0.9577124931,7,0.005002557000,True,calibration_support_below_73|calibration_wilson95_below_0_95
^DJI,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^GSPC,Bear,2,0.3423802275,22,0.8513451254,71,0.607619772500,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^GSPC,Sideways,42,0.9162012091,67,0.9457738606,31,0.033798790900,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^GSPC,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^IXIC,Bear,9,0.7008549516,39,0.9103331463,64,0.249145048400,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^IXIC,Sideways,36,0.9035813714,53,0.9324180114,37,0.046418628600,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^IXIC,Crisis,0,0.0,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^RUT,Bear,15,0.796116699,55,0.9347150989,58,0.153883301000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^RUT,Crisis,4,0.5101091635,0,0.0,73,0.950000000000,False,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
