provider_key,symbol,timeframe,ote_level,branch_path,data_path,row_count,local_cache_replay,new_provider_fetch,material_path,strategy_path
"TradingViewRemix_TVR","BTC","1h","0.618","TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv","719","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0618_tvr_btc_usd_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0618ContinuationV1.py"
"yfinance_YF","SPY","1h","0.618","TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv","2355","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0618_yf_spy_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0618ContinuationV1.py"
"Binance","BTC","1h","0.705","TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv","11905","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0705_binance_btcusdt_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py"
"Bybit","BTC","1h","0.705","TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv","1000","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0705_bybit_btcusdt_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py"
"IBKR","SPY","1h","0.705","TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv","1427","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0705_ibkr_spy_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py"
"Kraken","BTC","1h","0.705","TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv","2000","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0705_kraken_xbtusd_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py"
"TradingViewRemix_TVR","BTC","1h","0.705","TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv","719","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0705_tvr_btc_usd_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py"
"yfinance_YF","SPY","1h","0.705","TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv","2355","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0705_yf_spy_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0705ContinuationV1.py"
"Binance","BTC","1h","0.786","TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/binance_btcusdt_1h.normalized.csv","11905","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0786_binance_btcusdt_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py"
"Bybit","BTC","1h","0.786","TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/bybit_linear_btcusdt_1h.normalized.csv","1000","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0786_bybit_btcusdt_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py"
"IBKR","SPY","1h","0.786","TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/ibkr_spy_1h_90d.normalized.csv","1427","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0786_ibkr_spy_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py"
"Kraken","BTC","1h","0.786","TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/kraken_futures_pfxbtusd_1h.normalized.csv","2000","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0786_kraken_xbtusd_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py"
"TradingViewRemix_TVR","BTC","1h","0.786","TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/tvr_btc_usd_1h.normalized.csv","719","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0786_tvr_btc_usd_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py"
"yfinance_YF","SPY","1h","0.786","TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1","docs/experiments/actionable-regime-confidence/runs/20260512T184139+0800-codex-vwap-session-liquidity-six-provider-aq-v1/data/normalized/yahoo_spy_1h.normalized.csv","2355","True","False","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/materials/ote_retrace_0786_yf_spy_1h.json","docs/experiments/actionable-regime-confidence/runs/20260512T192149+0800-codex-ote-pullback-four-leaf-six-provider-aq-v1/agent-material/OteRetrace0786ContinuationV1.py"
