source_symbol_role,symbol,candidate_id,period_bucket,trades,wins,losses,win_rate,win_rate_wilson95_lcb,mean_net_return,sum_net_return,return_profit_factor,max_drawdown_compounded
primary_esnq,NQ,RangeBandMeanReversionV1,2021_2022,177,87,90,0.4915254237288136,0.4188409731271186,-0.0032699339402887653,-0.5787783074311115,0.6399869709095235,-0.608877907340727
primary_esnq,NQ,RangeBandMeanReversionV1,2023_2024,99,43,56,0.43434343434343436,0.340964792974754,-0.0025139335513345617,-0.2488794215821216,0.741838908112478,-0.3485017788671272
primary_esnq,NQ,RangeBandMeanReversionV1,pre_2018,161,74,87,0.45962732919254656,0.38448207891101155,-0.0002214140769620346,-0.035647666390887574,0.8476605624844189,-0.10819476114997295
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,2018_2020,435,217,218,0.49885057471264366,0.4520794706164787,-0.0009782939488060464,-0.42555786773063015,0.873800984093785,-0.5425543109305755
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,2021_2022,251,133,118,0.5298804780876494,0.46814905994441525,0.000999122646243501,0.25077978420711877,1.0828824758296267,-0.5498092745701766
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,2023_2024,186,96,90,0.5161290322580645,0.44471258776651124,-0.00031131329954484506,-0.05790427371534118,0.9651110231470735,-0.30550168936453115
primary_esnq,NQ,TwentyHourBreakoutContinuationV1,pre_2018,177,92,85,0.519774011299435,0.446535033370319,0.0003129263367163954,0.05538796159880199,1.2041122799091704,-0.04961224069343195
primary_esnq,NQ,VolatilityExpansionFadeV1,2018_2020,380,173,207,0.45526315789473687,0.4058887759125442,-0.0025545443245118316,-0.9707268433144961,0.8177340252342254,-0.7757761771107619
primary_esnq,NQ,VolatilityExpansionFadeV1,2021_2022,430,207,223,0.4813953488372093,0.43454229175206444,-0.0038606376702442725,-1.660074198205037,0.7606294957531952,-0.9428845961396567
primary_esnq,NQ,VolatilityExpansionFadeV1,2023_2024,177,72,105,0.4067796610169492,0.3371355991270897,0.0020747698380273855,0.36723426133084724,1.2174134808240058,-0.44922064233217784
support_cross_market,EUR,HourlyTrendPullbackContinuationV1,2018_2020,2,0,2,0.0,0.0,-0.0002,-0.0004,0.0,-0.00019999999999997797
support_cross_market,EUR,HourlyTrendPullbackContinuationV1,2021_2022,1248,490,758,0.3926282051282051,0.36590369291885266,-0.00029945616839419234,-0.37372129815595206,0.6407596261280666,-0.3261822448329824
support_cross_market,EUR,HourlyTrendPullbackContinuationV1,2023_2024,323,112,211,0.34674922600619196,0.29692079153377704,-0.0004934742697212762,-0.15939218911997222,0.4589970581513019,-0.15003791674492062
support_cross_market,EUR,RangeBandMeanReversionV1,2021_2022,352,147,205,0.41761363636363635,0.3672539858380246,-0.0004369144202551838,-0.15379387592982469,0.5974285044094207,-0.1856317463868996
support_cross_market,EUR,RangeBandMeanReversionV1,2023_2024,137,29,108,0.2116788321167883,0.15162090848199464,-0.00019516452839640788,-0.02673754039030788,0.5877796558520457,-0.03107964418899245
support_cross_market,EUR,TwentyHourBreakoutContinuationV1,2021_2022,579,275,304,0.4749568221070812,0.43457953033690416,-0.00014272767160945072,-0.08263932186187196,0.8613060585151137,-0.09232148085897007
support_cross_market,EUR,TwentyHourBreakoutContinuationV1,2023_2024,137,56,81,0.40875912408759124,0.33001893020406003,-0.0004252588937499669,-0.05826046844374547,0.5422661100071146,-0.05804387928238519
support_cross_market,EUR,VolatilityExpansionFadeV1,2021_2022,527,268,259,0.50853889943074,0.4659485410225668,-0.00020783592433759512,-0.10952953212591263,0.8727117712134004,-0.23348238752804795
support_cross_market,EUR,VolatilityExpansionFadeV1,2023_2024,144,64,80,0.4444444444444444,0.36577544524654837,-0.00013893202196909509,-0.02000621116354969,0.8646057041927956,-0.07471370158137502
support_cross_market,XAU,HourlyTrendPullbackContinuationV1,2021_2022,546,243,303,0.44505494505494503,0.40389681031663804,-0.00013544519799649478,-0.07395307810608615,0.8486681747961872,-0.10611844199239617
support_cross_market,XAU,RangeBandMeanReversionV1,2021_2022,163,77,86,0.4723926380368098,0.39727071585440626,3.9479178874543615e-05,0.006435106156550609,1.044379278458151,-0.04345904183056082
support_cross_market,XAU,TwentyHourBreakoutContinuationV1,2021_2022,163,63,100,0.38650306748466257,0.31518003107419723,-0.0004953848121381886,-0.08074772437852475,0.7246120580244124,-0.07760068703819745
support_cross_market,XAU,VolatilityExpansionFadeV1,2021_2022,215,107,108,0.49767441860465117,0.4314697214722968,-7.710991826248292e-05,-0.01657863242643383,0.944754039619776,-0.11700595575176698
support_cross_market,YM,HourlyTrendPullbackContinuationV1,2018_2020,20,8,12,0.4,0.21880396741419272,-0.035421078136426004,-0.7084215627285201,0.404701314061436,-0.7007812208726086
support_cross_market,YM,RangeBandMeanReversionV1,2018_2020,5,5,0,1.0,0.565508505247919,0.05235804801259343,0.26179024006296714,inf,0.0
support_cross_market,YM,TwentyHourBreakoutContinuationV1,2018_2020,4,2,2,0.5,0.15003570882017145,-0.035405560250753726,-0.1416222410030149,0.5132364333884876,-0.2698899067140318
support_cross_market,YM,VolatilityExpansionFadeV1,2018_2020,79,38,41,0.4810126582278481,0.3742954498192782,0.030091187592019106,2.3772038197695093,1.9479369037627814,-0.5101593299158389
