unit_label,status,provider,provider_provenance,package_id,branch_path,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,win_rate_pct,sharpe,total_profit_pct,trade_count,evidence_class,quality_weight,allowed_feedback_targets
TMVP volume_impulse_reclaim_long_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,tmvp-volume_impulse_reclaim_long_v1-tradingviewremix-tvr-1h-v1,TrendExpansion -> MomentumContinuation -> volume_impulse_pullback -> volume_impulse_reclaim_long_v1,TrendExpansion,MomentumContinuation,volume_impulse_pullback,volume_impulse_reclaim_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP ema_rsi_persistence_long_v1 - Binance BTCUSDT 1h,completed,Binance,Binance BTCUSDT 1h,tmvp-ema_rsi_persistence_long_v1-binance-1h-v1,TrendExpansion -> MomentumContinuation -> ema_rsi_persistence -> ema_rsi_persistence_long_v1,TrendExpansion,MomentumContinuation,ema_rsi_persistence,ema_rsi_persistence_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP ema_rsi_persistence_long_v1 - Bybit BTCUSDT 1h,completed,Bybit,Bybit BTCUSDT 1h,tmvp-ema_rsi_persistence_long_v1-bybit-1h-v1,TrendExpansion -> MomentumContinuation -> ema_rsi_persistence -> ema_rsi_persistence_long_v1,TrendExpansion,MomentumContinuation,ema_rsi_persistence,ema_rsi_persistence_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP ema_rsi_persistence_long_v1 - Kraken XBTUSD 1h,completed,Kraken,Kraken XBTUSD 1h,tmvp-ema_rsi_persistence_long_v1-kraken-1h-v1,TrendExpansion -> MomentumContinuation -> ema_rsi_persistence -> ema_rsi_persistence_long_v1,TrendExpansion,MomentumContinuation,ema_rsi_persistence,ema_rsi_persistence_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP ema_rsi_persistence_long_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,tmvp-ema_rsi_persistence_long_v1-tradingviewremix-tvr-1h-v1,TrendExpansion -> MomentumContinuation -> ema_rsi_persistence -> ema_rsi_persistence_long_v1,TrendExpansion,MomentumContinuation,ema_rsi_persistence,ema_rsi_persistence_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP compression_breakout_followthrough_long_v1 - Binance BTCUSDT 1h,completed,Binance,Binance BTCUSDT 1h,tmvp-compression_breakout_followthrough_long_v1-binance-1h-v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP compression_breakout_followthrough_long_v1 - Bybit BTCUSDT 1h,completed,Bybit,Bybit BTCUSDT 1h,tmvp-compression_breakout_followthrough_long_v1-bybit-1h-v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP compression_breakout_followthrough_long_v1 - IBKR SPY 1h,completed,IBKR,IBKR SPY 1h,tmvp-compression_breakout_followthrough_long_v1-ibkr-1h-v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP compression_breakout_followthrough_long_v1 - Kraken XBTUSD 1h,completed,Kraken,Kraken XBTUSD 1h,tmvp-compression_breakout_followthrough_long_v1-kraken-1h-v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP compression_breakout_followthrough_long_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,tmvp-compression_breakout_followthrough_long_v1-tradingviewremix-tvr-1h-v1,VolatilityCompression -> MomentumBreakout -> compression_breakout_followthrough -> compression_breakout_followthrough_long_v1,VolatilityCompression,MomentumBreakout,compression_breakout_followthrough,compression_breakout_followthrough_long_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP momentum_failure_guard_v1 - Binance BTCUSDT 1h,completed,Binance,Binance BTCUSDT 1h,tmvp-momentum_failure_guard_v1-binance-1h-v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP momentum_failure_guard_v1 - Bybit BTCUSDT 1h,completed,Bybit,Bybit BTCUSDT 1h,tmvp-momentum_failure_guard_v1-bybit-1h-v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP momentum_failure_guard_v1 - Kraken XBTUSD 1h,completed,Kraken,Kraken XBTUSD 1h,tmvp-momentum_failure_guard_v1-kraken-1h-v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
TMVP momentum_failure_guard_v1 - TradingViewRemix/TVR BTC-USD 1h,completed,TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,tmvp-momentum_failure_guard_v1-tradingviewremix-tvr-1h-v1,Transition -> ContinuationFailureGuard -> momentum_failure_guard -> momentum_failure_guard_v1,Transition,ContinuationFailureGuard,momentum_failure_guard,momentum_failure_guard_v1,0.0,0.0,0.0,0,infrastructure_negative_sample,0_for_bbn_catboost_execution_tree_learning,aq_rank_contract_provider_trade_density_weighting_provider_material_redesign_only
