parent_regime_root,variant_id,fold,trades,net_return_R,mean_R
Bull,bear_sideways_dense,2019_2021,129,0.007983964813731977,6.189120010644943e-05
Bull,bear_sideways_dense,2022_2023,0,0.0,0.0
Bull,bear_sideways_dense,2024_2025,0,0.0,0.0
Bull,full_day_trend,2011_2014,245,-0.14376396200270034,-0.0005867916816436748
Bull,full_day_trend,2015_2018,242,0.11089844688839282,0.0004582580449933587
Bull,full_day_trend,2019_2021,127,-0.051412546697713196,-0.0004048232023441984
Bull,full_day_trend,2022_2023,0,0.0,0.0
Bull,full_day_trend,2024_2025,0,0.0,0.0
Bear,baseline,2011_2014,2,-0.013983613541241273,-0.0069918067706206365
Bear,baseline,2015_2018,3,-0.011770269949427226,-0.003923423316475742
Bear,baseline,2019_2021,1,0.005303993604142079,0.005303993604142079
Bear,baseline,2022_2023,9,-0.10630259631358888,-0.011811399590398765
Bear,baseline,2024_2025,0,0.0,0.0
Bear,tight_trail,2011_2014,3,-0.011709125005834188,-0.003903041668611396
Bear,tight_trail,2015_2018,3,-0.014413615395014465,-0.004804538465004822
Bear,tight_trail,2019_2021,3,-0.018196982111576138,-0.006065660703858712
Bear,tight_trail,2022_2023,10,-0.028430522253248585,-0.0028430522253248586
Bear,tight_trail,2024_2025,0,0.0,0.0
Bear,dense_session,2011_2014,14,-0.062416984907607095,-0.004458356064829078
Bear,dense_session,2015_2018,10,0.010904771983206413,0.0010904771983206412
Bear,dense_session,2019_2021,8,-0.03360162243844922,-0.004200202804806152
Bear,dense_session,2022_2023,17,-0.05046262907366426,-0.002968389945509662
Bear,dense_session,2024_2025,0,0.0,0.0
Bear,conservative_trend,2011_2014,2,-0.023995104823614916,-0.011997552411807458
Bear,conservative_trend,2015_2018,2,-0.0159308988545656,-0.0079654494272828
Bear,conservative_trend,2019_2021,1,-0.011999847717668558,-0.011999847717668558
Bear,conservative_trend,2022_2023,2,-0.023999503690649283,-0.011999751845324641
Bear,conservative_trend,2024_2025,0,0.0,0.0
Bear,loose_crisis,2011_2014,21,-0.12807139214437285,-0.006098637721160612
Bear,loose_crisis,2015_2018,27,-0.05801345715646229,-0.0021486465613504554
Bear,loose_crisis,2019_2021,8,-0.007682595672372663,-0.0009603244590465829
Bear,loose_crisis,2022_2023,43,-0.018908793776901564,-0.0004397393901605015
Bear,loose_crisis,2024_2025,10,0.03766766134811664,0.003766766134811664
Bear,bear_sideways_dense,2011_2014,38,-0.15486746907320023,-0.004075459712452638
Bear,bear_sideways_dense,2015_2018,40,-0.0834651040885005,-0.0020866276022125122
Bear,bear_sideways_dense,2019_2021,13,-0.05917030344055918,-0.004551561803119937
Bear,bear_sideways_dense,2022_2023,0,0.0,0.0
Bear,bear_sideways_dense,2024_2025,0,0.0,0.0
Bear,full_day_trend,2011_2014,10,0.022811607472351503,0.0022811607472351505
Bear,full_day_trend,2015_2018,19,-0.04393550436126793,-0.002312394966382523
Bear,full_day_trend,2019_2021,8,-0.042690578782297914,-0.005336322347787239
Bear,full_day_trend,2022_2023,0,0.0,0.0
Bear,full_day_trend,2024_2025,0,0.0,0.0
Sideways,baseline,2011_2014,21,0.0240286334060079,0.0011442206383813287
Sideways,baseline,2015_2018,20,0.05927980069460282,0.002963990034730141
Sideways,baseline,2019_2021,15,0.01828281998526296,0.0012188546656841973
Sideways,baseline,2022_2023,12,-0.014413775318823183,-0.0012011479432352653
Sideways,baseline,2024_2025,0,0.0,0.0
Sideways,tight_trail,2011_2014,26,0.026560335440353904,0.0010215513630905347
Sideways,tight_trail,2015_2018,26,0.034889270039187036,0.0013418950015071937
Sideways,tight_trail,2019_2021,18,0.01045692379706231,0.0005809402109479061
Sideways,tight_trail,2022_2023,8,-0.026532129476112505,-0.003316516184514063
Sideways,tight_trail,2024_2025,0,0.0,0.0
Sideways,dense_session,2011_2014,60,0.046755039492891504,0.0007792506582148584
Sideways,dense_session,2015_2018,45,-0.06931470518084774,-0.0015403267817966164
Sideways,dense_session,2019_2021,23,0.02665502362144048,0.0011589140704974122
Sideways,dense_session,2022_2023,15,0.007905942033028251,0.0005270628022018834
Sideways,dense_session,2024_2025,0,0.0,0.0
Sideways,conservative_trend,2011_2014,13,0.01970274679012047,0.0015155959069323437
Sideways,conservative_trend,2015_2018,15,-0.00978706093303311,-0.0006524707288688739
Sideways,conservative_trend,2019_2021,12,0.012363064514142132,0.001030255376178511
Sideways,conservative_trend,2022_2023,6,-0.005843449070316335,-0.0009739081783860558
Sideways,conservative_trend,2024_2025,0,0.0,0.0
Sideways,loose_crisis,2011_2014,67,0.11106092659008553,0.0016576257700012765
Sideways,loose_crisis,2015_2018,60,0.04136413294052462,0.0006894022156754103
Sideways,loose_crisis,2019_2021,43,0.055520804520636895,0.0012911815004799279
Sideways,loose_crisis,2022_2023,34,0.05864902051087642,0.0017249711914963653
Sideways,loose_crisis,2024_2025,13,-0.024300586558469554,-0.0018692758891130426
Sideways,bear_sideways_dense,2011_2014,125,-0.05783584998067879,-0.0004626867998454303
Sideways,bear_sideways_dense,2015_2018,96,-0.10662352689441511,-0.0011106617384834907
Sideways,bear_sideways_dense,2019_2021,52,0.005850336631306515,0.00011250647367897145
Sideways,bear_sideways_dense,2022_2023,0,0.0,0.0
Sideways,bear_sideways_dense,2024_2025,0,0.0,0.0
Sideways,full_day_trend,2011_2014,72,-0.040135972156313676,-0.0005574440577265789
Sideways,full_day_trend,2015_2018,51,-0.08601735255637445,-0.0016866147560073421
Sideways,full_day_trend,2019_2021,37,0.08743801838644229,0.0023631896861200617
Sideways,full_day_trend,2022_2023,0,0.0,0.0
Sideways,full_day_trend,2024_2025,0,0.0,0.0
Crisis,baseline,2011_2014,5,-0.013565320977108906,-0.0027130641954217815
Crisis,baseline,2015_2018,0,0.0,0.0
Crisis,baseline,2019_2021,1,0.005729552258022983,0.005729552258022983
Crisis,baseline,2022_2023,6,-0.009038393848390228,-0.0015063989747317048
Crisis,baseline,2024_2025,0,0.0,0.0
Crisis,tight_trail,2011_2014,6,-0.021338665565124253,-0.003556444260854042
Crisis,tight_trail,2015_2018,0,0.0,0.0
Crisis,tight_trail,2019_2021,2,0.006799551611728277,0.0033997758058641383
Crisis,tight_trail,2022_2023,7,-0.00838475325710629,-0.001197821893872327
Crisis,tight_trail,2024_2025,0,0.0,0.0
Crisis,dense_session,2011_2014,9,-0.03705001013582897,-0.004116667792869885
Crisis,dense_session,2015_2018,0,0.0,0.0
Crisis,dense_session,2019_2021,5,0.03432243416569825,0.0068644868331396505
Crisis,dense_session,2022_2023,12,0.03848626750284743,0.003207188958570619
Crisis,dense_session,2024_2025,0,0.0,0.0
Crisis,conservative_trend,2011_2014,5,-0.014102338416261732,-0.0028204676832523463
Crisis,conservative_trend,2015_2018,0,0.0,0.0
Crisis,conservative_trend,2019_2021,0,0.0,0.0
Crisis,conservative_trend,2022_2023,4,0.01013920504083678,0.002534801260209195
Crisis,conservative_trend,2024_2025,0,0.0,0.0
Crisis,loose_crisis,2011_2014,7,0.011720788267592545,0.0016743983239417921
Crisis,loose_crisis,2015_2018,0,0.0,0.0
Crisis,loose_crisis,2019_2021,8,-0.03214730917064944,-0.00401841364633118
Crisis,loose_crisis,2022_2023,16,0.011109954092281944,0.0006943721307676215
Crisis,loose_crisis,2024_2025,0,0.0,0.0
Crisis,bear_sideways_dense,2011_2014,13,0.0034513840447346995,0.00026549108036420766
Crisis,bear_sideways_dense,2015_2018,0,0.0,0.0
Crisis,bear_sideways_dense,2019_2021,13,-0.010025576582745027,-0.0007711981986726944
Crisis,bear_sideways_dense,2022_2023,0,0.0,0.0
Crisis,bear_sideways_dense,2024_2025,0,0.0,0.0
Crisis,full_day_trend,2011_2014,9,-0.03991415641712702,-0.004434906268569669
Crisis,full_day_trend,2015_2018,0,0.0,0.0
Crisis,full_day_trend,2019_2021,6,0.005734365740635411,0.0009557276234392351
Crisis,full_day_trend,2022_2023,0,0.0,0.0
Crisis,full_day_trend,2024_2025,0,0.0,0.0
Manipulation(scoped),baseline,2011_2014,0,0.0,0.0
Manipulation(scoped),baseline,2015_2018,0,0.0,0.0
Manipulation(scoped),baseline,2019_2021,0,0.0,0.0
Manipulation(scoped),baseline,2022_2023,0,0.0,0.0
Manipulation(scoped),baseline,2024_2025,0,0.0,0.0
Manipulation(scoped),tight_trail,2011_2014,0,0.0,0.0
Manipulation(scoped),tight_trail,2015_2018,0,0.0,0.0
Manipulation(scoped),tight_trail,2019_2021,0,0.0,0.0
Manipulation(scoped),tight_trail,2022_2023,0,0.0,0.0
Manipulation(scoped),tight_trail,2024_2025,0,0.0,0.0
Manipulation(scoped),dense_session,2011_2014,0,0.0,0.0
Manipulation(scoped),dense_session,2015_2018,0,0.0,0.0
Manipulation(scoped),dense_session,2019_2021,0,0.0,0.0
Manipulation(scoped),dense_session,2022_2023,0,0.0,0.0
Manipulation(scoped),dense_session,2024_2025,0,0.0,0.0
Manipulation(scoped),conservative_trend,2011_2014,0,0.0,0.0
Manipulation(scoped),conservative_trend,2015_2018,0,0.0,0.0
Manipulation(scoped),conservative_trend,2019_2021,0,0.0,0.0
Manipulation(scoped),conservative_trend,2022_2023,0,0.0,0.0
Manipulation(scoped),conservative_trend,2024_2025,0,0.0,0.0
Manipulation(scoped),loose_crisis,2011_2014,0,0.0,0.0
Manipulation(scoped),loose_crisis,2015_2018,0,0.0,0.0
Manipulation(scoped),loose_crisis,2019_2021,0,0.0,0.0
Manipulation(scoped),loose_crisis,2022_2023,0,0.0,0.0
Manipulation(scoped),loose_crisis,2024_2025,0,0.0,0.0
Manipulation(scoped),bear_sideways_dense,2011_2014,0,0.0,0.0
Manipulation(scoped),bear_sideways_dense,2015_2018,0,0.0,0.0
Manipulation(scoped),bear_sideways_dense,2019_2021,0,0.0,0.0
Manipulation(scoped),bear_sideways_dense,2022_2023,0,0.0,0.0
Manipulation(scoped),bear_sideways_dense,2024_2025,0,0.0,0.0
Manipulation(scoped),full_day_trend,2011_2014,0,0.0,0.0
Manipulation(scoped),full_day_trend,2015_2018,0,0.0,0.0
Manipulation(scoped),full_day_trend,2019_2021,0,0.0,0.0
Manipulation(scoped),full_day_trend,2022_2023,0,0.0,0.0
Manipulation(scoped),full_day_trend,2024_2025,0,0.0,0.0
