instrument,root,current_acceptance,calibration_2024_support,calibration_2024_wilson95_lcb,heldout_time_2025_support,heldout_time_2025_wilson95_lcb,calibration_split_passes,heldout_split_passes,one_split_passes,extra_2024_source_sessions_to_pass_fixed_split,extra_2025_source_sessions_to_pass_fixed_split,total_extra_sessions_to_make_fixed_splits_pass,post_2025_extension_use,blocker
NKE,Crisis,blocked,29,0.8830302015,70,0.9479769376,false,false,false,44,3,47,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
PFE,Bull,blocked,48,0.9258998703,48,0.9258998703,false,false,false,25,25,50,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMZN,Sideways,blocked,49,0.9273021808,47,0.9244423958,false,false,false,24,26,50,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
COP,Bull,blocked,67,0.9457738606,27,0.8754449703,false,false,false,6,46,52,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NFLX,Bear,blocked,21,0.8453609811,72,0.9493488274,false,false,false,52,1,53,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BA,Bull,blocked,20,0.8388748419,74,0.9506502206,false,true,true,53,0,53,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95
CAT,Bear,blocked,32,0.8928208017,59,0.9388706295,false,false,false,41,14,55,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CSCO,Bear,blocked,92,0.9599186107,17,0.8156818650,true,false,true,0,56,56,low_priority_or_requires_both_split_repair,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JPM,Sideways,blocked,32,0.8928208017,58,0.9378821442,false,false,false,41,15,56,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MS,Sideways,blocked,56,0.9358060633,34,0.8984854458,false,false,false,17,39,56,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BA,Sideways,blocked,45,0.9213484013,44,0.9197043962,false,false,false,28,29,57,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^IXIC,Sideways,blocked,36,0.9035813714,53,0.9324180114,false,false,false,37,20,57,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Sideways,blocked,91,0.9594959961,14,0.7846891973,true,false,true,0,59,59,low_priority_or_requires_both_split_repair,heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CVX,Bear,blocked,56,0.9358060633,29,0.8830302015,false,false,false,17,44,61,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MSFT,Bear,blocked,20,0.8388748419,65,0.9441984687,false,false,false,53,8,61,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
T,Sideways,blocked,36,0.9035813714,49,0.9273021808,false,false,false,37,24,61,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
SBUX,Sideways,blocked,32,0.8928208017,50,0.9286524009,false,false,false,41,23,64,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GOOGL,Bear,blocked,37,0.9059421742,44,0.9197043962,false,false,false,36,29,65,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NVDA,Bear,blocked,32,0.8928208017,49,0.9273021808,false,false,false,41,24,65,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GS,Sideways,blocked,46,0.9229264369,35,0.9010990077,false,false,false,27,38,65,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
VZ,Bear,blocked,30,0.8864866068,49,0.9273021808,false,false,false,43,24,67,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
SBUX,Crisis,blocked,20,0.8388748419,58,0.9378821442,false,false,false,53,15,68,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CAT,Sideways,blocked,53,0.9324180114,25,0.8668077491,false,false,false,20,48,68,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NFLX,Sideways,blocked,20,0.8388748419,58,0.9378821442,false,false,false,53,15,68,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MCD,Bear,blocked,62,0.9416559279,15,0.7961166990,false,false,false,11,58,69,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TSLA,Bear,blocked,53,0.9324180114,24,0.8620237953,false,false,false,20,49,69,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
META,Sideways,blocked,33,0.8957300025,44,0.9197043962,false,false,false,40,29,69,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GOOGL,Sideways,blocked,33,0.8957300025,41,0.9143324298,false,false,false,40,32,72,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GE,Sideways,blocked,42,0.9162012091,29,0.8830302015,false,false,false,31,44,75,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^RUT,Bear,blocked,15,0.7961166990,55,0.9347150989,false,false,false,58,18,76,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
META,Bear,blocked,29,0.8830302015,35,0.9010990077,false,false,false,44,38,82,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
ABBV,Bear,blocked,34,0.8984854458,29,0.8830302015,false,false,false,39,44,83,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
T,Bear,blocked,3,0.4385029682,59,0.9388706295,false,false,false,70,14,84,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMZN,Bear,blocked,15,0.7961166990,44,0.9197043962,false,false,false,58,29,87,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
PFE,Crisis,blocked,21,0.8453609811,36,0.9035813714,false,false,false,52,37,89,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
DIS,Crisis,blocked,15,0.7961166990,41,0.9143324298,false,false,false,58,32,90,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
COP,Crisis,blocked,0,0.0000000000,55,0.9347150989,false,false,false,73,18,91,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WFC,Bear,blocked,27,0.8754449703,27,0.8754449703,false,false,false,46,46,92,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BAC,Bear,blocked,22,0.8513451254,30,0.8864866068,false,false,false,51,43,94,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GE,Bear,blocked,26,0.8712710781,22,0.8513451254,false,false,false,47,51,98,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^IXIC,Bear,blocked,9,0.7008549516,39,0.9103331463,false,false,false,64,34,98,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MS,Bear,blocked,27,0.8754449703,19,0.8318207759,false,false,false,46,54,100,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
INTC,Bull,blocked,20,0.8388748419,23,0.8568833815,false,false,false,53,50,103,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NVDA,Crisis,blocked,13,0.7719046276,29,0.8830302015,false,false,false,60,44,104,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TMO,Crisis,blocked,0,0.0000000000,42,0.9162012091,false,false,false,73,31,104,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NKE,Bull,blocked,25,0.8668077491,13,0.7719046276,false,false,false,48,60,108,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
META,Crisis,blocked,0,0.0000000000,38,0.9081901318,false,false,false,73,35,108,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
UNH,Crisis,blocked,2,0.3423802275,34,0.8984854458,false,false,false,71,39,110,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NVDA,Sideways,blocked,8,0.6755924351,25,0.8668077491,false,false,false,65,48,113,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JPM,Bear,blocked,12,0.7575059933,19,0.8318207759,false,false,false,61,54,115,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMD,Sideways,blocked,10,0.7224672001,18,0.8241207764,false,false,false,63,55,118,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^GSPC,Bear,blocked,2,0.3423802275,22,0.8513451254,false,false,false,71,51,122,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WMT,Bear,blocked,0,0.0000000000,23,0.8568833815,false,false,false,73,50,123,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GS,Bear,blocked,0,0.0000000000,22,0.8513451254,false,false,false,73,51,124,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^DJI,Bear,blocked,1,0.2065493144,20,0.8388748419,false,false,false,72,53,125,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AMZN,Crisis,blocked,0,0.0000000000,21,0.8453609811,false,false,false,73,52,125,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
INTC,Sideways,blocked,16,0.8063923195,2,0.3423802275,false,false,false,57,71,128,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MS,Crisis,blocked,0,0.0000000000,16,0.8063923195,false,false,false,73,57,130,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GOOGL,Crisis,blocked,0,0.0000000000,15,0.7961166990,false,false,false,73,58,131,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
TSLA,Sideways,blocked,11,0.7411670330,4,0.5101091635,false,false,false,62,69,131,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GS,Crisis,blocked,0,0.0000000000,14,0.7846891973,false,false,false,73,59,132,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
BAC,Crisis,blocked,5,0.5655175352,8,0.6755924351,false,false,false,68,65,133,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CVX,Crisis,blocked,0,0.0000000000,13,0.7719046276,false,false,false,73,60,133,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WFC,Crisis,blocked,0,0.0000000000,10,0.7224672001,false,false,false,73,63,136,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
NFLX,Crisis,blocked,9,0.7008549516,0,0.0000000000,false,false,false,64,73,137,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
T,Crisis,blocked,9,0.7008549516,0,0.0000000000,false,false,false,64,73,137,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
VZ,Crisis,blocked,9,0.7008549516,0,0.0000000000,false,false,false,64,73,137,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
AAPL,Crisis,blocked,0,0.0000000000,7,0.6456695649,false,false,false,73,66,139,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CAT,Crisis,blocked,0,0.0000000000,4,0.5101091635,false,false,false,73,69,142,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^RUT,Crisis,blocked,4,0.5101091635,0,0.0000000000,false,false,false,69,73,142,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
GE,Crisis,blocked,0,0.0000000000,3,0.4385029682,false,false,false,73,70,143,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JPM,Crisis,blocked,0,0.0000000000,3,0.4385029682,false,false,false,73,70,143,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
ABBV,Crisis,blocked,0,0.0000000000,2,0.3423802275,false,false,false,73,71,144,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MSFT,Crisis,blocked,0,0.0000000000,2,0.3423802275,false,false,false,73,71,144,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
CSCO,Crisis,blocked,1,0.2065493144,0,0.0000000000,false,false,false,72,73,145,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
HD,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
JNJ,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
MCD,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
WMT,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
XOM,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^DJI,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^GSPC,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
^IXIC,Crisis,blocked,0,0.0000000000,0,0.0000000000,false,false,false,73,73,146,low_priority_or_requires_both_split_repair,calibration_support_below_73|calibration_wilson95_below_0_95|heldout_time_support_below_73|heldout_time_wilson95_below_0_95
