request_id,provider,instrument,timeframe,root,missing_or_rejected_reason,required_label_source,forbidden_proxy_sources,minimum_acceptance_note,decision_layer,decision,decision_tier,source_family,guardrail
mainregimev2-root-slot-0066,yfinance,ES=F,5m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0068,yfinance,ES=F,5m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0085,yfinance,SPY,5m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0086,yfinance,SPY,5m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0088,yfinance,SPY,5m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0101,yfinance,^GSPC,5m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0102,yfinance,^GSPC,5m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0104,yfinance,^GSPC,5m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_macro_crisis_calendar_window,NBER US contraction months,"Use only bars whose timestamp falls in an NBER contraction month; mark as macro Crisis provenance, not a volatility-only OHLCV detector."
mainregimev2-root-slot-0121,yfinance,ES=F,15m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0122,yfinance,ES=F,15m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0124,yfinance,ES=F,15m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0141,yfinance,SPY,15m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0142,yfinance,SPY,15m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0144,yfinance,SPY,15m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0157,yfinance,^GSPC,15m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0158,yfinance,^GSPC,15m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0160,yfinance,^GSPC,15m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_macro_crisis_calendar_window,NBER US contraction months,"Use only bars whose timestamp falls in an NBER contraction month; mark as macro Crisis provenance, not a volatility-only OHLCV detector."
mainregimev2-root-slot-0177,yfinance,ES=F,30m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0178,yfinance,ES=F,30m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0180,yfinance,ES=F,30m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0197,yfinance,SPY,30m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0198,yfinance,SPY,30m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0200,yfinance,SPY,30m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0213,yfinance,^GSPC,30m,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0214,yfinance,^GSPC,30m,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0216,yfinance,^GSPC,30m,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_macro_crisis_calendar_window,NBER US contraction months,"Use only bars whose timestamp falls in an NBER contraction month; mark as macro Crisis provenance, not a volatility-only OHLCV detector."
mainregimev2-root-slot-0233,yfinance,ES=F,1h,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0234,yfinance,ES=F,1h,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0236,yfinance,ES=F,1h,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0253,yfinance,SPY,1h,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0254,yfinance,SPY,1h,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
mainregimev2-root-slot-0256,yfinance,SPY,1h,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_spx_tradable_proxy,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy_macro_crisis,NBER US contraction months,Allowed only for SPY and ES=F bars inside NBER contraction months; keep proxy tier explicit and do not treat as universal cross-asset Crisis labels.
mainregimev2-root-slot-0269,yfinance,^GSPC,1h,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0270,yfinance,^GSPC,1h,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,same_underlying_spx_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_calendar_window,Yardeni S&P 500 Bull/Bear dated windows,Use only session dates inside Yardeni S&P 500 windows; monthly bars require unambiguous month containment; refresh open-ended 2022-10-12 Bull window before live attachment.
mainregimev2-root-slot-0272,yfinance,^GSPC,1h,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,macro_crisis_to_gspc_time_projection,approve_to_attach_with_guards,same_underlying_macro_crisis_calendar_window,NBER US contraction months,"Use only bars whose timestamp falls in an NBER contraction month; mark as macro Crisis provenance, not a volatility-only OHLCV detector."
mainregimev2-root-slot-0353,yfinance,ES=F,1mo,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.,spx_tradable_proxy_time_projection,conditional_approve_to_attach_with_proxy_tier,s_and_p_500_tradable_proxy,Yardeni S&P 500 Bull/Bear dated windows,"Allowed only for SPY and ES=F as S&P 500 economic-equivalence proxies; keep proxy tier explicit and do not propagate to QQQ, DIA, NQ, YM, commodities, vol, or crypto."
