path,name,suffix,header_hits,archive_member_hits,classification,accepted_source_control,reason
/Users/thrill3r/Downloads/repo-intake/AutoHedge/logs/trades_20250305_193129.csv,trades_20250305_193129.csv,.csv,price,none,local_trade_log_not_owner_export,false,Local/private trade log; no source-owner control labels or provenance.
/Users/thrill3r/Downloads/repo-intake/Algorithmic-trading/tradfi/ninjatrader/Indicators/Sophon_v2_Institutional.tar.gz,Sophon_v2_Institutional.tar.gz,.gz,none,execution,strategy_code_or_docs_not_source_rows,false,Strategy package/docs; execution text is not owner-export evidence.
/Users/thrill3r/Downloads/repo-intake/Algorithmic-trading/tradfi/ninjatrader/Utils/02-drawdown-recovery.md,02-drawdown-recovery.md,.md,size,none,strategy_code_or_docs_not_source_rows,false,Strategy package/docs; execution text is not owner-export evidence.
/Users/thrill3r/Downloads/repo-intake/Algorithmic-trading/tradfi/ninjatrader/Utils/01-position-sizing.md,01-position-sizing.md,.md,side|size|mbo,none,strategy_code_or_docs_not_source_rows,false,Strategy package/docs; execution text is not owner-export evidence.
/Users/thrill3r/Downloads/repo-intake/Algorithmic-trading/tradfi/ninjatrader/Utils/RISK_MANAGEMENT.md,RISK_MANAGEMENT.md,.md,price|size,none,strategy_code_or_docs_not_source_rows,false,Strategy package/docs; execution text is not owner-export evidence.
/Users/thrill3r/Downloads/repo-intake/Algorithmic-trading/tradfi/ninjatrader/Utils/04-monte-carlo.md,04-monte-carlo.md,.md,side|size|sequence,none,strategy_code_or_docs_not_source_rows,false,Strategy package/docs; execution text is not owner-export evidence.
/Users/thrill3r/Downloads/repo-intake/GenericAgent/memory/procmem_scanner_sop.md,procmem_scanner_sop.md,.md,size,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/config/capability-catalog.json,capability-catalog.json,.json,execution|side|sequence,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/references/role-pack-catalog.md,role-pack-catalog.md,.md,execution,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/bundled/skills/iso-13485-certification/SKILL.md,SKILL.md,.md,sequence,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/bundled/skills/verification-quality-assurance/SKILL.md,SKILL.md,.md,size,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/bundled/skills/jupyter-notebook/SKILL.md,SKILL.md,.md,delete|execution|fill,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/bundled/skills/jupyter-notebook/LICENSE.txt,LICENSE.txt,.txt,modify|side,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/bundled/skills/open-notebook/SKILL.md,SKILL.md,.md,execution|side,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/operator-default-runbooks.md,operator-default-runbooks.md,.md,delete|execution|sequence,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/contributor-default-runbooks.md,contributor-default-runbooks.md,.md,execution,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/design/blackbox-probe-and-enhancement-playbook.md,blackbox-probe-and-enhancement-playbook.md,.md,side,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/archive/root-docs/soft-migration-playbook.md,soft-migration-playbook.md,.md,execution,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/archive/root-docs/wave15-18-verification-spec.md,wave15-18-verification-spec.md,.md,execution,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/plans/2026-04-09-pr141-codex-duplicate-surface-trailing-slash-execution-plan.md,2026-04-09-pr141-codex-duplicate-surface-trailing-slash-execution-plan.md,.md,modify|execution,none,unrelated_repo_intake_docs_or_code,false,Repository docs/code false positive from generic order/execution vocabulary.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/market_orders_faq.md,market_orders_faq.md,.md,execution|fill|side|price|mbo,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_count_decrement.md,order_count_decrement.md,.md,cancel|fill,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_amend_keep_priority.md,order_amend_keep_priority.md,.md,order id|modify|cancel|execution|fill|side|price|mbo,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/market_orders_faq_CN.md,market_orders_faq_CN.md,.md,execution|fill|side|price|mbo,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/pegged_orders.md,pegged_orders.md,.md,cancel|fill|side|price|mbo,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/pegged_orders_CN.md,pegged_orders_CN.md,.md,cancel|fill|side|price|mbo,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_amend_keep_priority_CN.md,order_amend_keep_priority_CN.md,.md,order id|cancel|execution,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_count_decrement_CN.md,order_count_decrement_CN.md,.md,fill,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/resources/component_catalog.json,component_catalog.json,.json,execution|price|mbo,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/docs/datahub-phases/phase-06-economics-dbnomics.md,phase-06-economics-dbnomics.md,.md,size,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/kraken-cli/agents/tool-catalog.json,tool-catalog.json,.json,order id|delete|execution|price,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/kraken-cli/agents/error-catalog.json,error-catalog.json,.json,side,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/kraken-cli/skills/kraken-order-types/SKILL.md,SKILL.md,.md,cancel|fill|side|price,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/kraken-cli/skills/recipe-basis-trade-entry/SKILL.md,SKILL.md,.md,cancel|fill|price|size,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/external-data-sources/kraken-cli/skills/recipe-track-orderbook-depth/SKILL.md,SKILL.md,.md,side,none,external_api_docs_or_tooling,false,API/tool docs mention order terms but contain no Board A source/control rows.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/showcase/skills/panel-component-colocated-helpers/SKILL.md,SKILL.md,.md,cancel|fill|side|price|size|mbo,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/shell-doc-gen-and-locate/SKILL.md,SKILL.md,.md,size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/delegated-file-edit-verification/SKILL.md,SKILL.md,.md,execution|size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/ppt-workflow-location-enhanced-72b4a5/SKILL.md,SKILL.md,.md,execution|size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/pdf-verification-check-112b09/SKILL.md,SKILL.md,.md,size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/pdf-page-verification-correction/SKILL.md,SKILL.md,.md,side|size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/pdf-verification-cli-enhanced/SKILL.md,SKILL.md,.md,size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/locate-missing-artifacts/SKILL.md,SKILL.md,.md,execution|size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/pdf-verification-check/SKILL.md,SKILL.md,.md,modify,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/pdf-verification-cli-enhanced-657992/SKILL.md,SKILL.md,.md,modify|size|sequence,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/pdf-verification/SKILL.md,SKILL.md,.md,size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/ppt-workflow-location-enhanced/SKILL.md,SKILL.md,.md,execution|side|size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/spreadsheet-direct-verification/SKILL.md,SKILL.md,.md,side,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/reliable-excel-workbook-creation/SKILL.md,SKILL.md,.md,modify|fill,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/pdf-verification-cli/SKILL.md,SKILL.md,.md,execution,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/file-locate-verify/SKILL.md,SKILL.md,.md,size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/ppt-workflow-location-enhanced-877e03/SKILL.md,SKILL.md,.md,execution|size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/gdpval_bench/skills/ppt-workflow-location/SKILL.md,SKILL.md,.md,size,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
/Users/thrill3r/Downloads/hermes-memory-eval/CLI-Anything/notebooklm/agent-harness/NOTEBOOKLM.md,NOTEBOOKLM.md,.md,side,none,hermes_eval_docs_or_skills,false,Skill/eval text false positive from generic order words.
