path,suffix,rows,columns,field_count,verdict,ohlcv_fields_present,required_group_matches,note
docs/experiments/actionable-regime-confidence/runs/20260510T202359-hermes-cross-market-regime-validation/cross-market/cross_market_regime_features_and_labels.csv,.csv,12162,32,32,ohlcv_or_derived_only,close;count;high;low;open;ts;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T202359-hermes-cross-market-regime-validation/cross-market/simple_threshold_candidate_search.json,.json,,,20,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T202359-hermes-cross-market-regime-validation/evidence_packet_cross_market_regime_validation.json,.json,,,121,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/autoquant/auto-quant-status-after-prepare-agent.json,.json,,,40,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/autoquant/auto-quant-status-agent.json,.json,,,40,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/autoquant/state/auto-quant/auto-quant/auto_quant_dependency.json,.json,,,6,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/calibration/per_regime_candidate_rules.csv,.csv,25,16,16,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/calibration/per_regime_candidate_search_report.json,.json,,,74,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/evidence_packet_per_regime_candidate_search.json,.json,,,41,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/policy-training-status-nq.json,.json,,,117,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/pre-bayes-status-nq.json,.json,,,88,ohlcv_or_derived_only,high;low,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T105601_h4.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T105601_htf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T105601_ltf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T105601_m1.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T105601_m5.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T105601_mtf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T105601_spot.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T110505_h4.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T110505_htf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T110505_ltf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T110505_m1.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T110505_m5.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T110505_mtf.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_live_20260510T110505_spot.json,.json,,,7,ohlcv_or_derived_only,close;high;low;open;timestamp;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/analyze_runs.json,.json,39,,379,ohlcv_or_derived_only,high;low;timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/artifact_ledger.json,.json,195,,37,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/bbn_network.json,.json,,,17,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/ensemble_executor_scorecards.json,.json,2,,10,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/ensemble_vote.json,.json,,,57,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/ensemble_vote_history.json,.json,39,,57,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/execution_candidate.json,.json,,,140,ohlcv_or_derived_only,high;low,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/execution_candidate_history.json,.json,39,,141,ohlcv_or_derived_only,high;low,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/execution_tree_trace.json,.json,,,27,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/learning_state.json,.json,,,263,partial_microstructure_like_fields_not_sufficient,timestamp,"{""tick_or_trade"": [""trade_id""]}",
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/mece_recovery_artifact.json,.json,,,21,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/pending_update_feedback.json,.json,,,168,partial_microstructure_like_fields_not_sufficient,high;low;timestamp,"{""tick_or_trade"": [""trade_id""]}",
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/pending_update_history.json,.json,39,,169,partial_microstructure_like_fields_not_sufficient,high;low;timestamp,"{""tick_or_trade"": [""trade_id""]}",
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/breaker_rb_bbn_training.csv,.csv,0,12,12,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/breaker_rb_catboost_training.csv,.csv,0,24,24,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/breaker_rb_training_export_summary.json,.json,,,6,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/cisd_rb_bbn_training.csv,.csv,0,13,13,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/cisd_rb_catboost_training.csv,.csv,0,27,27,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/cisd_rb_training_export_summary.json,.json,,,6,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/structural_path_ranking_runtime_selection.json,.json,,,5,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/structural_path_ranking_target.csv,.csv,3,37,37,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/structural_path_ranking_target_history.csv,.csv,1462,37,37,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/structural_path_ranking_target_summary.json,.json,,,39,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/policy_training/structural_path_ranking_trainer_artifact.json,.json,,,22,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/pre_bayes_policy_history.json,.json,39,,31,ohlcv_or_derived_only,timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/update_runs.json,.json,40,,227,ohlcv_or_derived_only,timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/NQ/workflow_snapshot.json,.json,,,361,ohlcv_or_derived_only,high;low;timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/artifact_ledger.json,.json,5,,26,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/auto_quant_prior_init_NQ_20260510T105659.307491000Z.json,.json,,,26,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/auto_quant_prior_init_NQ_20260510T113446.792406000Z.json,.json,,,26,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/auto_quant_prior_init_NQ_20260510T120222.392671000Z.json,.json,,,26,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/auto_quant_prior_init_NQ_20260510T120819.011688000Z.json,.json,,,11,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/auto_quant_prior_init_history.json,.json,4,,32,ohlcv_or_derived_only,timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/auto_quant_strategy_library.json,.json,,,38,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/NQ/bbn_network.json,.json,,,17,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/ict-engine/state-copy/auto-quant/auto-quant/auto_quant_dependency.json,.json,,,6,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T203010-hermes-per-regime-candidate-search/provider/provider-status-agent.json,.json,,,25,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/autoquant/auto-quant-status-current-managed.json,.json,,,40,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/autoquant/auto-quant-status-current.json,.json,,,40,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/evidence_packet_a8_transition_sidecar.json,.json,,,62,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/ict-engine/fresh_chain_readback_summary.json,.json,,,19,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/ict-engine/policy-training-status-nq-current.json,.json,,,117,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/ict-engine/pre-bayes-status-nq-current.json,.json,,,88,ohlcv_or_derived_only,high;low,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/ict-engine/workflow-status-nq-current.json,.json,,,361,ohlcv_or_derived_only,high;low;timestamp,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/provider/provider-status-agent-current.json,.json,,,25,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/sidecar/a8_transition_sidecar_candidate_report.json,.json,,,84,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/sidecar/a8_transition_sidecar_candidate_rules.csv,.csv,15,16,16,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T204325-hermes-a8-transition-sidecar/sidecar/a8_transition_sidecar_features.csv,.csv,12162,53,53,ohlcv_or_derived_only,close;count;high;low;open;ts;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T205000-hermes-a9-tv-formula-recipes/evidence_packet_a9_tv_formula_recipes.json,.json,,,44,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T205000-hermes-a9-tv-formula-recipes/recipes/a9_tv_formula_candidate_report.json,.json,,,74,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T205000-hermes-a9-tv-formula-recipes/recipes/a9_tv_formula_candidate_rules.csv,.csv,15,16,16,no_relevant_fields,,{},
docs/experiments/actionable-regime-confidence/runs/20260510T205000-hermes-a9-tv-formula-recipes/recipes/a9_tv_formula_features.csv,.csv,12162,51,51,ohlcv_or_derived_only,close;count;high;low;open;ts;volume,{},
docs/experiments/actionable-regime-confidence/runs/20260510T205000-hermes-a9-tv-formula-recipes/recipes/tradingview_formula_recipe_manifest.json,.json,,,14,no_relevant_fields,,{},
