pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,source_timerange_label,source_timerange,trade_seq,is_win,parent_regime_root,parent_regime_confidence_floor,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,branch_path_source,recipe_id,trade_or_bar_horizon,allowed_action,suppression_rule
AVAX/USDT,2241.612,2241.612,43.85,2021-09-13T08:00:00+00:00,2021-09-15T09:00:00+00:00,51.12,53.92,0.001,0.001,2940,0.052665644214939994,118.173996,exit_signal,0.52,-0.99,0.52,-0.99,47.66,58.0,False,,1.0,False,1631520000000,1631696400000,"[{'amount': 43.85, 'safe_price': 51.12, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631520000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2243.853612}, {'amount': 43.85, 'safe_price': 53.92, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631696400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2366.7563920000002}]",0.0,2,full_5y,20210101-20251231,11,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
BNB/USDT,2354.8067,2354.8067,5.773,2021-09-17T12:00:00+00:00,2021-09-18T06:00:00+00:00,407.9,418.6,0.001,0.001,1080,0.02418150616238383,56.9997155,exit_signal,4.1,-0.99,4.1,-0.99,400.4,419.3,False,,1.0,False,1631880000000,1631944800000,"[{'amount': 5.773, 'safe_price': 407.9, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631880000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2357.1615066999993}, {'amount': 5.773, 'safe_price': 418.6, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631944800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2418.9943777999997}]",0.0,5,full_5y,20210101-20251231,12,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,3452.23424,3452.23424,23.296,2021-09-16T21:00:00+00:00,2021-09-18T07:00:00+00:00,148.19,155.5,0.001,0.001,2040,0.047232004111685606,163.21899776,exit_signal,1.49,-0.99,1.49,-0.99,134.0,158.7,False,,1.0,False,1631826000000,1631948400000,"[{'amount': 23.296, 'safe_price': 148.19, 'ft_order_side': 'buy', 'order_filled_timestamp': 1631826000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 3455.6864742399994}, {'amount': 23.296, 'safe_price': 155.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1631948400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 3626.150527999999}]",0.0,5,full_5y,20210101-20251231,13,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
BNB/USDT,2473.113,2473.113,6.114,2021-09-19T12:00:00+00:00,2021-09-19T16:00:00+00:00,404.5,413.5,0.001,0.001,240,0.020207234051486216,50.024748,exit_signal,4.1,-0.99,4.1,-0.99,403.2,418.4,False,,1.0,False,1632052800000,1632067200000,"[{'amount': 6.114, 'safe_price': 404.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632052800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2475.5861129999994}, {'amount': 6.114, 'safe_price': 413.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632067200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2530.6671389999997}]",0.0,6,full_5y,20210101-20251231,14,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
AVAX/USDT,2374.4955,2374.4955,39.45,2021-09-20T12:00:00+00:00,2021-09-21T14:00:00+00:00,60.19,64.62,0.001,0.001,1560,0.07145521034871424,169.8397455,exit_signal,0.61,-0.99,0.61,-0.99,52.55,66.1,False,,1.0,False,1632139200000,1632232800000,"[{'amount': 39.45, 'safe_price': 60.19, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632139200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2376.8699954999997}, {'amount': 39.45, 'safe_price': 64.62, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632232800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2551.8082590000004}]",0.0,1,full_5y,20210101-20251231,15,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
BNB/USDT,2711.902,2711.902,6.883,2021-09-20T03:00:00+00:00,2021-09-22T14:00:00+00:00,394.0,362.5,0.001,0.001,3540,-0.08178750183826326,-222.0214895,exit_signal,4.0,-0.99,4.0,-0.99,336.8,395.7,False,,1.0,False,1632106800000,1632319200000,"[{'amount': 6.883, 'safe_price': 394.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632106800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2714.6139019999996}, {'amount': 6.883, 'safe_price': 362.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632319200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2497.5825874999996}]",0.0,2,full_5y,20210101-20251231,16,False,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,3485.72004,3485.72004,23.369,2021-09-20T01:00:00+00:00,2021-09-22T15:00:00+00:00,149.16,136.67,0.001,0.001,3720,-0.0855662840779494,-298.55837127,exit_signal,1.5,-0.99,1.5,-0.99,116.0,152.47,False,,1.0,False,1632099600000,1632322800000,"[{'amount': 23.369, 'safe_price': 149.16, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632099600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 3489.2057600399994}, {'amount': 23.369, 'safe_price': 136.67, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632322800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 3197.035071229999}]",0.0,2,full_5y,20210101-20251231,17,False,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,4135.38774,4135.38774,30.822,2021-09-24T10:00:00+00:00,2021-09-26T13:00:00+00:00,134.17,137.46,0.001,0.001,3060,0.02247413464526083,93.03220014,exit_signal,1.35,-0.99,1.35,-0.99,124.8,144.22,False,,1.0,False,1632477600000,1632661200000,"[{'amount': 30.822, 'safe_price': 134.17, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632477600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 4139.523127739999}, {'amount': 30.822, 'safe_price': 137.46, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632661200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 4241.028912119999}]",0.0,6,full_5y,20210101-20251231,18,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
BNB/USDT,3612.9619,3612.9619,10.403,2021-09-24T10:00:00+00:00,2021-09-26T16:00:00+00:00,347.3,349.8,0.001,0.001,3240,0.005186003170454654,18.7555687,exit_signal,3.5,-0.99,3.5,-0.99,320.0,360.8,False,,1.0,False,1632477600000,1632672000000,"[{'amount': 10.403, 'safe_price': 347.3, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632477600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 3616.5748618999996}, {'amount': 10.403, 'safe_price': 349.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632672000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 3642.6083694}]",0.0,6,full_5y,20210101-20251231,19,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
AVAX/USDT,2310.1603,2310.1603,36.71,2021-09-26T08:00:00+00:00,2021-09-26T16:00:00+00:00,62.93,70.02,0.001,0.001,480,0.1104417590989973,255.3933055,exit_signal,0.63,-0.99,0.63,-0.99,61.88,71.44,False,,1.0,False,1632643200000,1632672000000,"[{'amount': 36.71, 'safe_price': 62.93, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632643200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2312.4704602999996}, {'amount': 36.71, 'safe_price': 70.02, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632672000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2573.0046341999996}]",0.0,6,full_5y,20210101-20251231,20,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,4468.98686,4468.98686,34.274,2021-09-28T16:00:00+00:00,2021-09-29T04:00:00+00:00,130.39,138.8,0.001,0.001,720,0.0623719405067668,279.01812194,exit_signal,1.31,-0.99,1.31,-0.99,128.17,139.85,False,,1.0,False,1632844800000,1632888000000,"[{'amount': 34.274, 'safe_price': 130.39, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632844800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 4473.45584686}, {'amount': 34.274, 'safe_price': 138.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632888000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 4761.9884311999995}]",0.0,2,full_5y,20210101-20251231,21,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
AVAX/USDT,2452.4115,2452.4115,39.27,2021-09-28T18:00:00+00:00,2021-09-29T16:00:00+00:00,62.45,67.33,0.001,0.001,1320,0.07598838311408367,186.5411394,exit_signal,0.63,-0.99,0.63,-0.99,61.11,69.5,False,,1.0,False,1632852000000,1632931200000,"[{'amount': 39.27, 'safe_price': 62.45, 'ft_order_side': 'buy', 'order_filled_timestamp': 1632852000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2454.8639115}, {'amount': 39.27, 'safe_price': 67.33, 'ft_order_side': 'sell', 'order_filled_timestamp': 1632931200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2646.6931491}]",0.0,2,full_5y,20210101-20251231,22,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
SOL/USDT,3265.33013,3265.33013,20.941,2021-10-06T08:00:00+00:00,2021-10-07T14:00:00+00:00,155.93,159.78,0.001,0.001,1800,0.02264323248098019,74.01156689,exit_signal,1.56,-0.99,1.56,-0.99,150.1,162.89,False,,1.0,False,1633507200000,1633615200000,"[{'amount': 20.941, 'safe_price': 155.93, 'ft_order_side': 'buy', 'order_filled_timestamp': 1633507200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 3268.5954601299995}, {'amount': 20.941, 'safe_price': 159.78, 'ft_order_side': 'sell', 'order_filled_timestamp': 1633615200000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 3349.29893298}]",0.0,3,full_5y,20210101-20251231,23,True,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
AVAX/USDT,2382.1945,2382.1945,37.45,2021-10-05T16:00:00+00:00,2021-10-07T22:00:00+00:00,63.61,61.72,0.001,0.001,3240,-0.031650946129801655,-75.4741085,exit_signal,0.64,-0.99,0.64,-0.99,57.39,66.21,False,,1.0,False,1633449600000,1633644000000,"[{'amount': 37.45, 'safe_price': 63.61, 'ft_order_side': 'buy', 'order_filled_timestamp': 1633449600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 2384.5766944999996}, {'amount': 37.45, 'safe_price': 61.72, 'ft_order_side': 'sell', 'order_filled_timestamp': 1633644000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 2313.725414}]",0.0,3,full_5y,20210101-20251231,24,False,Bull,0.9797225384,absent_not_evaluated_by_direct_source,BullPullback,CapitulationMeanReversionSetup,counter_trend_drawdown_rebound,CrashRebound,Bull -> BullPullback -> CapitulationMeanReversionSetup -> CrashRebound,regime_profit_branch_path/v1,auto_quant_v0.4.1_calendar_regime_proxy_not_board_a_source_label,CrashRebound,1h_entry_exit_trade,trade_allowed_after_root_gate,none
