request_id,provider,instrument,timeframe,root,missing_or_rejected_reason,required_label_source,forbidden_proxy_sources,minimum_acceptance_note
mainregimev2-root-slot-0300,yfinance,QQQ,1d,Crisis,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0305,yfinance,^NDX,1d,Bull,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0306,yfinance,^NDX,1d,Bear,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0307,yfinance,^NDX,1d,Sideways,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0308,yfinance,^NDX,1d,Crisis,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0325,yfinance,NQ=F,1w,Bull,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0326,yfinance,NQ=F,1w,Bear,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0327,yfinance,NQ=F,1w,Sideways,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0328,yfinance,NQ=F,1w,Crisis,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0329,yfinance,QQQ,1w,Bull,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0330,yfinance,QQQ,1w,Bear,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0331,yfinance,QQQ,1w,Sideways,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0332,yfinance,QQQ,1w,Crisis,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0337,yfinance,^NDX,1w,Bull,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0338,yfinance,^NDX,1w,Bear,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0339,yfinance,^NDX,1w,Sideways,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0340,yfinance,^NDX,1w,Crisis,rejected_near_underlying_proxy_not_accepted,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0353,yfinance,ES=F,1mo,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0354,yfinance,ES=F,1mo,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0355,yfinance,ES=F,1mo,Sideways,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0356,yfinance,ES=F,1mo,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0365,yfinance,NQ=F,1mo,Bull,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0366,yfinance,NQ=F,1mo,Bear,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0367,yfinance,NQ=F,1mo,Sideways,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
mainregimev2-root-slot-0368,yfinance,NQ=F,1mo,Crisis,missing_intraday_or_monthly_source_label,independent_exact_underlying_parent_root_label_panel,hmm_state_or_ohlcv_derived_proxy_or_strategy_prediction_or_future_return_label,Must provide source-backed Bull/Bear/Sideways/Crisis label windows for this exact provider/instrument/timeframe/root slot.
