surface,path,filename,size_bytes,candidate_root
tmp,/private/tmp/ict-engine-direct-manipulation-row-intake/provenance_manifest.json,provenance_manifest.json,1450,/private/tmp/ict-engine-direct-manipulation-row-intake
tmp,/private/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,/private/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake
tmp,/private/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,/private/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake
tmp,/private/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/provenance_manifest.json,provenance_manifest.json,6572,/private/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake
tmp,/private/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,/private/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake
tmp,/private/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,/private/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake
tmp,/private/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/provenance_manifest.json,provenance_manifest.json,1458,/private/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,63774,docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,64548,docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,2204,docs/experiments/actionable-regime-confidence/runs/20260512T000345-codex-r6-moncada-species-extension-calibration-v1/r6-moncada-species-extension-calibration/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T002000-codex-r6-oystacher-exhibit-a-row-materialization-v1/r6-oystacher-exhibit-a-row-materialization/isolated-oystacher-exhibit-a-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,3344725,docs/experiments/actionable-regime-confidence/runs/20260512T002000-codex-r6-oystacher-exhibit-a-row-materialization-v1/r6-oystacher-exhibit-a-row-materialization/isolated-oystacher-exhibit-a-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T002000-codex-r6-oystacher-exhibit-a-row-materialization-v1/r6-oystacher-exhibit-a-row-materialization/isolated-oystacher-exhibit-a-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,1093232,docs/experiments/actionable-regime-confidence/runs/20260512T002000-codex-r6-oystacher-exhibit-a-row-materialization-v1/r6-oystacher-exhibit-a-row-materialization/isolated-oystacher-exhibit-a-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T002000-codex-r6-oystacher-exhibit-a-row-materialization-v1/r6-oystacher-exhibit-a-row-materialization/isolated-oystacher-exhibit-a-intake/provenance_manifest.json,provenance_manifest.json,1325,docs/experiments/actionable-regime-confidence/runs/20260512T002000-codex-r6-oystacher-exhibit-a-row-materialization-v1/r6-oystacher-exhibit-a-row-materialization/isolated-oystacher-exhibit-a-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-live-intake-rehydration-v1/r6-live-intake-rehydration/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-live-intake-rehydration-v1/r6-live-intake-rehydration
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-live-intake-rehydration-v1/r6-live-intake-rehydration/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-live-intake-rehydration-v1/r6-live-intake-rehydration
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-live-intake-rehydration-v1/r6-live-intake-rehydration/provenance_manifest.json,provenance_manifest.json,1450,docs/experiments/actionable-regime-confidence/runs/20260511T235910-codex-r6-live-intake-rehydration-v1/r6-live-intake-rehydration
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000048-codex-r6-isolated-reconstruction-verification-v57/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,docs/experiments/actionable-regime-confidence/runs/20260512T000048-codex-r6-isolated-reconstruction-verification-v57/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000048-codex-r6-isolated-reconstruction-verification-v57/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,docs/experiments/actionable-regime-confidence/runs/20260512T000048-codex-r6-isolated-reconstruction-verification-v57/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000048-codex-r6-isolated-reconstruction-verification-v57/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,1130,docs/experiments/actionable-regime-confidence/runs/20260512T000048-codex-r6-isolated-reconstruction-verification-v57/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58949,docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58689,docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,1554,docs/experiments/actionable-regime-confidence/runs/20260511T235745-codex-r6-active-sidecar-isolated-calibration-v1/r6-active-sidecar-isolated-calibration/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,6572,docs/experiments/actionable-regime-confidence/runs/20260511T235726-codex-r6-isolated-reconstruction-snapshot-v56/r6-isolated-reconstruction-snapshot-v56/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,13939,docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,13428,docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake/provenance_manifest.json,provenance_manifest.json,939,docs/experiments/actionable-regime-confidence/runs/20260511T235048-codex-r6-jpmorgan-order-positive-row-candidate-screen-v1/delta-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000038-codex-r6-isolated-rehydration-split-readback-v1/r6-isolated-rehydration-split-readback/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,58924,docs/experiments/actionable-regime-confidence/runs/20260512T000038-codex-r6-isolated-rehydration-split-readback-v1/r6-isolated-rehydration-split-readback/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000038-codex-r6-isolated-rehydration-split-readback-v1/r6-isolated-rehydration-split-readback/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,58890,docs/experiments/actionable-regime-confidence/runs/20260512T000038-codex-r6-isolated-rehydration-split-readback-v1/r6-isolated-rehydration-split-readback/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T000038-codex-r6-isolated-rehydration-split-readback-v1/r6-isolated-rehydration-split-readback/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,2257,docs/experiments/actionable-regime-confidence/runs/20260512T000038-codex-r6-isolated-rehydration-split-readback-v1/r6-isolated-rehydration-split-readback/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T052444-codex-r6-owner-export-dispatch-manifest-v1/r6-owner-export-dispatch-manifest-v1/cboe_cfe_owner_export_dispatch_v1.eml,cboe_cfe_owner_export_dispatch_v1.eml,1123,docs/experiments/actionable-regime-confidence/runs/20260512T052444-codex-r6-owner-export-dispatch-manifest-v1/r6-owner-export-dispatch-manifest-v1
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T052444-codex-r6-owner-export-dispatch-manifest-v1/r6-owner-export-dispatch-manifest-v1/cme_group_owner_export_dispatch_v1.eml,cme_group_owner_export_dispatch_v1.eml,1139,docs/experiments/actionable-regime-confidence/runs/20260512T052444-codex-r6-owner-export-dispatch-manifest-v1/r6-owner-export-dispatch-manifest-v1
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T052711-codex-r6-owner-export-dispatch-manifest-v2-v5-addendum-v1/r6-owner-export-dispatch-manifest-v2-v5-addendum-v1/cboe_cfe_owner_export_dispatch_v2.eml,cboe_cfe_owner_export_dispatch_v2.eml,1725,docs/experiments/actionable-regime-confidence/runs/20260512T052711-codex-r6-owner-export-dispatch-manifest-v2-v5-addendum-v1/r6-owner-export-dispatch-manifest-v2-v5-addendum-v1
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T052711-codex-r6-owner-export-dispatch-manifest-v2-v5-addendum-v1/r6-owner-export-dispatch-manifest-v2-v5-addendum-v1/cme_group_owner_export_dispatch_v2.eml,cme_group_owner_export_dispatch_v2.eml,1696,docs/experiments/actionable-regime-confidence/runs/20260512T052711-codex-r6-owner-export-dispatch-manifest-v2-v5-addendum-v1/r6-owner-export-dispatch-manifest-v2-v5-addendum-v1
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T052650-codex-r6-owner-export-v5-dispatch-manifest-v1/r6-owner-export-v5-dispatch-manifest-v1/cboe_cfe_owner_export_v5_dispatch_v1.eml,cboe_cfe_owner_export_v5_dispatch_v1.eml,6357,docs/experiments/actionable-regime-confidence/runs/20260512T052650-codex-r6-owner-export-v5-dispatch-manifest-v1/r6-owner-export-v5-dispatch-manifest-v1
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260512T052650-codex-r6-owner-export-v5-dispatch-manifest-v1/r6-owner-export-v5-dispatch-manifest-v1/cme_group_owner_export_v5_dispatch_v1.eml,cme_group_owner_export_v5_dispatch_v1.eml,8735,docs/experiments/actionable-regime-confidence/runs/20260512T052650-codex-r6-owner-export-v5-dispatch-manifest-v1/r6-owner-export-v5-dispatch-manifest-v1
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake/positive_spoofing_layering_rows.csv,positive_spoofing_layering_rows.csv,40547,docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake/matched_negative_normal_activity_rows.csv,matched_negative_normal_activity_rows.csv,40082,docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake
repo_runs,docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake/provenance_manifest.json,provenance_manifest.json,6037,docs/experiments/actionable-regime-confidence/runs/20260511T234414-codex-r6-direct-intake-reconstruction-v55/r6-direct-intake-reconstruction/isolated-direct-intake
