window_id,root,source_gate_id,provider,instrument,market_context,timeframe,start_date,end_date,row_count,train_rows,calibration_rows,test_rows,rule,gate_calibration_lcb,gate_test_lcb,status
bull-AAPL-1d-2019-04-22-2019-04-24,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2019-04-22,2019-04-24,3,3,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2020-01-02-2020-01-02,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2020-01-02,2020-01-02,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2020-01-08-2020-01-10,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2020-01-08,2020-01-10,3,3,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2021-07-01-2021-07-06,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2021-07-01,2021-07-06,3,3,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2021-07-13-2021-07-13,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2021-07-13,2021-07-13,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-06-08-2023-06-15,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-06-08,2023-06-15,6,6,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-06-22-2023-06-23,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-06-22,2023-06-23,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-06-27-2023-06-30,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-06-27,2023-06-30,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-07-18-2023-07-19,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-07-18,2023-07-19,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-07-26-2023-07-26,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-07-26,2023-07-26,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-07-28-2023-07-31,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-07-28,2023-07-31,2,0,2,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-12-01-2023-12-01,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-12-01,2023-12-01,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-12-05-2023-12-05,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-12-05,2023-12-05,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-12-07-2023-12-08,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-12-07,2023-12-08,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2023-12-13-2023-12-15,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2023-12-13,2023-12-15,3,3,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2024-06-03-2024-06-05,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2024-06-03,2024-06-05,3,0,0,3,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2024-06-07-2024-06-07,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2024-06-07,2024-06-07,1,0,0,1,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2024-11-29-2024-12-10,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2024-11-29,2024-12-10,8,0,0,8,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2024-12-12-2024-12-17,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2024-12-12,2024-12-17,4,0,0,4,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2024-12-20-2024-12-26,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2024-12-20,2024-12-26,4,0,0,4,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2025-07-22-2025-07-28,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2025-07-22,2025-07-28,5,5,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1d-2025-11-24-2025-11-28,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1d,2025-11-24,2025-11-28,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2010-04-09-2010-04-16,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2010-04-09,2010-04-16,2,0,0,2,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2010-12-24-2010-12-24,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2010-12-24,2010-12-24,1,0,0,1,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2011-01-07-2011-01-14,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2011-01-07,2011-01-14,2,0,0,2,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2014-05-30-2014-06-06,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2014-05-30,2014-06-06,2,0,0,2,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2014-06-27-2014-07-11,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2014-06-27,2014-07-11,3,2,0,1,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2014-08-29-2014-08-29,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2014-08-29,2014-08-29,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2014-11-21-2014-11-28,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2014-11-21,2014-11-28,2,1,1,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2017-01-06-2017-01-27,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2017-01-06,2017-01-27,4,0,1,3,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2017-03-17-2017-04-07,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2017-03-17,2017-04-07,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2017-05-05-2017-05-12,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2017-05-05,2017-05-12,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2018-06-08-2018-06-08,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2018-06-08,2018-06-08,1,0,0,1,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2020-01-10-2020-01-10,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2020-01-10,2020-01-10,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2023-06-09-2023-06-30,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2023-06-09,2023-06-30,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2023-07-28-2023-07-28,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2023-07-28,2023-07-28,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2023-12-08-2023-12-15,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2023-12-08,2023-12-15,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2024-06-07-2024-06-07,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2024-06-07,2024-06-07,1,0,0,1,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2024-12-06-2024-12-27,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2024-12-06,2024-12-27,4,0,0,4,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-AAPL-1w-2025-11-28-2025-11-28,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,AAPL,single_stock,1w,2025-11-28,2025-11-28,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2014-06-05-2014-06-05,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2014-06-05,2014-06-05,1,0,0,1,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2014-09-11-2014-09-18,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2014-09-11,2014-09-18,6,6,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2015-05-27-2015-05-28,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2015-05-27,2015-05-28,2,2,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2015-06-04-2015-06-11,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2015-06-04,2015-06-11,6,6,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2015-06-18-2015-06-23,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2015-06-18,2015-06-23,4,4,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2015-06-26-2015-06-26,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2015-06-26,2015-06-26,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2016-05-05-2016-05-10,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2016-05-05,2016-05-10,4,0,1,3,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2016-08-09-2016-08-09,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2016-08-09,2016-08-09,1,1,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2016-08-11-2016-08-15,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2016-08-11,2016-08-15,3,3,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2017-01-09-2017-01-09,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2017-01-09,2017-01-09,1,0,0,1,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2017-03-06-2017-03-15,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2017-03-06,2017-03-15,8,8,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
bull-ABBV-1d-2017-04-27-2017-05-04,Bull,bull_sourcebacked_drawdown_volatility_v1,kaggle_stock_regime_feature_table,ABBV,single_stock,1d,2017-04-27,2017-05-04,6,6,0,0,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,materialized_from_existing_accepted_95_gate
