provider,provider_label,branch_id,branch_path,material_path,strategy_path,symbol,direction
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,order_block_retest_continuation_long_v1,TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/BullishOrderBlockRetestContinuationLongV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,order_block_retest_continuation_long_v1,TrendExpansion -> PullbackContinuation -> bullish_order_block_retest -> order_block_retest_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-order_block_retest_continuation_long_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/BullishOrderBlockRetestContinuationLongV1.py,SPY,long
Binance,Binance BTCUSDT 1h,ob_fvg_confluence_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgConfluenceContinuationLongV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,ob_fvg_confluence_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgConfluenceContinuationLongV1.py,BTC,long
IBKR,IBKR SPY 1h,ob_fvg_confluence_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgConfluenceContinuationLongV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,ob_fvg_confluence_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgConfluenceContinuationLongV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,ob_fvg_confluence_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgConfluenceContinuationLongV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,ob_fvg_confluence_continuation_long_v1,TrendExpansion -> PullbackContinuation -> fvg_plus_order_block_confluence -> ob_fvg_confluence_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_confluence_continuation_long_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgConfluenceContinuationLongV1.py,SPY,long
Binance,Binance BTCUSDT 1h,ote_fvg_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_fvg_retest -> ote_fvg_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_fvg_continuation_long_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteFvgContinuationLongV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,ote_fvg_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_fvg_retest -> ote_fvg_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_fvg_continuation_long_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteFvgContinuationLongV1.py,BTC,long
IBKR,IBKR SPY 1h,ote_fvg_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_fvg_retest -> ote_fvg_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_fvg_continuation_long_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteFvgContinuationLongV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,ote_fvg_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_fvg_retest -> ote_fvg_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_fvg_continuation_long_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteFvgContinuationLongV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,ote_fvg_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_fvg_retest -> ote_fvg_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_fvg_continuation_long_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteFvgContinuationLongV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,ote_fvg_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_fvg_retest -> ote_fvg_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_fvg_continuation_long_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteFvgContinuationLongV1.py,SPY,long
Binance,Binance BTCUSDT 1h,ote_ob_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_order_block_retest -> ote_ob_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_ob_continuation_long_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteObContinuationLongV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,ote_ob_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_order_block_retest -> ote_ob_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_ob_continuation_long_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteObContinuationLongV1.py,BTC,long
IBKR,IBKR SPY 1h,ote_ob_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_order_block_retest -> ote_ob_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_ob_continuation_long_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteObContinuationLongV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,ote_ob_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_order_block_retest -> ote_ob_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_ob_continuation_long_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteObContinuationLongV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,ote_ob_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_order_block_retest -> ote_ob_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_ob_continuation_long_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteObContinuationLongV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,ote_ob_continuation_long_v1,TrendExpansion -> OTERetracement -> ote_plus_order_block_retest -> ote_ob_continuation_long_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ote_ob_continuation_long_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/OteObContinuationLongV1.py,SPY,long
Binance,Binance BTCUSDT 1h,session_fvg_continuation_v1,SessionContinuation -> KillzoneRetest -> session_fvg_retest -> session_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_fvg_continuation_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionFvgContinuationV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,session_fvg_continuation_v1,SessionContinuation -> KillzoneRetest -> session_fvg_retest -> session_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_fvg_continuation_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionFvgContinuationV1.py,BTC,long
IBKR,IBKR SPY 1h,session_fvg_continuation_v1,SessionContinuation -> KillzoneRetest -> session_fvg_retest -> session_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_fvg_continuation_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionFvgContinuationV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,session_fvg_continuation_v1,SessionContinuation -> KillzoneRetest -> session_fvg_retest -> session_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_fvg_continuation_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionFvgContinuationV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,session_fvg_continuation_v1,SessionContinuation -> KillzoneRetest -> session_fvg_retest -> session_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_fvg_continuation_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionFvgContinuationV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,session_fvg_continuation_v1,SessionContinuation -> KillzoneRetest -> session_fvg_retest -> session_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_fvg_continuation_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionFvgContinuationV1.py,SPY,long
Binance,Binance BTCUSDT 1h,session_ob_continuation_v1,SessionContinuation -> KillzoneRetest -> session_order_block_retest -> session_ob_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_ob_continuation_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionObContinuationV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,session_ob_continuation_v1,SessionContinuation -> KillzoneRetest -> session_order_block_retest -> session_ob_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_ob_continuation_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionObContinuationV1.py,BTC,long
IBKR,IBKR SPY 1h,session_ob_continuation_v1,SessionContinuation -> KillzoneRetest -> session_order_block_retest -> session_ob_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_ob_continuation_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionObContinuationV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,session_ob_continuation_v1,SessionContinuation -> KillzoneRetest -> session_order_block_retest -> session_ob_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_ob_continuation_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionObContinuationV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,session_ob_continuation_v1,SessionContinuation -> KillzoneRetest -> session_order_block_retest -> session_ob_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_ob_continuation_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionObContinuationV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,session_ob_continuation_v1,SessionContinuation -> KillzoneRetest -> session_order_block_retest -> session_ob_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-session_ob_continuation_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SessionObContinuationV1.py,SPY,long
Binance,Binance BTCUSDT 1h,smt_confirmed_ob_fvg_continuation_v1,CrossMarketConfirmation -> SMTConfirmedContinuation -> fvg_or_order_block_retest -> smt_confirmed_ob_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-smt_confirmed_ob_fvg_continuation_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SmtConfirmedObFvgContinuationV1.py,BTC,long
