surface,slug,route,query,method,status,error,parse_error,record_count_top10,required_filename_hit,owner_hit,mainregimev2_hit,r3_native_subhour_hit,r5_recency_hit,order_context_hit,top_titles,url
figshare,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22native_subhour_source_label_rows%22
datacite,native_subhour_label_exact,r3_exact,"""native subhour source label""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22native+subhour+source+label%22&page%5Bsize%5D=10
osf,native_subhour_label_exact,r3_exact,"""native subhour source label""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22native+subhour+source+label%22&page%5Bsize%5D=10
figshare,native_subhour_label_exact,r3_exact,"""native subhour source label""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,native_subhour_label_exact,r3_exact,"""native subhour source label""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22native+subhour+source+label%22
datacite,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22direct_manipulation_positive_rows%22&page%5Bsize%5D=10
osf,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22direct_manipulation_positive_rows%22&page%5Bsize%5D=10
figshare,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22direct_manipulation_positive_rows%22
datacite,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22direct_manipulation_matched_controls%22&page%5Bsize%5D=10
osf,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22direct_manipulation_matched_controls%22&page%5Bsize%5D=10
figshare,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22direct_manipulation_matched_controls%22
datacite,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22direct_manipulation_provenance%22&page%5Bsize%5D=10
osf,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22direct_manipulation_provenance%22&page%5Bsize%5D=10
figshare,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22direct_manipulation_provenance%22
datacite,oystacher_exact,r6_owner_export_exact,"""Oystacher""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22Oystacher%22&page%5Bsize%5D=10
osf,oystacher_exact,r6_owner_export_exact,"""Oystacher""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22Oystacher%22&page%5Bsize%5D=10
figshare,oystacher_exact,r6_owner_export_exact,"""Oystacher""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,oystacher_exact,r6_owner_export_exact,"""Oystacher""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22Oystacher%22
datacite,three_red_exact,r6_owner_export_exact,"""3Red Trading""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%223Red+Trading%22&page%5Bsize%5D=10
osf,three_red_exact,r6_owner_export_exact,"""3Red Trading""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%223Red+Trading%22&page%5Bsize%5D=10
figshare,three_red_exact,r6_owner_export_exact,"""3Red Trading""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,three_red_exact,r6_owner_export_exact,"""3Red Trading""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%223Red+Trading%22
datacite,oystacher_3red_lifecycle_exact,r6_owner_export_exact,"""Oystacher"" ""3Red Trading"" ""order lifecycle""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22Oystacher%22+%223Red+Trading%22+%22order+lifecycle%22&page%5Bsize%5D=10
osf,oystacher_3red_lifecycle_exact,r6_owner_export_exact,"""Oystacher"" ""3Red Trading"" ""order lifecycle""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22Oystacher%22+%223Red+Trading%22+%22order+lifecycle%22&page%5Bsize%5D=10
figshare,oystacher_3red_lifecycle_exact,r6_owner_export_exact,"""Oystacher"" ""3Red Trading"" ""order lifecycle""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,oystacher_3red_lifecycle_exact,r6_owner_export_exact,"""Oystacher"" ""3Red Trading"" ""order lifecycle""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22Oystacher%22+%223Red+Trading%22+%22order+lifecycle%22
datacite,futures_order_lifecycle_spoofing_exact,r6_context,"""futures order lifecycle spoofing""",GET,200,,,0,False,False,False,False,False,False,,https://api.datacite.org/dois?query=%22futures+order+lifecycle+spoofing%22&page%5Bsize%5D=10
osf,futures_order_lifecycle_spoofing_exact,r6_context,"""futures order lifecycle spoofing""",GET,200,,,0,False,False,False,False,False,False,,https://api.osf.io/v2/search/?q=%22futures+order+lifecycle+spoofing%22&page%5Bsize%5D=10
figshare,futures_order_lifecycle_spoofing_exact,r6_context,"""futures order lifecycle spoofing""",POST,200,,,0,False,False,False,False,False,False,,https://api.figshare.com/v2/articles/search
mendeley_public_web,futures_order_lifecycle_spoofing_exact,r6_context,"""futures order lifecycle spoofing""",GET,200,,,1,False,False,False,False,False,False,Research Data - Mendeley Data,https://data.mendeley.com/research-data/?search=%22futures+order+lifecycle+spoofing%22
