label_panel_row_id,slot_id,provider,instrument,timeframe,root,source_id,source_native_scope,crosswalk_layer,crosswalk_decision,acceptance_scope,source_start_date,source_end_date,source_date_granularity,materialization_status,provenance_url,notes
source-window-crosswalk-v1-0003-window-03,source-window-crosswalk-v1-0003,yfinance,^GSPC,1m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2020-02-01,2020-04-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0004-window-01,source-window-crosswalk-v1-0004,yfinance,^GSPC,5m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2002-10-09,2007-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0004-window-02,source-window-crosswalk-v1-0004,yfinance,^GSPC,5m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2009-03-09,2020-02-19,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0004-window-03,source-window-crosswalk-v1-0004,yfinance,^GSPC,5m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-03-23,2022-01-03,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0004-window-04,source-window-crosswalk-v1-0004,yfinance,^GSPC,5m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-10-12,,day,deferred_refresh_required,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Open-ended Yardeni 2022-10-12 Bull window requires current source refresh before live/current attachment.
source-window-crosswalk-v1-0005-window-01,source-window-crosswalk-v1-0005,yfinance,^GSPC,5m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2000-03-24,2002-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0005-window-02,source-window-crosswalk-v1-0005,yfinance,^GSPC,5m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2007-10-09,2009-03-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0005-window-03,source-window-crosswalk-v1-0005,yfinance,^GSPC,5m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-02-19,2020-03-23,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0005-window-04,source-window-crosswalk-v1-0005,yfinance,^GSPC,5m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-01-03,2022-10-12,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0006-window-01,source-window-crosswalk-v1-0006,yfinance,^GSPC,5m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2001-03-01,2001-11-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0006-window-02,source-window-crosswalk-v1-0006,yfinance,^GSPC,5m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2007-12-01,2009-06-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0006-window-03,source-window-crosswalk-v1-0006,yfinance,^GSPC,5m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2020-02-01,2020-04-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0007-window-01,source-window-crosswalk-v1-0007,yfinance,^GSPC,15m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2002-10-09,2007-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0007-window-02,source-window-crosswalk-v1-0007,yfinance,^GSPC,15m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2009-03-09,2020-02-19,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0007-window-03,source-window-crosswalk-v1-0007,yfinance,^GSPC,15m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-03-23,2022-01-03,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0007-window-04,source-window-crosswalk-v1-0007,yfinance,^GSPC,15m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-10-12,,day,deferred_refresh_required,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Open-ended Yardeni 2022-10-12 Bull window requires current source refresh before live/current attachment.
source-window-crosswalk-v1-0008-window-01,source-window-crosswalk-v1-0008,yfinance,^GSPC,15m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2000-03-24,2002-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0008-window-02,source-window-crosswalk-v1-0008,yfinance,^GSPC,15m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2007-10-09,2009-03-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0008-window-03,source-window-crosswalk-v1-0008,yfinance,^GSPC,15m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-02-19,2020-03-23,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0008-window-04,source-window-crosswalk-v1-0008,yfinance,^GSPC,15m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-01-03,2022-10-12,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0009-window-01,source-window-crosswalk-v1-0009,yfinance,^GSPC,15m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2001-03-01,2001-11-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0009-window-02,source-window-crosswalk-v1-0009,yfinance,^GSPC,15m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2007-12-01,2009-06-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0009-window-03,source-window-crosswalk-v1-0009,yfinance,^GSPC,15m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2020-02-01,2020-04-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0010-window-01,source-window-crosswalk-v1-0010,yfinance,^GSPC,30m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2002-10-09,2007-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0010-window-02,source-window-crosswalk-v1-0010,yfinance,^GSPC,30m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2009-03-09,2020-02-19,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0010-window-03,source-window-crosswalk-v1-0010,yfinance,^GSPC,30m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-03-23,2022-01-03,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0010-window-04,source-window-crosswalk-v1-0010,yfinance,^GSPC,30m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-10-12,,day,deferred_refresh_required,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Open-ended Yardeni 2022-10-12 Bull window requires current source refresh before live/current attachment.
source-window-crosswalk-v1-0011-window-01,source-window-crosswalk-v1-0011,yfinance,^GSPC,30m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2000-03-24,2002-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0011-window-02,source-window-crosswalk-v1-0011,yfinance,^GSPC,30m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2007-10-09,2009-03-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0011-window-03,source-window-crosswalk-v1-0011,yfinance,^GSPC,30m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-02-19,2020-03-23,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0011-window-04,source-window-crosswalk-v1-0011,yfinance,^GSPC,30m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-01-03,2022-10-12,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0012-window-01,source-window-crosswalk-v1-0012,yfinance,^GSPC,30m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2001-03-01,2001-11-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0012-window-02,source-window-crosswalk-v1-0012,yfinance,^GSPC,30m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2007-12-01,2009-06-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0012-window-03,source-window-crosswalk-v1-0012,yfinance,^GSPC,30m,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2020-02-01,2020-04-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0013-window-01,source-window-crosswalk-v1-0013,yfinance,^GSPC,1h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2002-10-09,2007-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0013-window-02,source-window-crosswalk-v1-0013,yfinance,^GSPC,1h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2009-03-09,2020-02-19,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0013-window-03,source-window-crosswalk-v1-0013,yfinance,^GSPC,1h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-03-23,2022-01-03,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0013-window-04,source-window-crosswalk-v1-0013,yfinance,^GSPC,1h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-10-12,,day,deferred_refresh_required,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Open-ended Yardeni 2022-10-12 Bull window requires current source refresh before live/current attachment.
source-window-crosswalk-v1-0014-window-01,source-window-crosswalk-v1-0014,yfinance,^GSPC,1h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2000-03-24,2002-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0014-window-02,source-window-crosswalk-v1-0014,yfinance,^GSPC,1h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2007-10-09,2009-03-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0014-window-03,source-window-crosswalk-v1-0014,yfinance,^GSPC,1h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-02-19,2020-03-23,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0014-window-04,source-window-crosswalk-v1-0014,yfinance,^GSPC,1h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-01-03,2022-10-12,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0015-window-01,source-window-crosswalk-v1-0015,yfinance,^GSPC,1h,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2001-03-01,2001-11-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0015-window-02,source-window-crosswalk-v1-0015,yfinance,^GSPC,1h,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2007-12-01,2009-06-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0015-window-03,source-window-crosswalk-v1-0015,yfinance,^GSPC,1h,Crisis,nber_business_cycle_dates,US macro/business cycle,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,2020-02-01,2020-04-30,month,materialized_closed_window,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0016-window-01,source-window-crosswalk-v1-0016,yfinance,^GSPC,4h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2002-10-09,2007-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0016-window-02,source-window-crosswalk-v1-0016,yfinance,^GSPC,4h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2009-03-09,2020-02-19,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0016-window-03,source-window-crosswalk-v1-0016,yfinance,^GSPC,4h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-03-23,2022-01-03,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0016-window-04,source-window-crosswalk-v1-0016,yfinance,^GSPC,4h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-10-12,,day,deferred_refresh_required,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Open-ended Yardeni 2022-10-12 Bull window requires current source refresh before live/current attachment.
source-window-crosswalk-v1-0017-window-01,source-window-crosswalk-v1-0017,yfinance,^GSPC,4h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2000-03-24,2002-10-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0017-window-02,source-window-crosswalk-v1-0017,yfinance,^GSPC,4h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2007-10-09,2009-03-09,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0017-window-03,source-window-crosswalk-v1-0017,yfinance,^GSPC,4h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2020-02-19,2020-03-23,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
source-window-crosswalk-v1-0017-window-04,source-window-crosswalk-v1-0017,yfinance,^GSPC,4h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,2022-01-03,2022-10-12,day,materialized_closed_window,https://yardeni.com/wp-content/uploads/BullBearTables.pdf,Closed dated source window can attach to target slot with explicit crosswalk tier provenance.
