provider,symbol,factor,side,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_path,signal_time,entry_time,exit_time,entry,exit,stop,zone_low,zone_high,exit_reason,gross_return,net_return,walk_forward_fold
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-09-02 20:00:00+00:00,2017-09-02 22:00:00+00:00,2017-09-03 00:00:00+00:00,4405,4522.827071,4522.827071,4428.66,4509.96,stop,-0.02674848387,-0.02754848387,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-02 21:00:00+00:00,2017-09-02 22:00:00+00:00,2017-09-02 23:00:00+00:00,4405,4441.526,4441.526,4414.59,4428.66,stop,-0.008291940976,-0.009091940976,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-03 10:00:00+00:00,2017-09-03 11:00:00+00:00,2017-09-03 23:00:00+00:00,4486,4509.08,4621.604214,4554.17,4610.52,horizon,-0.00514489523,-0.00594489523,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-09-03 13:00:00+00:00,2017-09-03 15:00:00+00:00,2017-09-03 17:00:00+00:00,4384.15,4522.215286,4522.215286,4415.05,4511,stop,-0.0314919165,-0.0322919165,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-04 01:00:00+00:00,2017-09-04 05:00:00+00:00,2017-09-04 07:00:00+00:00,4402,4192.756714,4506.621643,4460.13,4496.52,target,0.04753368599,0.04673368599,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-09-04 07:00:00+00:00,2017-09-04 10:00:00+00:00,2017-09-04 15:00:00+00:00,4349.23,4092.91,4477.39,4396.43,4466.89,target,0.05893457003,0.05813457003,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-04 12:00:00+00:00,2017-09-04 13:00:00+00:00,2017-09-04 14:00:00+00:00,4275.19,4191.660286,4316.954857,4200.01,4303.06,target,0.01953824609,0.01873824609,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-04 23:00:00+00:00,2017-09-05 08:00:00+00:00,2017-09-05 11:00:00+00:00,4086.8,4203.480857,4203.480857,4174,4190.15,stop,-0.02855066486,-0.02935066486,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-06 08:00:00+00:00,2017-09-06 10:00:00+00:00,2017-09-07 04:00:00+00:00,4525.39,4541.17,4412.592,4422.36,4474.2,horizon,0.003486992281,0.002686992281,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-07 13:00:00+00:00,2017-09-07 14:00:00+00:00,2017-09-07 15:00:00+00:00,4669.81,4726.271,4641.5795,4649.92,4665,target,0.0120906418,0.0112906418,train
Binance,BTCUSDT,order_block_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->up_momentum->order_block_pullback_v1,2017-09-07 15:00:00+00:00,2017-09-07 16:00:00+00:00,2017-09-07 20:00:00+00:00,4705.03,4634.890643,4634.890643,4642.84,4743.49,stop,-0.01490731348,-0.01570731348,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-08 20:00:00+00:00,2017-09-09 01:00:00+00:00,2017-09-09 02:00:00+00:00,4180.1,4246.841214,4246.841214,4216.8,4234.27,stop,-0.0159664157,-0.0167664157,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-09 17:00:00+00:00,2017-09-09 19:00:00+00:00,2017-09-09 22:00:00+00:00,4253.7,4282.650929,4282.650929,4269.23,4275.62,stop,-0.006806057919,-0.007606057919,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-10 06:00:00+00:00,2017-09-10 08:00:00+00:00,2017-09-10 14:00:00+00:00,4006.2,4119.231929,4119.231929,4054.97,4111.69,stop,-0.02821425006,-0.02901425006,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-11 00:00:00+00:00,2017-09-11 04:00:00+00:00,2017-09-11 05:00:00+00:00,4169.02,4195.343429,4195.343429,4176.9,4186.87,stop,-0.006314056678,-0.007114056678,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-11 20:00:00+00:00,2017-09-11 21:00:00+00:00,2017-09-11 22:00:00+00:00,4171.51,4205.660571,4205.660571,4188,4200,stop,-0.008186621015,-0.008986621015,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-13 19:00:00+00:00,2017-09-14 00:00:00+00:00,2017-09-14 01:00:00+00:00,3903.5,3931.268429,3931.268429,3907.99,3920,stop,-0.007113725777,-0.007913725777,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-14 03:00:00+00:00,2017-09-14 04:00:00+00:00,2017-09-14 10:00:00+00:00,3840,3693.619714,3913.190143,3850.3,3903.5,target,0.03811986607,0.03731986607,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-14 17:00:00+00:00,2017-09-14 18:00:00+00:00,2017-09-14 19:00:00+00:00,3442.28,3501.854429,3501.854429,3459.99,3489.04,stop,-0.01730667714,-0.01810667714,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-09-14 23:00:00+00:00,2017-09-15 00:00:00+00:00,2017-09-15 01:00:00+00:00,3318.99,3360.966643,3360.966643,3273.75,3345.66,stop,-0.01264741468,-0.01344741468,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-15 05:00:00+00:00,2017-09-15 06:00:00+00:00,2017-09-15 12:00:00+00:00,3100,3348.695071,3348.695071,3318.69,3336.2,stop,-0.08022421659,-0.08102421659,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-17 05:00:00+00:00,2017-09-17 06:00:00+00:00,2017-09-17 08:00:00+00:00,3563.05,3515.330429,3586.909786,3570,3580,target,0.01339289974,0.01259289974,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,order_block_pullback_v1,TrendTransition->HighVolatility->down_momentum->order_block_pullback_v1,2017-09-17 11:00:00+00:00,2017-09-17 12:00:00+00:00,2017-09-17 13:00:00+00:00,3538.31,3614.752357,3614.752357,3548.99,3609.39,stop,-0.02160420007,-0.02240420007,train
Binance,BTCUSDT,order_block_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->up_momentum->order_block_pullback_v1,2017-09-18 05:00:00+00:00,2017-09-18 06:00:00+00:00,2017-09-18 18:00:00+00:00,3950.01,3980.99,3759.466214,3766.02,3839.98,horizon,0.007843018119,0.007043018119,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-18 07:00:00+00:00,2017-09-18 09:00:00+00:00,2017-09-18 10:00:00+00:00,3906,3867.915143,3867.915143,3875,3922.02,stop,-0.009750347451,-0.01055034745,train
Binance,BTCUSDT,order_block_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,order_block_pullback_v1,TrendTransition->HighVolatility->up_momentum->order_block_pullback_v1,2017-09-20 13:00:00+00:00,2017-09-20 22:00:00+00:00,2017-09-20 23:00:00+00:00,3968.58,3905.899429,3905.899429,3912.08,3954.17,stop,-0.01579420635,-0.01659420635,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-20 14:00:00+00:00,2017-09-20 15:00:00+00:00,2017-09-20 22:00:00+00:00,4005,3947.970786,3947.970786,3954.17,3992.01,stop,-0.01423950419,-0.01503950419,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-21 16:00:00+00:00,2017-09-22 04:00:00+00:00,2017-09-22 09:00:00+00:00,3732.46,3624.740143,3786.319929,3747.48,3780,target,0.02886028441,0.02806028441,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-09-21 19:00:00+00:00,2017-09-21 20:00:00+00:00,2017-09-22 04:00:00+00:00,3630,3716.615143,3716.615143,3653.94,3709.98,stop,-0.0238609209,-0.0246609209,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-09-22 08:00:00+00:00,2017-09-23 04:00:00+00:00,2017-09-23 05:00:00+00:00,3677.35,3704.589857,3704.589857,3669,3698.38,stop,-0.007407469276,-0.008207469276,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-09-22 15:00:00+00:00,2017-09-22 16:00:00+00:00,2017-09-23 04:00:00+00:00,3550,3652.751143,3652.751143,3550.07,3645.99,stop,-0.0289439839,-0.0297439839,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-26 11:00:00+00:00,2017-09-26 13:00:00+00:00,2017-09-26 14:00:00+00:00,3928.33,3921.501714,3921.501714,3926,3928.34,stop,-0.001738215912,-0.002538215912,train
Binance,BTCUSDT,order_block_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,order_block_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->order_block_pullback_v1,2017-09-27 18:00:00+00:00,2017-09-28 14:00:00+00:00,2017-09-29 02:00:00+00:00,4128.99,4083.298929,4083.298929,4088,4117.99,stop,-0.01106591961,-0.01186591961,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-27 19:00:00+00:00,2017-09-28 14:00:00+00:00,2017-09-28 15:00:00+00:00,4128.99,4113.031786,4113.031786,4117.99,4134,stop,-0.003864919577,-0.004664919577,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-29 11:00:00+00:00,2017-09-29 13:00:00+00:00,2017-09-29 16:00:00+00:00,4158,4231.829857,4121.085071,4129.98,4145.3,target,0.0177560984,0.0169560984,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-09-30 02:00:00+00:00,2017-09-30 03:00:00+00:00,2017-09-30 06:00:00+00:00,4214,4298.554286,4171.722857,4179.99,4186.9,target,0.02006508916,0.01926508916,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-10-03 13:00:00+00:00,2017-10-03 14:00:00+00:00,2017-10-03 15:00:00+00:00,4242.7,4266.720857,4266.720857,4239.18,4259.9,stop,-0.005661691174,-0.006461691174,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-10-04 10:00:00+00:00,2017-10-04 12:00:00+00:00,2017-10-05 00:00:00+00:00,4161,4215,4250.9015,4237.98,4245,horizon,-0.0129776496,-0.0137776496,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,HighVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->down_momentum->order_block_pullback_v1,2017-10-04 12:00:00+00:00,2017-10-04 14:00:00+00:00,2017-10-04 15:00:00+00:00,4190.8,4236.113,4236.113,4190.04,4230,stop,-0.01081249403,-0.01161249403,train
Binance,BTCUSDT,order_block_pullback_v1,short,TrendExpansion,NormalVolatility,down_momentum,order_block_pullback_v1,TrendExpansion->NormalVolatility->down_momentum->order_block_pullback_v1,2017-10-05 03:00:00+00:00,2017-10-05 11:00:00+00:00,2017-10-05 12:00:00+00:00,4226.05,4239.495429,4239.495429,4206.55,4234.77,stop,-0.003181559274,-0.003981559274,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-06 06:00:00+00:00,2017-10-06 13:00:00+00:00,2017-10-06 14:00:00+00:00,4340.01,4367.346286,4326.341857,4330.6,4358,target,0.006298668831,0.005498668831,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-08 14:00:00+00:00,2017-10-08 18:00:00+00:00,2017-10-09 06:00:00+00:00,4561.89,4567.99,4512.347786,4517,4539,horizon,0.001337165079,0.0005371650785,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-09 19:00:00+00:00,2017-10-09 20:00:00+00:00,2017-10-09 23:00:00+00:00,4851.97,4725.106929,4725.106929,4729.99,4771.2,stop,-0.0261467139,-0.0269467139,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-10 06:00:00+00:00,2017-10-10 12:00:00+00:00,2017-10-10 13:00:00+00:00,4839.11,4820.436929,4820.436929,4828.13,4829,stop,-0.003858782179,-0.004658782179,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-10 17:00:00+00:00,2017-10-10 21:00:00+00:00,2017-10-10 22:00:00+00:00,4865.39,4836.4635,4836.4635,4842.79,4870,stop,-0.005945361009,-0.006745361009,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-11 16:00:00+00:00,2017-10-11 17:00:00+00:00,2017-10-12 05:00:00+00:00,4840.65,4899.8,4784.547143,4789.99,4824.74,horizon,0.01221943334,0.01141943334,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-12 16:00:00+00:00,2017-10-12 17:00:00+00:00,2017-10-12 23:00:00+00:00,5290.44,5422.364714,5224.477643,5232.67,5287.01,target,0.02493643521,0.02413643521,train
Binance,BTCUSDT,order_block_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,order_block_pullback_v1,TrendExpansion->HighVolatility->up_momentum->order_block_pullback_v1,2017-10-13 01:00:00+00:00,2017-10-13 06:00:00+00:00,2017-10-13 18:00:00+00:00,5572.03,5683.88,5397.986,5407.74,5490,horizon,0.02007347412,0.01927347412,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-13 02:00:00+00:00,2017-10-13 05:00:00+00:00,2017-10-13 06:00:00+00:00,5551,5478.371,5478.371,5490,5516.51,stop,-0.01308394884,-0.01388394884,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-14 03:00:00+00:00,2017-10-14 04:00:00+00:00,2017-10-14 05:00:00+00:00,5680.02,5631.705214,5631.705214,5640,5688.01,stop,-0.008506094294,-0.009306094294,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-14 15:00:00+00:00,2017-10-14 16:00:00+00:00,2017-10-14 18:00:00+00:00,5769.75,5717.431857,5717.431857,5723.26,5741.02,stop,-0.009067662006,-0.009867662006,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-14 23:00:00+00:00,2017-10-15 05:00:00+00:00,2017-10-15 06:00:00+00:00,5760,5770.814,5754.593,5759.99,5760,target,0.001877430556,0.001077430556,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-16 11:00:00+00:00,2017-10-16 13:00:00+00:00,2017-10-17 01:00:00+00:00,5705.96,5632.701357,5632.701357,5639.97,5699.09,stop,-0.01283896888,-0.01363896888,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendTransition,HighVolatility,down_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->down_momentum->fair_value_gap_pullback_v1,2017-10-17 12:00:00+00:00,2017-10-17 14:00:00+00:00,2017-10-17 18:00:00+00:00,5580.07,5647.534857,5647.534857,5626.99,5640.09,stop,-0.01209032452,-0.01289032452,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,short,TrendExpansion,NormalVolatility,down_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->down_momentum->fair_value_gap_pullback_v1,2017-10-18 01:00:00+00:00,2017-10-18 04:00:00+00:00,2017-10-18 06:00:00+00:00,5529.98,5409.024,5590.458,5530.66,5585.3,target,0.0218727735,0.0210727735,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-19 10:00:00+00:00,2017-10-19 12:00:00+00:00,2017-10-19 13:00:00+00:00,5642.05,5620.336143,5620.336143,5628,5640,stop,-0.003848575809,-0.004648575809,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-21 02:00:00+00:00,2017-10-21 04:00:00+00:00,2017-10-21 06:00:00+00:00,6043.85,6123.639,6003.9555,6013.82,6060,target,0.01320168436,0.01240168436,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendExpansion,NormalVolatility,up_momentum,fair_value_gap_pullback_v1,TrendExpansion->NormalVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-21 11:00:00+00:00,2017-10-21 13:00:00+00:00,2017-10-21 14:00:00+00:00,6109.94,6146.337429,6091.741286,6097.97,6098.01,target,0.005957084451,0.005157084451,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-22 15:00:00+00:00,2017-10-22 18:00:00+00:00,2017-10-22 19:00:00+00:00,5890.02,5863.943357,5863.943357,5874.38,5940,stop,-0.004427258797,-0.005227258797,train
Binance,BTCUSDT,fair_value_gap_pullback_v1,long,TrendTransition,HighVolatility,up_momentum,fair_value_gap_pullback_v1,TrendTransition->HighVolatility->up_momentum->fair_value_gap_pullback_v1,2017-10-22 23:00:00+00:00,2017-10-23 03:00:00+00:00,2017-10-23 05:00:00+00:00,5950.25,6048.659571,5901.045214,5909.91,5939.95,target,0.01653872886,0.01573872886,train
