event_id,instrument_or_asset,venue_or_chain,event_start,event_end,is_manipulation_positive,manipulation_type,negative_control_type,source_id,source_url_or_private_ref
IDEX:0x87bbc5fe23574dc757ab818a9011cf6c18bf5066f57788e6dd2bd1fc147eae25,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T22:57:49Z,2017-09-27T22:57:50Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x0bb345a2cd53584968294211b35d33d16804f58a133e4d64d60a1ac8372fa29a,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T02:15:10Z,2017-09-28T02:15:11Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0xbbe1a352d0edd1e9c9352c08887f5858571678ee978d9cd68cdb71751b2ae581,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-27T23:04:43Z,2017-09-27T23:04:44Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x978482e1e16ae7e30e25c51ee59b0f8259797c43b8fc8420efe09ff5c840434b,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T00:16:26Z,2017-09-28T00:16:27Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0xd6c136c71349c9b7cf8fd06407b60527216ceaaf6145177820fc1e503f190680,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T03:18:47Z,2017-09-28T03:18:48Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x6f384b87bfa91c96c6d0478dce5d84cc4714dd561e444feda9a5b41837a141c2,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T03:30:00Z,2017-09-28T03:30:01Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x549385fab0c1ff6f8080fd5b3ca5289e27903566bb4ca6f529c2b81be61cc94e,0x744d70fdbe2ba4cf95131626614a1763df805b9e/0x0000000000000000000000000000000000000000,IDEX/Ethereum,2017-09-28T03:51:54Z,2017-09-28T03:51:55Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x50858ba4a797d45667b817af25839f308254861f64bb201582cf7b24205cfabf,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T04:04:00Z,2017-09-28T04:04:01Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x2d8d1b20664f3413ca40302f8553669d906d1f5a284b6cb7d67d405163fd35db,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T04:04:00Z,2017-09-28T04:04:01Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0xf780faa26d93d25ea3afcf4db99f6bc7c35c71524713db427f863b2fbf66d22c,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T04:04:00Z,2017-09-28T04:04:01Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0xaa7ecc9aab9d1ccdb0c1cdfc4f52f5d633cf1b621e9a45d5701f14c89de51c54,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T04:04:00Z,2017-09-28T04:04:01Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x1efa66a5c9adbc193bd1b29c5fa15c9715baafc58ccb1996d0b49c17bbae64ba,0x0000000000000000000000000000000000000000/0x744d70fdbe2ba4cf95131626614a1763df805b9e,IDEX/Ethereum,2017-09-28T04:04:00Z,2017-09-28T04:04:01Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x2b5c5d454478dad684bb8c982773bd3fd21ee47a6c9e50a4c1f766363d0cbbce,0x0000000000000000000000000000000000000000/0xa645264c5603e96c3b0b078cdab68733794b0a71,IDEX/Ethereum,2017-09-28T06:46:41Z,2017-09-28T06:46:42Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
IDEX:0x23713e210e9f3c8aa7897a0f02c1e7a86b4ff29342d821ccd0561fe019d4d1b0,0x0000000000000000000000000000000000000000/0x514910771af9ca656af840dff83e8264ecf986ca,IDEX/Ethereum,2017-09-30T01:09:25Z,2017-09-30T01:09:26Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=IDEX; rule=maker == taker
EtherDelta:0xa9672e084623dc022479d8164208b4ea92e7be321014e82ba3588bf001433cc5,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T01:49:35Z,2017-02-10T01:49:36Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x9e2351e3517a6573bda977292ff0cfc7c48d1d3b73a48bf663f194cd4a7153b5,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-11T23:17:04Z,2017-02-11T23:17:05Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xf1fe088214370bb67b16cf33ce2d75c32e355af782bca25d6cd9871f67450880,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-18T15:12:42Z,2017-02-18T15:12:43Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x24421c31a9022b726742ade9372ad0cbd5f8425acb01bf20042e2b107edb6ea0,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-18T15:15:03Z,2017-02-18T15:15:04Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x5d0d697c055777a773b02b2f38b6eef01199fad4b6f4e2ff767d863e5336cd64,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-18T15:17:53Z,2017-02-18T15:17:54Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xabdea74bc4f85edcf503408b5909b5aeace123e5d1d3fcc1583dd1710e3545f3,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-20T20:29:27Z,2017-02-20T20:29:28Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xfc9703e3b2cefdabc73371f2d795d098305a4ffefa024c8e2a63cb249b42617a,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-21T06:52:35Z,2017-02-21T06:52:36Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x20328775458014eb5635d3918c260803264e68b9b4c2e8d081a481a4b405f092,0x0000000000000000000000000000000000000000/0xf77089f2f00fca83501705b711cbb10a0de77628,EtherDelta/Ethereum,2017-02-25T19:07:40Z,2017-02-25T19:07:41Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x9dc5693732753bb2c39a6937f2d285b6c65d1410e3197100dd00cfea14c57e68,0x0000000000000000000000000000000000000000/0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,EtherDelta/Ethereum,2017-02-28T12:14:13Z,2017-02-28T12:14:14Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xde49d0ed72c6aed9cca214aaea76d35e2306169313e93b3199c8c73360e9ef33,0x0000000000000000000000000000000000000000/0xf77089f2f00fca83501705b711cbb10a0de77628,EtherDelta/Ethereum,2017-02-28T12:15:28Z,2017-02-28T12:15:29Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x8f638d9a380ad23725266d2e0ed2500e54de53bd80a8ba639ba2afb64445a9f9,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53/0x949bed886c739f1a3273629b3320db0c5024c719,EtherDelta/Ethereum,2017-02-28T17:36:52Z,2017-02-28T17:36:53Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x01a3d29d4e50827fb45458fdae961e43ef6f4b4b19ade71abbc00bb9d5715baf,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53/0x949bed886c739f1a3273629b3320db0c5024c719,EtherDelta/Ethereum,2017-02-28T17:40:19Z,2017-02-28T17:40:20Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x48332867933b2d06e1fe38923f8501dcf3b2d3c6e21d012b562a510a5417a5e9,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-09T23:56:45Z,2017-02-09T23:56:46Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x3db87f8a18ce66e3d0745268b68462bca0fc49bee3eada07c2f578812fc497b3,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-10T06:59:16Z,2017-02-10T06:59:17Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x42c92f87034a1819238cd62dc124e01af6a5f2ce4feb7535fd6890519b642023,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T17:06:59Z,2017-02-10T17:07:00Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x0c7d0a9212966070a6f342697b1e0eda4058ec35a2c0423502f92a181d6512e8,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T17:44:12Z,2017-02-10T17:44:13Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x1f2990b8fe24364a5e9381a12f66e419ce8bb7115425fcffb6aff7e240379505,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-10T19:31:40Z,2017-02-10T19:31:41Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x5854f654f30a964b3a8c09dd6181e310feff3edd80cb994e59ee81e09c76729a,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-11T19:00:11Z,2017-02-11T19:00:12Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x3c4d587783baf71f1235a749f287ed078acbfe8db2e7f40701924de008bd207a,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-11T19:00:59Z,2017-02-11T19:01:00Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xe528058d68ae6e5a73adb9adbf6ab1d4974427fe459adfb7b39caf2d8455815b,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-11T19:03:24Z,2017-02-11T19:03:25Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x6cf7ea377ed436930e907cc001c30e27cea95e0f23add16084542501042ef82b,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-11T23:14:32Z,2017-02-11T23:14:33Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x2774917fcd21ec3ccd18bb3cdd2724986785ebecd9c1460597ecac27558c59e9,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-11T23:15:55Z,2017-02-11T23:15:56Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xd87741222fa574a1d0ce2738bb4127495c03004af31727942c3a07edc681bd8a,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-12T11:42:32Z,2017-02-12T11:42:33Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xf613562f2797cff1da9f49204d8aade3964023eaf6f9363abe3c8fa0d9dcd257,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-12T12:05:34Z,2017-02-12T12:05:35Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
