label_window_id,provider,instrument,timeframe,root,source_type,scope_tier,source_start_date,source_end_date,bar_overlap_count,overlap_first_date,overlap_last_date,overlap_status
source-window-crosswalk-v1-0007-bull-2009-03-09-2020-02-19,yfinance,^GSPC,15m,Bull,source_window_crosswalk,same_underlying_calendar_window,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0007-bull-2020-03-23-2022-01-03,yfinance,^GSPC,15m,Bull,source_window_crosswalk,same_underlying_calendar_window,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0007-bull-2022-10-12-open,yfinance,^GSPC,15m,Bull,source_window_crosswalk,same_underlying_calendar_window,2022-10-12,,1066,2026-03-12,2026-05-08,overlap_ready
source-window-crosswalk-v1-0008-bear-2000-03-24-2002-10-09,yfinance,^GSPC,15m,Bear,source_window_crosswalk,same_underlying_calendar_window,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0008-bear-2007-10-09-2009-03-09,yfinance,^GSPC,15m,Bear,source_window_crosswalk,same_underlying_calendar_window,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0008-bear-2020-02-19-2020-03-23,yfinance,^GSPC,15m,Bear,source_window_crosswalk,same_underlying_calendar_window,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0008-bear-2022-01-03-2022-10-12,yfinance,^GSPC,15m,Bear,source_window_crosswalk,same_underlying_calendar_window,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0009-crisis-2001-03-2001-11,yfinance,^GSPC,15m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0009-crisis-2007-12-2009-06,yfinance,^GSPC,15m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0009-crisis-2020-02-2020-04,yfinance,^GSPC,15m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0010-bull-2002-10-09-2007-10-09,yfinance,^GSPC,30m,Bull,source_window_crosswalk,same_underlying_calendar_window,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0010-bull-2009-03-09-2020-02-19,yfinance,^GSPC,30m,Bull,source_window_crosswalk,same_underlying_calendar_window,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0010-bull-2020-03-23-2022-01-03,yfinance,^GSPC,30m,Bull,source_window_crosswalk,same_underlying_calendar_window,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0010-bull-2022-10-12-open,yfinance,^GSPC,30m,Bull,source_window_crosswalk,same_underlying_calendar_window,2022-10-12,,533,2026-03-12,2026-05-08,overlap_ready
source-window-crosswalk-v1-0011-bear-2000-03-24-2002-10-09,yfinance,^GSPC,30m,Bear,source_window_crosswalk,same_underlying_calendar_window,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0011-bear-2007-10-09-2009-03-09,yfinance,^GSPC,30m,Bear,source_window_crosswalk,same_underlying_calendar_window,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0011-bear-2020-02-19-2020-03-23,yfinance,^GSPC,30m,Bear,source_window_crosswalk,same_underlying_calendar_window,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0011-bear-2022-01-03-2022-10-12,yfinance,^GSPC,30m,Bear,source_window_crosswalk,same_underlying_calendar_window,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0012-crisis-2001-03-2001-11,yfinance,^GSPC,30m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0012-crisis-2007-12-2009-06,yfinance,^GSPC,30m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0012-crisis-2020-02-2020-04,yfinance,^GSPC,30m,Crisis,source_window_crosswalk,same_underlying_calendar_window,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0013-bull-2002-10-09-2007-10-09,yfinance,^GSPC,1h,Bull,source_window_crosswalk,same_underlying_calendar_window,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0013-bull-2009-03-09-2020-02-19,yfinance,^GSPC,1h,Bull,source_window_crosswalk,same_underlying_calendar_window,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0013-bull-2020-03-23-2022-01-03,yfinance,^GSPC,1h,Bull,source_window_crosswalk,same_underlying_calendar_window,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0013-bull-2022-10-12-open,yfinance,^GSPC,1h,Bull,source_window_crosswalk,same_underlying_calendar_window,2022-10-12,,3460,2024-05-13,2026-05-08,overlap_ready
source-window-crosswalk-v1-0014-bear-2000-03-24-2002-10-09,yfinance,^GSPC,1h,Bear,source_window_crosswalk,same_underlying_calendar_window,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0014-bear-2007-10-09-2009-03-09,yfinance,^GSPC,1h,Bear,source_window_crosswalk,same_underlying_calendar_window,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0014-bear-2020-02-19-2020-03-23,yfinance,^GSPC,1h,Bear,source_window_crosswalk,same_underlying_calendar_window,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0014-bear-2022-01-03-2022-10-12,yfinance,^GSPC,1h,Bear,source_window_crosswalk,same_underlying_calendar_window,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0015-crisis-2001-03-2001-11,yfinance,^GSPC,1h,Crisis,source_window_crosswalk,same_underlying_calendar_window,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0015-crisis-2007-12-2009-06,yfinance,^GSPC,1h,Crisis,source_window_crosswalk,same_underlying_calendar_window,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0015-crisis-2020-02-2020-04,yfinance,^GSPC,1h,Crisis,source_window_crosswalk,same_underlying_calendar_window,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0016-bull-2002-10-09-2007-10-09,yfinance,^GSPC,4h,Bull,source_window_crosswalk,same_underlying_calendar_window,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0016-bull-2009-03-09-2020-02-19,yfinance,^GSPC,4h,Bull,source_window_crosswalk,same_underlying_calendar_window,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0016-bull-2020-03-23-2022-01-03,yfinance,^GSPC,4h,Bull,source_window_crosswalk,same_underlying_calendar_window,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0016-bull-2022-10-12-open,yfinance,^GSPC,4h,Bull,source_window_crosswalk,same_underlying_calendar_window,2022-10-12,,1158,2024-05-13,2026-05-08,overlap_ready
source-window-crosswalk-v1-0017-bear-2000-03-24-2002-10-09,yfinance,^GSPC,4h,Bear,source_window_crosswalk,same_underlying_calendar_window,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0017-bear-2007-10-09-2009-03-09,yfinance,^GSPC,4h,Bear,source_window_crosswalk,same_underlying_calendar_window,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0017-bear-2020-02-19-2020-03-23,yfinance,^GSPC,4h,Bear,source_window_crosswalk,same_underlying_calendar_window,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0017-bear-2022-01-03-2022-10-12,yfinance,^GSPC,4h,Bear,source_window_crosswalk,same_underlying_calendar_window,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0018-crisis-2001-03-2001-11,yfinance,^GSPC,4h,Crisis,source_window_crosswalk,same_underlying_calendar_window,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0018-crisis-2007-12-2009-06,yfinance,^GSPC,4h,Crisis,source_window_crosswalk,same_underlying_calendar_window,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0018-crisis-2020-02-2020-04,yfinance,^GSPC,4h,Crisis,source_window_crosswalk,same_underlying_calendar_window,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0019-bull-2002-10-09-2007-10-09,yfinance,^GSPC,1mo,Bull,source_window_crosswalk,same_underlying_calendar_window,2002-10-09,2007-10-09,60,2002-11-01,2007-10-01,overlap_ready
source-window-crosswalk-v1-0019-bull-2009-03-09-2020-02-19,yfinance,^GSPC,1mo,Bull,source_window_crosswalk,same_underlying_calendar_window,2009-03-09,2020-02-19,131,2009-04-01,2020-02-01,overlap_ready
source-window-crosswalk-v1-0019-bull-2020-03-23-2022-01-03,yfinance,^GSPC,1mo,Bull,source_window_crosswalk,same_underlying_calendar_window,2020-03-23,2022-01-03,22,2020-04-01,2022-01-01,overlap_ready
source-window-crosswalk-v1-0019-bull-2022-10-12-open,yfinance,^GSPC,1mo,Bull,source_window_crosswalk,same_underlying_calendar_window,2022-10-12,,43,2022-11-01,2026-05-01,overlap_ready
source-window-crosswalk-v1-0020-bear-2000-03-24-2002-10-09,yfinance,^GSPC,1mo,Bear,source_window_crosswalk,same_underlying_calendar_window,2000-03-24,2002-10-09,31,2000-04-01,2002-10-01,overlap_ready
source-window-crosswalk-v1-0020-bear-2007-10-09-2009-03-09,yfinance,^GSPC,1mo,Bear,source_window_crosswalk,same_underlying_calendar_window,2007-10-09,2009-03-09,17,2007-11-01,2009-03-01,overlap_ready
source-window-crosswalk-v1-0020-bear-2020-02-19-2020-03-23,yfinance,^GSPC,1mo,Bear,source_window_crosswalk,same_underlying_calendar_window,2020-02-19,2020-03-23,1,2020-03-01,2020-03-01,overlap_ready
source-window-crosswalk-v1-0020-bear-2022-01-03-2022-10-12,yfinance,^GSPC,1mo,Bear,source_window_crosswalk,same_underlying_calendar_window,2022-01-03,2022-10-12,9,2022-02-01,2022-10-01,overlap_ready
source-window-crosswalk-v1-0021-crisis-2001-03-2001-11,yfinance,^GSPC,1mo,Crisis,source_window_crosswalk,same_underlying_calendar_window,2001-03,2001-11,9,2001-03-01,2001-11-01,overlap_ready
source-window-crosswalk-v1-0021-crisis-2007-12-2009-06,yfinance,^GSPC,1mo,Crisis,source_window_crosswalk,same_underlying_calendar_window,2007-12,2009-06,19,2007-12-01,2009-06-01,overlap_ready
source-window-crosswalk-v1-0021-crisis-2020-02-2020-04,yfinance,^GSPC,1mo,Crisis,source_window_crosswalk,same_underlying_calendar_window,2020-02,2020-04,3,2020-02-01,2020-04-01,overlap_ready
source-window-crosswalk-v1-0022-bull-2002-10-09-2007-10-09,yfinance,SPY,1m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0022-bull-2009-03-09-2020-02-19,yfinance,SPY,1m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0022-bull-2020-03-23-2022-01-03,yfinance,SPY,1m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0022-bull-2022-10-12-open,yfinance,SPY,1m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-10-12,,1950,2026-05-04,2026-05-08,overlap_ready
source-window-crosswalk-v1-0023-bear-2000-03-24-2002-10-09,yfinance,SPY,1m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0023-bear-2007-10-09-2009-03-09,yfinance,SPY,1m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0023-bear-2020-02-19-2020-03-23,yfinance,SPY,1m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0023-bear-2022-01-03-2022-10-12,yfinance,SPY,1m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0024-crisis-2001-03-2001-11,yfinance,SPY,1m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0024-crisis-2007-12-2009-06,yfinance,SPY,1m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0024-crisis-2020-02-2020-04,yfinance,SPY,1m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0025-bull-2002-10-09-2007-10-09,yfinance,SPY,5m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0025-bull-2009-03-09-2020-02-19,yfinance,SPY,5m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0025-bull-2020-03-23-2022-01-03,yfinance,SPY,5m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0025-bull-2022-10-12-open,yfinance,SPY,5m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-10-12,,3198,2026-03-12,2026-05-08,overlap_ready
source-window-crosswalk-v1-0026-bear-2000-03-24-2002-10-09,yfinance,SPY,5m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0026-bear-2007-10-09-2009-03-09,yfinance,SPY,5m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0026-bear-2020-02-19-2020-03-23,yfinance,SPY,5m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0026-bear-2022-01-03-2022-10-12,yfinance,SPY,5m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0027-crisis-2001-03-2001-11,yfinance,SPY,5m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0027-crisis-2007-12-2009-06,yfinance,SPY,5m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0027-crisis-2020-02-2020-04,yfinance,SPY,5m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0028-bull-2002-10-09-2007-10-09,yfinance,SPY,15m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0028-bull-2009-03-09-2020-02-19,yfinance,SPY,15m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0028-bull-2020-03-23-2022-01-03,yfinance,SPY,15m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0028-bull-2022-10-12-open,yfinance,SPY,15m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-10-12,,1066,2026-03-12,2026-05-08,overlap_ready
source-window-crosswalk-v1-0029-bear-2000-03-24-2002-10-09,yfinance,SPY,15m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0029-bear-2007-10-09-2009-03-09,yfinance,SPY,15m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0029-bear-2020-02-19-2020-03-23,yfinance,SPY,15m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0029-bear-2022-01-03-2022-10-12,yfinance,SPY,15m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0030-crisis-2001-03-2001-11,yfinance,SPY,15m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0030-crisis-2007-12-2009-06,yfinance,SPY,15m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0030-crisis-2020-02-2020-04,yfinance,SPY,15m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0031-bull-2002-10-09-2007-10-09,yfinance,SPY,30m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0031-bull-2009-03-09-2020-02-19,yfinance,SPY,30m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0031-bull-2020-03-23-2022-01-03,yfinance,SPY,30m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0031-bull-2022-10-12-open,yfinance,SPY,30m,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-10-12,,533,2026-03-12,2026-05-08,overlap_ready
source-window-crosswalk-v1-0032-bear-2000-03-24-2002-10-09,yfinance,SPY,30m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0032-bear-2007-10-09-2009-03-09,yfinance,SPY,30m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0032-bear-2020-02-19-2020-03-23,yfinance,SPY,30m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0032-bear-2022-01-03-2022-10-12,yfinance,SPY,30m,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0033-crisis-2001-03-2001-11,yfinance,SPY,30m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0033-crisis-2007-12-2009-06,yfinance,SPY,30m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0033-crisis-2020-02-2020-04,yfinance,SPY,30m,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0034-bull-2002-10-09-2007-10-09,yfinance,SPY,1h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0034-bull-2009-03-09-2020-02-19,yfinance,SPY,1h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0034-bull-2020-03-23-2022-01-03,yfinance,SPY,1h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0034-bull-2022-10-12-open,yfinance,SPY,1h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-10-12,,3459,2024-05-13,2026-05-08,overlap_ready
source-window-crosswalk-v1-0035-bear-2000-03-24-2002-10-09,yfinance,SPY,1h,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0035-bear-2007-10-09-2009-03-09,yfinance,SPY,1h,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-10-09,2009-03-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0035-bear-2020-02-19-2020-03-23,yfinance,SPY,1h,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02-19,2020-03-23,0,,,no_bar_overlap
source-window-crosswalk-v1-0035-bear-2022-01-03-2022-10-12,yfinance,SPY,1h,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-01-03,2022-10-12,0,,,no_bar_overlap
source-window-crosswalk-v1-0036-crisis-2001-03-2001-11,yfinance,SPY,1h,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2001-03,2001-11,0,,,no_bar_overlap
source-window-crosswalk-v1-0036-crisis-2007-12-2009-06,yfinance,SPY,1h,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-12,2009-06,0,,,no_bar_overlap
source-window-crosswalk-v1-0036-crisis-2020-02-2020-04,yfinance,SPY,1h,Crisis,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-02,2020-04,0,,,no_bar_overlap
source-window-crosswalk-v1-0037-bull-2002-10-09-2007-10-09,yfinance,SPY,4h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2002-10-09,2007-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0037-bull-2009-03-09-2020-02-19,yfinance,SPY,4h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2009-03-09,2020-02-19,0,,,no_bar_overlap
source-window-crosswalk-v1-0037-bull-2020-03-23-2022-01-03,yfinance,SPY,4h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2020-03-23,2022-01-03,0,,,no_bar_overlap
source-window-crosswalk-v1-0037-bull-2022-10-12-open,yfinance,SPY,4h,Bull,source_window_crosswalk,s_and_p_500_tradable_proxy,2022-10-12,,1158,2024-05-13,2026-05-08,overlap_ready
source-window-crosswalk-v1-0038-bear-2000-03-24-2002-10-09,yfinance,SPY,4h,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2000-03-24,2002-10-09,0,,,no_bar_overlap
source-window-crosswalk-v1-0038-bear-2007-10-09-2009-03-09,yfinance,SPY,4h,Bear,source_window_crosswalk,s_and_p_500_tradable_proxy,2007-10-09,2009-03-09,0,,,no_bar_overlap
