split_family,split_name,current_positive_support,current_negative_support,current_min_wilson95_lcb,required_positive_support_for_95_if_all_correct,required_negative_support_for_95_if_all_correct,additional_pair_rows_needed_min,source_route_hint,allowed_use_before_approval
heldout_symbol_exact,"Platinum Futures contract, July 2016 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,RBOB gasoline futures,1,1,0.206543291474,73,73,72,CME/NYMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,"Silver Futures contract, March 2012 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,"Silver Futures contract, March 2013 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,"Silver Futures contract, March 2014 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,"Silver Futures contract, May 2014 expiry",1,1,0.206543291474,73,73,72,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,Soft Red Winter wheat futures,1,1,0.206543291474,73,73,72,CME/CBOT owner export with source-owned broad normal controls,False
heldout_symbol_exact,"T-Bond Futures contract, September 2009 expiry",1,1,0.206543291474,73,73,72,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,"Ultra T-Bond Futures contract, September 2015 expiry",1,1,0.206543291474,73,73,72,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,light sweet crude oil futures,1,1,0.206543291474,73,73,72,CME/NYMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,April 2017 Gold futures,2,2,0.34237195289,73,73,71,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,CBOT soybean futures,4,2,0.34237195289,73,73,71,CME/CBOT owner export with source-owned broad normal controls,False
heldout_symbol_exact,CLM0-CLU0 crude oil June-September 2020 calendar spread,2,2,0.34237195289,73,73,71,CME/NYMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,CLM0-CLZ0 crude oil June-December 2020 calendar spread,2,2,0.34237195289,73,73,71,CME/NYMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,December 2013 E-mini Dow futures,2,2,0.34237195289,73,73,71,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,December 2013 E-mini NASDAQ futures,2,2,0.34237195289,73,73,71,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_symbol_exact,"Gold Futures contract, June 2013 expiry",2,2,0.34237195289,73,73,71,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,August-delivery Gold Futures,3,3,0.438493919551,73,73,70,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,NGH0-NGJ0 natural gas March-April 2020 calendar spread,3,3,0.438493919551,73,73,70,CME/NYMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,March 2018 Crude Oil futures,4,4,0.510099979596,73,73,69,CME/NYMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,March 2018 Silver futures,4,4,0.510099979596,73,73,69,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,COMEX Gold Futures,6,6,0.609656966347,73,73,67,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,December-delivery Gold Futures,7,7,0.645661157025,73,73,66,CME/COMEX owner export with source-owned broad normal controls,False
heldout_symbol_exact,E-mini S&P 500 futures,9,9,0.700847246449,73,73,64,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_venue_exact,LME and COMEX,2,0,0.0,73,73,73,LME plus linked COMEX owner export or licensed cross-market support route,False
heldout_venue_exact,IFEU electronic market,1,1,0.206543291474,73,73,72,ICE/IFEU owner export or licensed order-lifecycle support route,False
heldout_venue_exact,CBOT,2,2,0.34237195289,73,73,71,CME/CBOT owner export with source-owned broad normal controls,False
heldout_venue_exact,CME Group registered futures market (source order),3,3,0.438493919551,73,73,70,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_venue_exact,US futures exchange / CFTC complaint,3,3,0.438493919551,73,73,70,source-owner export with matched broad normal controls,False
heldout_venue_exact,CME,4,4,0.510099979596,73,73,69,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_venue_exact,CBOT/CME Globex,8,8,0.675584380489,73,73,65,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_venue_exact,COMEX,8,10,0.675584380489,73,73,65,CME/COMEX owner export with source-owned broad normal controls,False
heldout_venue_exact,NYMEX/CME Globex,8,8,0.675584380489,73,73,65,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_venue_exact,CME Globex,9,9,0.700847246449,73,73,64,CME/CME DataMine Market Depth or Market-by-Order owner export,False
heldout_venue_exact,COMEX/CME Globex,29,29,0.883026405534,73,73,44,CME/CME DataMine Market Depth or Market-by-Order owner export,False
