provider,instrument,timeframe,root,data_status,slot_status,source_status,proxy_scores_allowed_for_acceptance,required_action
yfinance,GLD,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,1m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,1m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,1m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,1m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,5m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,5m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,5m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^VIX,5m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,CL=F,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,DIA,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,ES=F,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GC=F,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,GLD,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,NQ=F,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,QQQ,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,SPY,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,USO,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,YM=F,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^DJI,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,15m,Bear,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,15m,Sideways,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^GSPC,15m,Crisis,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
yfinance,^NDX,15m,Bull,ok,missing_independent_source_label,unsupported_no_existing_accepted_packet_for_symbol_timeframe,False,acquire_or_materialize_independent_source_label_for_this_root_cell
