base_symbol,comparison_symbol,relationship_type,timeframe,session,event_time,smt_signal,base_swing_type,comparison_swing_type,base_level,comparison_level,regime_bucket,provider_provenance,branch_path,mss_or_cisd_confirmed,displacement_confirmed,pda_entry_model_confirmed,actionable,forward_return_3_bars,directional_hit_3_bars,forward_return_6_bars,directional_hit_6_bars,forward_return_12_bars,directional_hit_12_bars
BTC,ETH,positive,1h,crypto_24x7,2026-04-08T09:00:00+00:00,bearish_smt,HH,LH,71932.7578125,2261.873779296875,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0055759523,0,-0.0052753507,1,-0.0022376180,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-08T14:00:00+00:00,bullish_smt,LL,HL,70754.125,2189.805419921875,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0151268395,1,0.0074674708,1,0.0032599464,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-10T00:00:00+00:00,bullish_smt,LL,HL,71609.296875,2179.488037109375,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0005695220,0,-0.0012414971,0,0.0048956945,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-11T13:00:00+00:00,bullish_smt,LL,HL,72594.53125,2235.64404296875,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0055126638,1,0.0135003309,1,-0.0142460986,0
BTC,ETH,positive,1h,crypto_24x7,2026-04-12T23:00:00+00:00,bullish_smt,LL,HL,70581.140625,2184.7685546875,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0045694065,1,0.0014107359,1,0.0026794818,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-15T22:00:00+00:00,bearish_smt,HH,LH,75400.0,2380.320068359375,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0040396953,1,-0.0002631798,1,-0.0088070422,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-19T13:00:00+00:00,bearish_smt,HH,LH,76257.0703125,2350.419921875,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0072025071,1,-0.0128759006,1,-0.0176625565,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-20T14:00:00+00:00,bearish_smt,HH,LH,75765.2109375,2326.889892578125,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0115285400,0,0.0165899416,0,0.0072185019,0
BTC,ETH,positive,1h,crypto_24x7,2026-04-24T09:00:00+00:00,bullish_smt,LL,HL,77436.0,2305.080078125,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0095259807,1,0.0066554229,1,0.0001748829,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-24T22:00:00+00:00,bullish_smt,LL,HL,77306.0625,2308.219970703125,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0025849115,1,0.0036343879,1,0.0058101934,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-26T12:00:00+00:00,bullish_smt,LL,HL,77787.9375,2326.22998046875,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0028557224,1,0.0057954397,1,0.0183322388,1
BTC,ETH,positive,1h,crypto_24x7,2026-04-27T19:00:00+00:00,bullish_smt,LL,HL,76464.78125,2275.409912109375,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0022614096,1,0.0026541460,1,-0.0001492703,0
BTC,ETH,positive,1h,crypto_24x7,2026-05-01T08:00:00+00:00,bearish_smt,HH,LH,77489.828125,2288.780029296875,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0012193650,0,0.0130027899,0,0.0066497507,0
BTC,ETH,positive,1h,crypto_24x7,2026-05-04T17:00:00+00:00,bearish_smt,HH,LH,80740.4375,2379.6201171875,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0055448449,1,-0.0067231123,1,0.0072655449,0
BTC,ETH,positive,1h,crypto_24x7,2026-05-05T21:00:00+00:00,bearish_smt,HH,LH,81770.453125,2388.159912109375,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0048534209,1,0.0020417476,0,0.0072272068,0
BTC,ETH,positive,1h,crypto_24x7,2026-05-07T10:00:00+00:00,bullish_smt,LL,HL,80564.140625,2316.949951171875,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0042611730,0,-0.0130962620,0,-0.0115012335,0
BTC,ETH,positive,1h,crypto_24x7,2026-05-08T22:00:00+00:00,bearish_smt,HH,LH,80418.7890625,2318.669921875,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0005997328,0,0.0014319814,0,-0.0001345068,1
BTC,ETH,positive,1h,crypto_24x7,2026-05-11T12:00:00+00:00,bearish_smt,HH,LH,81337.328125,2339.27001953125,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0048745702,0,0.0100624967,0,0.0061735043,0
EURUSD,GBPUSD,positive,15m,London_NY_overlap,2026-05-06T07:30:00+00:00,bullish_smt,LL,HL,1.1728830337524414,1.3584741353988647,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0007043882,1,0.0027055743,1,0.0047147878,1
EURUSD,GBPUSD,positive,15m,London_NY_overlap,2026-05-11T21:15:00+00:00,bearish_smt,HH,LH,1.1791062355041504,1.3618041276931763,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0000000000,0,-0.0002357685,1,-0.0010600482,1
EURUSD,GBPUSD,positive,15m,London_NY_overlap,2026-05-12T11:00:00+00:00,bullish_smt,LL,HL,1.17384672164917,1.3523565530776978,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0002350619,1,0.0003524914,1,,
NQ,ES,positive,5m,NY_AM,2026-05-07T18:25:00+00:00,bullish_smt,LL,HL,28642.5,7358.75,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0015355622,0,-0.0003228171,0,-0.0014832135,0
NQ,ES,positive,5m,NY_AM,2026-05-08T19:15:00+00:00,bearish_smt,HH,LH,29306.0,7418.75,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0008787721,1,0.0001109130,0,0.0011261934,0
NQ,ES,positive,5m,NY_AM,2026-05-11T05:45:00+00:00,bullish_smt,LL,HL,29317.5,7410.25,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0000085246,0,0.0001108203,1,-0.0007757423,0
NQ,ES,positive,5m,NY_AM,2026-05-11T14:30:00+00:00,bullish_smt,LL,HL,29246.75,7421.5,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0022343320,1,0.0027460110,1,0.0035902815,1
XAUUSD,XAGUSD,positive,15m,NY_AM,2026-05-08T07:15:00+00:00,bullish_smt,LL,HL,4706.2001953125,79.86000061035156,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0010178954,1,0.0018872119,1,0.0031807291,1
XAUUSD,XAGUSD,positive,15m,NY_AM,2026-05-08T12:30:00+00:00,bullish_smt,LL,HL,4709.60009765625,80.90499877929688,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0006760881,1,0.0016901171,1,-0.0038239105,0
XAUUSD,XAGUSD,positive,15m,NY_AM,2026-05-11T00:45:00+00:00,bullish_smt,LL,HL,4678.39990234375,80.05500030517578,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0021949504,1,0.0009589771,1,-0.0011720831,0
XAUUSD,XAGUSD,positive,15m,NY_AM,2026-05-11T04:30:00+00:00,bullish_smt,LL,HL,4675.89990234375,80.75,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0004700569,0,-0.0016450947,0,-0.0000213852,0
XAUUSD,XAGUSD,positive,15m,NY_AM,2026-05-11T16:30:00+00:00,bullish_smt,LL,HL,4716.7998046875,85.7300033569336,trend,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0014404654,1,0.0024995855,1,0.0032832723,1
XAUUSD,XAGUSD,positive,15m,NY_AM,2026-05-12T03:45:00+00:00,bullish_smt,LL,HL,4726.7998046875,86.56500244140625,range,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,0.0009515754,1,-0.0009727422,0,-0.0049905049,0
XAUUSD,XAGUSD,positive,15m,NY_AM,2026-05-12T10:00:00+00:00,bearish_smt,HH,LH,4716.7001953125,85.1449966430664,transition,yfinance,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_full_coverage_outcome_label_readback:v1,false,false,false,false,-0.0023763967,1,-0.0002546509,1,,
