split_family,split_name,positive_support,negative_support,required_positive_rows,required_negative_rows,positive_rows_needed,negative_control_rows_needed,combined_rows_needed,current_min_wilson95_lcb,current_support_ok,current_wilson_ok,current_pass,accepted_source_type,nonaccepted_shortcuts
heldout_symbol_exact,December 2017 Gold futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,December 2017 Silver futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Gold Futures contract, April 2014 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Gold Futures contract, August 2015 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Gold Futures contract, December 2013 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,ICE Brent/WTI crude spread April 2020,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,LME copper futures / COMEX copper futures cross-market example,2,0,73,73,71,73,144,0.0,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,March 2014 E-mini S&P 500 futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,March-delivery Silver Futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Platinum Futures contract, July 2016 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,RBOB gasoline futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Silver Futures contract, March 2012 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Silver Futures contract, March 2013 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Silver Futures contract, March 2014 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Silver Futures contract, May 2014 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,Soft Red Winter wheat futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"T-Bond Futures contract, September 2009 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Ultra T-Bond Futures contract, September 2015 expiry",1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,light sweet crude oil futures,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,April 2017 Gold futures,2,2,73,73,71,71,142,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,CLM0-CLU0 crude oil June-September 2020 calendar spread,2,2,73,73,71,71,142,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,CLM0-CLZ0 crude oil June-December 2020 calendar spread,2,2,73,73,71,71,142,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,December 2013 E-mini Dow futures,2,2,73,73,71,71,142,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,December 2013 E-mini NASDAQ futures,2,2,73,73,71,71,142,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,"Gold Futures contract, June 2013 expiry",2,2,73,73,71,71,142,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,August-delivery Gold Futures,3,3,73,73,70,70,140,0.438493919551,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,CBOT soybean futures,4,2,73,73,69,71,140,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,NGH0-NGJ0 natural gas March-April 2020 calendar spread,3,3,73,73,70,70,140,0.438493919551,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,March 2018 Crude Oil futures,4,4,73,73,69,69,138,0.510099979596,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,March 2018 Silver futures,4,4,73,73,69,69,138,0.510099979596,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,COMEX Gold Futures,6,6,73,73,67,67,134,0.609656966347,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,December-delivery Gold Futures,7,7,73,73,66,66,132,0.645661157025,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_symbol_exact,E-mini S&P 500 futures,9,9,73,73,64,64,128,0.700847246449,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,IFEU electronic market,1,1,73,73,72,72,144,0.206543291474,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,LME and COMEX,2,0,73,73,71,73,144,0.0,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,CBOT,2,2,73,73,71,71,142,0.34237195289,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,CME Group registered futures market (source order),3,3,73,73,70,70,140,0.438493919551,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,US futures exchange / CFTC complaint,3,3,73,73,70,70,140,0.438493919551,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,CME,4,4,73,73,69,69,138,0.510099979596,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,CBOT/CME Globex,8,8,73,73,65,65,130,0.675584380489,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,NYMEX/CME Globex,8,8,73,73,65,65,130,0.675584380489,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,CME Globex,9,9,73,73,64,64,128,0.700847246449,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,COMEX,8,10,73,73,65,63,128,0.675584380489,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
heldout_venue_exact,COMEX/CME Globex,29,29,73,73,44,44,88,0.883026405534,False,False,False,owner_or_operator_export_only,proxy_sidecar_readiness_local_cache_or_flip_without_explicit_approval
