schema_version,run_id,recipe_id,parent_regime_root,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,variant_id,take_profit,stop_loss,positive_rows,control_rows,monthly_folds,positive_mean_net,control_mean_net,positive_minus_control_net,positive_lcb_5pct,positive_minus_control_lcb_5pct,fold_positive_rate_absolute,fold_positive_rate_vs_control,roundtrip_cost,gate_result
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp120_sl050_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl050_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp120_sl050_h24,0.12,0.05,13535,7149,12,0.0019222286589289563,-0.001974558461101809,0.0038967871200307654,0.0011813576693479088,0.0027004882007825,0.6666666666666666,0.4166666666666667,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp120_sl060_h24,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl060_h24,board-b-manipulation-stop-tp-grid/v2,24h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp120_sl060_h24,0.12,0.06,13535,7149,12,0.002166488847560849,-0.0016533990581812463,0.003819887905742095,0.0013943903389573252,0.0025789989804678457,0.75,0.4166666666666667,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl040_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl040_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl040_h36,0.06,0.04,13535,7149,12,0.0004432552473578668,-0.00661482768636407,0.007058082933721937,-0.0001628930054687027,0.006039706518688202,0.6666666666666666,0.6666666666666666,0.0015,fail:reject_absolute_lcb_nonpositive
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl050_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl050_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl050_h36,0.06,0.05,13535,7149,12,0.0010957293980722823,-0.006251534669339827,0.00734726406741211,0.00044255039283370523,0.006242595828728309,0.6666666666666666,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl060_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl060_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl060_h36,0.06,0.06,13535,7149,12,0.0014150359663452536,-0.006047802573219397,0.007462838539564651,0.0007258787727467656,0.006299017428312424,0.75,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl040_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl040_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl040_h36,0.08,0.04,13535,7149,12,0.001391127064418554,-0.004837388510738323,0.006228515575156877,0.00071315449924472,0.005086247767550272,0.6666666666666666,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl050_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl050_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl050_h36,0.08,0.05,13535,7149,12,0.001966276891419222,-0.004317150949476252,0.006283427840895474,0.00123814637953023,0.005050866680037009,0.6666666666666666,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl060_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl060_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl060_h36,0.08,0.06,13535,7149,12,0.0023442972854366734,-0.004037518768518873,0.006381816053955547,0.0015774560760379959,0.0050866971883865,0.75,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl040_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl040_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl040_h36,0.1,0.04,13535,7149,12,0.002290945754314274,-0.004189518419412589,0.006480464173726863,0.0015535237251408287,0.005247876265219611,0.75,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl050_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl050_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl050_h36,0.1,0.05,13535,7149,12,0.003004883160051013,-0.0038039804455623485,0.006808863605613362,0.002213455242336456,0.005484379995239796,0.75,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl060_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl060_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl060_h36,0.1,0.06,13535,7149,12,0.003307729570318036,-0.003378945478043809,0.006686675048361845,0.002476293942936929,0.005294780082565294,0.75,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp120_sl040_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl040_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp120_sl040_h36,0.12,0.04,13535,7149,12,0.002663842284483494,-0.003818204123229283,0.006482046407712777,0.0018839239621687566,0.00518025878033984,0.75,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp120_sl050_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl050_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp120_sl050_h36,0.12,0.05,13535,7149,12,0.0034138148164669264,-0.0033479611490704916,0.0067617759655374185,0.0025771540920405357,0.005363440591190071,0.75,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp120_sl060_h36,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp120_sl060_h36,board-b-manipulation-stop-tp-grid/v2,36h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp120_sl060_h36,0.12,0.06,13535,7149,12,0.0038942389496335952,-0.0030157345860532506,0.006909973535686845,0.0030133644219634825,0.0054436350905569236,0.75,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl040_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl040_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl040_h48,0.06,0.04,13535,7149,12,0.0008611738433208524,-0.006593853701515148,0.0074550275448360005,0.00022734918531233965,0.006381134731842258,0.6666666666666666,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl050_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl050_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl050_h48,0.06,0.05,13535,7149,12,0.0015995659512305746,-0.0071996390637716085,0.008799205015002183,0.0009121787317131223,0.007621809944506116,0.6666666666666666,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp060_sl060_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp060_sl060_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp060_sl060_h48,0.06,0.06,13535,7149,12,0.002125129193725544,-0.007789012332351559,0.009914141526077103,0.0013956198822386214,0.00865818914543098,0.75,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl040_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl040_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl040_h48,0.08,0.04,13535,7149,12,0.002107381314467533,-0.004405661510531269,0.006513042824998802,0.0013902461249647102,0.005293451156853294,0.6666666666666666,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl050_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl050_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl050_h48,0.08,0.05,13535,7149,12,0.0027672454133634006,-0.004695539471509766,0.007462784884873166,0.0019923542108578815,0.0061328389859506205,0.6666666666666666,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp080_sl060_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp080_sl060_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp080_sl060_h48,0.08,0.06,13535,7149,12,0.003368485524466797,-0.005190522668294691,0.008559008192761487,0.0025484249830915982,0.007147067785851484,0.75,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl040_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl040_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl040_h48,0.1,0.04,13535,7149,12,0.0031228566266101854,-0.003103554601604352,0.006226411228214537,0.00233726445112543,0.004886709827010952,0.75,0.5833333333333334,0.0015,fail:reject_specificity_fold_rate_lt60pct
board-b-manipulation-stop-tp-grid/v2,20260511T205047+0800-codex-board-b-manipulation-stop-tp-grid-v2,ManipulationStopTakeProfitGridV2,Manipulation(scoped),direct_event_provider_reconstructed,TelegramPumpEvent,ProviderStopTakeProfit,direct_manipulation_stop_take_profit,ManipulationStopTakeProfitGridV2:short_tp100_sl050_h48,Manipulation(scoped) -> TelegramPumpEvent -> ProviderStopTakeShort -> ManipulationStopTakeProfitGridV2:short_tp100_sl050_h48,board-b-manipulation-stop-tp-grid/v2,48h,short_stop_tp,suppress_or_abstain_if_no_tradeable_stop_tp_action,short_tp100_sl050_h48,0.1,0.05,13535,7149,12,0.003886328824467315,-0.0034780123705844437,0.0073643411950517585,0.003039775576376836,0.005911632426895039,0.6666666666666666,0.6666666666666666,0.0015,pass:tradeable_manipulation_stop_tp_candidate
