provider,query_slug,target,query,status,error,parse_error,top_record_count,total_count,required_filename_hit,owner_hit,mainregime_hit,r3_hit,crisis_context_hit,r5_hit,r6_hit,top_records,url,note
github_code,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22native_subhour_source_label_rows%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,native_subhour_rows_exact,r3_exact,"""native_subhour_source_label_rows""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=native_subhour_source_label_rows,Project metadata only; no authenticated blob search.
grep_app,native_subhour_label_exact,r3_exact,"""native subhour source label""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22native+subhour+source+label%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,native_subhour_label_exact,r3_exact,"""native subhour source label""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22native+subhour+source+label%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,native_subhour_label_exact,r3_exact,"""native subhour source label""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22native+subhour+source+label%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,native_subhour_label_exact,r3_exact,"""native subhour source label""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=native+subhour+source+label,Project metadata only; no authenticated blob search.
grep_app,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22stock_market_regimes_2026_extension%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22stock_market_regimes_2026_extension%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22stock_market_regimes_2026_extension%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,stock_market_regimes_extension_exact,r5_exact,"""stock_market_regimes_2026_extension""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=stock_market_regimes_2026_extension,Project metadata only; no authenticated blob search.
grep_app,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22stock+market+regimes+2026%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22stock+market+regimes+2026%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22stock+market+regimes+2026%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,stock_market_regimes_2026_exact,r5_context,"""stock market regimes 2026""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=stock+market+regimes+2026,Project metadata only; no authenticated blob search.
grep_app,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22direct_manipulation_positive_rows%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22direct_manipulation_positive_rows%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22direct_manipulation_positive_rows%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,positive_filename_exact,required_filename,"""direct_manipulation_positive_rows""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=direct_manipulation_positive_rows,Project metadata only; no authenticated blob search.
grep_app,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22direct_manipulation_matched_controls%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22direct_manipulation_matched_controls%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22direct_manipulation_matched_controls%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,controls_filename_exact,required_filename,"""direct_manipulation_matched_controls""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=direct_manipulation_matched_controls,Project metadata only; no authenticated blob search.
grep_app,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22direct_manipulation_provenance%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22direct_manipulation_provenance%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22direct_manipulation_provenance%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,provenance_filename_exact,required_filename,"""direct_manipulation_provenance""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=direct_manipulation_provenance,Project metadata only; no authenticated blob search.
grep_app,oystacher_3red_exact,r6_owner,"""Oystacher"" ""3Red Trading""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22Oystacher%22+%223Red+Trading%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,oystacher_3red_exact,r6_owner,"""Oystacher"" ""3Red Trading""",200,,,0,0,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22Oystacher%22+%223Red+Trading%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,oystacher_3red_exact,r6_owner,"""Oystacher"" ""3Red Trading""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22Oystacher%22+%223Red+Trading%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,oystacher_3red_exact,r6_owner,"""Oystacher"" ""3Red Trading""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=Oystacher+3Red+Trading,Project metadata only; no authenticated blob search.
grep_app,oystacher_order_lifecycle,r6_owner_context,"""Oystacher"" ""order lifecycle""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22Oystacher%22+%22order+lifecycle%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,oystacher_order_lifecycle,r6_owner_context,"""Oystacher"" ""order lifecycle""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22Oystacher%22+%22order+lifecycle%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,oystacher_order_lifecycle,r6_owner_context,"""Oystacher"" ""order lifecycle""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22Oystacher%22+%22order+lifecycle%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,oystacher_order_lifecycle,r6_owner_context,"""Oystacher"" ""order lifecycle""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=Oystacher+order+lifecycle,Project metadata only; no authenticated blob search.
grep_app,spoofing_matched_controls,r6_context,"""spoofing"" ""matched controls"" ""futures""",429,HTTP Error 429: Too Many Requests,,0,,False,False,False,False,False,False,False,[],https://grep.app/api/search?q=%22spoofing%22+%22matched+controls%22+%22futures%22&page=1&per_page=10,Public GitHub code index search.
github_repositories,spoofing_matched_controls,r6_context,"""spoofing"" ""matched controls"" ""futures""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/repositories?q=%22spoofing%22+%22matched+controls%22+%22futures%22+in%3Aname%2Cdescription&per_page=10,Repository metadata only; code contents are not accepted as source rows.
github_code,spoofing_matched_controls,r6_context,"""spoofing"" ""matched controls"" ""futures""",403,HTTP Error 403: rate limit exceeded,,0,,False,False,False,False,False,False,False,[],https://api.github.com/search/code?q=%22spoofing%22+%22matched+controls%22+%22futures%22+in%3Afile&per_page=10,Unauthenticated GitHub code search may be blocked; blocked status is recorded.
gitlab_projects,spoofing_matched_controls,r6_context,"""spoofing"" ""matched controls"" ""futures""",401,HTTP Error 401: Unauthorized,,0,,False,False,False,False,False,False,False,[],https://gitlab.com/api/v4/search?scope=projects&search=spoofing+matched+controls+futures,Project metadata only; no authenticated blob search.
