event_id,instrument_or_asset,venue_or_chain,event_start,event_end,is_manipulation_positive,manipulation_type,negative_control_type,source_id,source_url_or_private_ref
EtherDelta:0x48332867933b2d06e1fe38923f8501dcf3b2d3c6e21d012b562a510a5417a5e9,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-09T23:56:45Z,2017-02-09T23:56:46Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x9e2351e3517a6573bda977292ff0cfc7c48d1d3b73a48bf663f194cd4a7153b5,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-11T23:17:04Z,2017-02-11T23:17:05Z,true,wash_trade_self_trade,not_applicable_positive_self_trade,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xd87741222fa574a1d0ce2738bb4127495c03004af31727942c3a07edc681bd8a,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-12T11:42:32Z,2017-02-12T11:42:33Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xf613562f2797cff1da9f49204d8aade3964023eaf6f9363abe3c8fa0d9dcd257,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-12T12:05:34Z,2017-02-12T12:05:35Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xf2a3355df7df76b7c931e16b3de06639dd557c4fa095c22b3b85960f87dafba9,0x888666ca69e0f178ded6d75b5726cee99a87d698/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-12T18:15:57Z,2017-02-12T18:15:58Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x6a704b079aacd48aeb4cc2be771b784bb5243aab295ccb477e5ce79002d480fb,0x0000000000000000000000000000000000000000/0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,EtherDelta/Ethereum,2017-02-12T20:00:27Z,2017-02-12T20:00:28Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x56971f071210d0bd06935f679f956242902568a4fe7c020f2afdd7d34f79dad2,0x0000000000000000000000000000000000000000/0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,EtherDelta/Ethereum,2017-02-12T21:07:06Z,2017-02-12T21:07:07Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xe2980eacaff7398e8cb4ba54c6f859bbd1a9ab188e97dc31b7e439db766586b0,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-13T02:23:47Z,2017-02-13T02:23:48Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x8dfebd903d18bcaa764a1e0b346ef2b1102e3ab2169bc980d2b96e0ed33360e4,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-14T11:38:58Z,2017-02-14T11:38:59Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xca97211f1cfc409b63386d193323aa14ee2bd41d2c82ca0a18ecfbcc9c67fa86,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-14T12:33:50Z,2017-02-14T12:33:51Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x21c8dd3fc5b4214ce5bfc2adddac77b6e2783fd87466e04aef087e09c30b8b46,0x0000000000000000000000000000000000000000/0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,EtherDelta/Ethereum,2017-02-14T15:48:13Z,2017-02-14T15:48:14Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x8c63c38ae21af54b425f5be5b6dea1daccd0c195420c09ef614a38b8ed00504d,0x0000000000000000000000000000000000000000/0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,EtherDelta/Ethereum,2017-02-14T15:54:20Z,2017-02-14T15:54:21Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x042407269bff5e8da36d73621f2d18bf805c1750a6144b0dd2084f60ed295d68,0x0000000000000000000000000000000000000000/0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,EtherDelta/Ethereum,2017-02-14T15:56:28Z,2017-02-14T15:56:29Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x3a272f85fb134c5579d508aaae62e4639133ee736c1b3d60e4c7e210fccbd664,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-14T17:06:11Z,2017-02-14T17:06:12Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x4b627de87e1e80e7f36bd2fcab9c14e014d07b4c3a3b152fbf240956ba500660,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-14T17:07:39Z,2017-02-14T17:07:40Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xb221a653d402c8e7a6ebed6ee5ff904598e89be14f4075a6f010ca5c762d8b20,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-14T17:10:20Z,2017-02-14T17:10:21Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x1f89bb65a61059f771efafc79278ef781a0f238d0c1cf262b085add430d55ba7,0x0000000000000000000000000000000000000000/0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,EtherDelta/Ethereum,2017-02-14T18:12:22Z,2017-02-14T18:12:23Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xb41b2993f8acde52dd8fe5a3da0a45000626591440e187abf6667310030b8a9e,0x0000000000000000000000000000000000000000/0x936f78b9852d12f5cb93177c1f84fb8513d06263,EtherDelta/Ethereum,2017-02-14T18:12:22Z,2017-02-14T18:12:23Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xd06323b090177fd6d311c1d3ef5ad3afd50ca0ff1fbee99e53ead0380915fa7a,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-14T18:55:56Z,2017-02-14T18:55:57Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x7da638af2d26b148c519ae566f7c666939ee308db7a6f30df77da874e1751607,0x0000000000000000000000000000000000000000/0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,EtherDelta/Ethereum,2017-02-14T22:01:30Z,2017-02-14T22:01:31Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xea0f869d6bd413245d2956bca6c5dee187a70811afc464b947dbc872d2c903a0,0x0000000000000000000000000000000000000000/0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,EtherDelta/Ethereum,2017-02-14T22:03:41Z,2017-02-14T22:03:42Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x78b8d1e37f91ab4e6c088ad80ddb8c4667d6c857262ae84c9ac3370eeb10d9a6,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-14T22:34:55Z,2017-02-14T22:34:56Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xc1641c3cf2b1e39525fe0127a2d48da42824db78ea695f00ce42257b0c115012,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-14T23:06:56Z,2017-02-14T23:06:57Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xadc50e17ba31b5c197aa0ba63e59c5b280779eafe4550cd6c024c141dbc07f95,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-15T01:48:56Z,2017-02-15T01:48:57Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x1faf922bd2dd687bccba843d7d48d5b50539d6228eb701356497dc740855f26d,0x0000000000000000000000000000000000000000/0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,EtherDelta/Ethereum,2017-02-15T02:12:18Z,2017-02-15T02:12:19Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xe0b9dd51c00cf5052f89359b7f28a0a6a8c0377796b2e9e6541bd4cf9f824822,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-15T08:43:00Z,2017-02-15T08:43:01Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x162db62f6c0f370b473b787a4f2c4b6b3eadf2f4f50dc3fb4f1cbf1b2d9b8c5f,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-15T11:33:16Z,2017-02-15T11:33:17Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x9d09c3bd6a32126084ef58865716df6e6f98052693621c187d11e5774da36b77,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-15T12:06:50Z,2017-02-15T12:06:51Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xe1c67b8e5b1e206185d66f531cf30a8c35eac80234e2792929cff393228324d0,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-15T23:18:19Z,2017-02-15T23:18:20Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xd0cf0406a9c46b39f6e97cd274f367092644a1ff632e0a4b0a061006c56ce658,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-16T10:02:28Z,2017-02-16T10:02:29Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x2556803b7fd41618b2d85e2414ee591ee1e548492b99033106ffed733a4a42c8,0xac709fcb44a43c35f0da4e3163b117a17f3770f5/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-16T10:38:10Z,2017-02-16T10:38:11Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x8d4e2744f1bd0a676b877b34d654b3dfd2c00a3965fde37870205e4f01302729,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-16T10:47:48Z,2017-02-16T10:47:49Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x1282c55f02248bb4d3b34075cc0678f505e88babcddcac6cd64cf8c042e961bf,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-16T11:05:51Z,2017-02-16T11:05:52Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x3dcb5bdfccc810242edf1ecdf230d4ad03b0031f3f4dc79e09815175aa59b613,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-16T11:05:51Z,2017-02-16T11:05:52Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xa4e1abe1fe2d5422ea8e49e45624843acf58032f0e108b27249b15cfb5a91898,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-16T11:05:51Z,2017-02-16T11:05:52Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xd7cfc05b69268018e8aaf360fa8a73f68e0937bd5b2de3c18f1f1e71d94d3087,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-16T11:05:51Z,2017-02-16T11:05:52Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x232ab18e5320d14461409513bb70ad7ff28adede91d77eb9603c923ea095e477,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-16T11:10:34Z,2017-02-16T11:10:35Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0x52eadcdcf0f8e4adac6fa339073862cdeab0178ee4bcca7a11035cf10633919f,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-16T13:36:17Z,2017-02-16T13:36:18Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xae33b17466f547c0ca6dd8992a3dbfe34b5b5f33bb7c84f292845c59ec32433a,0x0000000000000000000000000000000000000000/0xac709fcb44a43c35f0da4e3163b117a17f3770f5,EtherDelta/Ethereum,2017-02-16T13:36:17Z,2017-02-16T13:36:18Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xfc8b972c7db5b823a03f822869e9b3f6afb6d1688a1d8a74a367a39dbb88d4a5,0xd8912c10681d8b21fd3742244f44658dba12264e/0x0000000000000000000000000000000000000000,EtherDelta/Ethereum,2017-02-16T23:16:38Z,2017-02-16T23:16:39Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xdcc3519b5337e29dbb5b544bdd003d81ba15e68254be0d4428d30bfd95eb82fc,0x0000000000000000000000000000000000000000/0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,EtherDelta/Ethereum,2017-02-17T01:54:34Z,2017-02-17T01:54:35Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
EtherDelta:0xd9494f910422c1ffa40744ccee633f37674b11cc5c9c5e2fb0aa76f7c3d55266,0x0000000000000000000000000000000000000000/0xd8912c10681d8b21fd3742244f44658dba12264e,EtherDelta/Ethereum,2017-02-17T15:16:16Z,2017-02-17T15:16:17Z,false,none_negative_control,same_venue_non_self_trade_control,zenodo:4540223;github:friedhelmvictor/lob-dex-wash-trading-paper,https://zenodo.org/records/4540223; https://github.com/friedhelmvictor/lob-dex-wash-trading-paper; venue=EtherDelta; rule=get == give
