path,classification,needs_manual_review,size_bytes,sha256,decision,reason
/tmp/20260512T000803-codex-r6-jpm-cbot-treasury-control-uplift-v1.staging/matched_negative_normal_activity_rows.csv,prior_verifier_native_intake_file,False,62426,a829ce2e8ad4e13f133effdf8e0a41885d057979cd0d47acecb66679a5a8ac58,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/20260512T000803-codex-r6-jpm-cbot-treasury-control-uplift-v1.staging/positive_spoofing_layering_rows.csv,prior_verifier_native_intake_file,False,62121,1102d09b92c07498676fa5a4ae93b3aa1323086f4edb4453281b25714348e793,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/20260512T000803-codex-r6-jpm-cbot-treasury-control-uplift-v1.staging/provenance_manifest.json,prior_verifier_native_intake_file,False,1676,d936638ac43fd4d9f23fbc781e0b54be4c1c348683f381bed84ffbbfda47aa6f,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-cme-datamine-headers.txt,route_page_cache,False,4641,06b732e36c3c03227970352ecb1651e7b684e88ec8c6486add351e668d566d25,reject_for_current_contract,"route/cache page is useful provenance only, not a control export"
/tmp/ict-engine-cme-datamine.html,route_page_cache,False,602,eecde3fafbde4090c30e610a7ed4b8d877f8351c0490e4189574890e8a5a4f7e,reject_for_current_contract,"route/cache page is useful provenance only, not a control export"
/tmp/ict-engine-cme-mbo-headers.txt,route_page_cache,False,4641,6473edfbd6d10683e36c8ed09955d970013cb14c8db192989b9a55293dd431dd,reject_for_current_contract,"route/cache page is useful provenance only, not a control export"
/tmp/ict-engine-cme-mbo.html,route_page_cache,False,602,eecde3fafbde4090c30e610a7ed4b8d877f8351c0490e4189574890e8a5a4f7e,reject_for_current_contract,"route/cache page is useful provenance only, not a control export"
/tmp/ict-engine-direct-manipulation-row-intake/matched_negative_normal_activity_rows.csv,prior_verifier_native_intake_file,False,58890,d81b8253888d5d68e484679d221640e0f3bee5f4bf6b8e42e14f9d53b53f7e2d,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-direct-manipulation-row-intake/positive_spoofing_layering_rows.csv,prior_verifier_native_intake_file,False,58924,ef9f912b5b0a56f85b21c1355c64c2b443d60ebacbb70a0f195de89b223c9ac6,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-direct-manipulation-row-intake/provenance_manifest.json,prior_verifier_native_intake_file,False,1450,9d85856f9096203ee31a0abba7fe7701b11e3941c2063fa8c1186bd2ce59331b,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-pypdf-py313/pypdf/_codecs/symbol.py,modern_or_sample_market_data,False,3734,9c86864089615822623cc1ebc149661871fefdf397c842af82e466b8a5dc1809,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/tmp/ict-engine-pypdf/pypdf/_codecs/symbol.py,modern_or_sample_market_data,False,3734,9c86864089615822623cc1ebc149661871fefdf397c842af82e466b8a5dc1809,reject_for_current_contract,market-data sample does not match required Oystacher 2011-2014 cells and lacks source-owned normal labels
/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/matched_negative_normal_activity_rows.csv,prior_verifier_native_intake_file,False,58890,d81b8253888d5d68e484679d221640e0f3bee5f4bf6b8e42e14f9d53b53f7e2d,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/positive_spoofing_layering_rows.csv,prior_verifier_native_intake_file,False,58924,ef9f912b5b0a56f85b21c1355c64c2b443d60ebacbb70a0f195de89b223c9ac6,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-r6-direct-intake-reconstruction-v55/intake/provenance_manifest.json,prior_verifier_native_intake_file,False,6572,dab98802cca2f2f9cd411e41ba8e3c561e05692aec6c8e342da48f13fa5d00c8,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/matched_negative_normal_activity_rows.csv,prior_verifier_native_intake_file,False,58890,d81b8253888d5d68e484679d221640e0f3bee5f4bf6b8e42e14f9d53b53f7e2d,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/positive_spoofing_layering_rows.csv,prior_verifier_native_intake_file,False,58924,ef9f912b5b0a56f85b21c1355c64c2b443d60ebacbb70a0f195de89b223c9ac6,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
/tmp/ict-engine-r6-direct-intake-v56-clean-readback/intake/provenance_manifest.json,prior_verifier_native_intake_file,False,1458,99dd02f92423ae8bbf78e90fcc0981551d19a5036c75382cd7db679c7772b657,reject_for_current_contract,existing verifier-native file outside owner-export root is not source-owner Oystacher normal-control export
