root,path,matched_terms,family,disposition,ready_source_input_candidate,size_bytes
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/ym.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1440736
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-gc-cl/cleaned-15m/gc.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1524286
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-15m/es.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,7786235
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-15m/eur.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,4256273
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-15m/nq.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,5832749
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-15m/xau.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1756672
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-cleaned-mtf/cleaned-15m/ym.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1440736
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-cleaned-15m/es.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,6624195
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-cleaned-15m/eur.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,3374583
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-cleaned-15m/nq.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,4932963
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-cleaned-15m/xau.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1524286
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-cleaned-15m/ym.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1430673
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-expansion-sop-15m/cleaned-15m/es.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,6624195
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-expansion-sop-15m/cleaned-15m/eur.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,3374583
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-expansion-sop-15m/cleaned-15m/nq.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,4932963
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-expansion-sop-15m/cleaned-15m/xau.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1524286
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-expansion-sop-15m/cleaned-15m/ym.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1430673
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-expansion-sop-15m/expansion_sop_report.15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,39519
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-sop-15m/cleaned-15m/es.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,6624195
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-sop-15m/cleaned-15m/eur.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,3374583
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-sop-15m/cleaned-15m/nq.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,4932963
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-sop-15m/cleaned-15m/xau.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1524286
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-sop-15m/cleaned-15m/ym.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,1430673
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/ict-engine-sop-15m/futures_sop_report.15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,16827
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/poc-cleaned-15m/es/es.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,7786235
/Users/thrill3r/Downloads,/Users/thrill3r/Downloads/Tomac/poc-cleaned-15m/nq/nq.continuous-15m.json,15m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,5832749
/tmp,/tmp/ict-engine-codex-test-target-20260512-branch-path/debug/deps/ict_engine-97d28a47a09f25ad.0w30mhswnrtwwawbpzzyu4d3e.1gnesru.rcgu.o,30m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,5449624
/tmp,/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/ict_engine-97d28a47a09f25ad.0w30mhswnrtwwawbpzzyu4d3e.05smu5z.rcgu.o,30m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,5449624
/tmp,/tmp/ict-engine-codex-test-target-branch-candidate/debug/deps/ict_engine-97d28a47a09f25ad.0w30mhswnrtwwawbpzzyu4d3e.0zorg26.rcgu.o,30m,possible_market_timeframe,filename_hint_only_not_source_label_export,False,5449624
/tmp,/tmp/ict-engine-source-label-equivalence-intake/source_label_equivalence_provenance.json,source_label,source_label_equivalence,existing_equivalence_root_confidence_blocked_not_cross_timeframe_acceptance,False,3365
/tmp,/tmp/ict-engine-source-label-equivalence-intake/source_label_equivalence_rows.csv,source_label,source_label_equivalence,existing_equivalence_root_confidence_blocked_not_cross_timeframe_acceptance,False,148968262
/tmp,/tmp/ict-engine-source-label-equivalence-reconstruction-v1/staging/source_label_equivalence_provenance.json,source_label,source_label_cross_timeframe,historical_or_generated_label_artifact_not_source_native_export,False,3365
/tmp,/tmp/ict-engine-source-label-equivalence-reconstruction-v1/staging/source_label_equivalence_rows.csv,source_label,source_label_cross_timeframe,historical_or_generated_label_artifact_not_source_native_export,False,148968262
/tmp,/tmp/ict-kaggle-r3-aapl-regime.err,aapl,possible_market_timeframe,filename_hint_only_not_source_label_export,False,0
/tmp,/tmp/r3_native_subhour_sendable_requests_v2_json_check.out,native_subhour;subhour,r3_native_subhour,historical_or_request_artifact_not_target_root,False,5612
/tmp,/tmp/source_label_confidence_gap_decomposition_v1_json_check.out,source_label,source_label_cross_timeframe,historical_or_generated_label_artifact_not_source_native_export,False,4247
/tmp,/tmp/v69_r3_r5_source_label_current_readback.valid,source_label,source_label_cross_timeframe,historical_or_generated_label_artifact_not_source_native_export,False,5554
