branch_path,provider,ote_level,profit_factor,package_id,material_path,unit_label,status,trade_count,win_rate_pct,sharpe,total_profit_pct,evidence_class,quality_weight,allowed_feedback_targets,pre_bayes_filter_allowed,bbn_learning_allowed,catboost_learning_allowed,execution_tree_branch_weight_update_allowed
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,Binance,0705,ote_retrace_0705_continuation_v1,ote-0705-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-binance-1h-v1.material.json,OTE 0705 pullback continuation - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,Binance,0786,ote_retrace_0786_continuation_v1,ote-0786-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-binance-1h-v1.material.json,OTE 0786 pullback continuation - Binance BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,Bybit,0500,ote_retrace_0500_continuation_v1,ote-0500-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-bybit-1h-v1.material.json,OTE 0500 pullback continuation - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,Bybit,0618,ote_retrace_0618_continuation_v1,ote-0618-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-bybit-1h-v1.material.json,OTE 0618 pullback continuation - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,Bybit,0705,ote_retrace_0705_continuation_v1,ote-0705-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-bybit-1h-v1.material.json,OTE 0705 pullback continuation - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,Bybit,0786,ote_retrace_0786_continuation_v1,ote-0786-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-bybit-1h-v1.material.json,OTE 0786 pullback continuation - Bybit BTCUSDT 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,Kraken,0500,ote_retrace_0500_continuation_v1,ote-0500-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-kraken-1h-v1.material.json,OTE 0500 pullback continuation - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,Kraken,0618,ote_retrace_0618_continuation_v1,ote-0618-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-kraken-1h-v1.material.json,OTE 0618 pullback continuation - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,Kraken,0705,ote_retrace_0705_continuation_v1,ote-0705-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-kraken-1h-v1.material.json,OTE 0705 pullback continuation - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,Kraken,0786,ote_retrace_0786_continuation_v1,ote-0786-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-kraken-1h-v1.material.json,OTE 0786 pullback continuation - Kraken XBTUSD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,TradingViewRemix/TVR,0500,ote_retrace_0500_continuation_v1,ote-0500-pullback-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-tvr-btc-usd-1h-v1.material.json,OTE 0500 pullback continuation - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,TradingViewRemix/TVR,0618,ote_retrace_0618_continuation_v1,ote-0618-pullback-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-tvr-btc-usd-1h-v1.material.json,OTE 0618 pullback continuation - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,TradingViewRemix/TVR,0705,ote_retrace_0705_continuation_v1,ote-0705-pullback-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-tvr-btc-usd-1h-v1.material.json,OTE 0705 pullback continuation - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,TradingViewRemix/TVR,0786,ote_retrace_0786_continuation_v1,ote-0786-pullback-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-tvr-btc-usd-1h-v1.material.json,OTE 0786 pullback continuation - TradingViewRemix/TVR BTC-USD 1h,completed,0,0.0,0.0,0.0,low_density_negative_sample,0.0,aq_material_tuning_only,false,false,false,false
