path,size_bytes,classification,decision
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json,1324648,tomac_symbology_context,not_order_lifecycle_rows
/Users/thrill3r/Downloads/camofox-browser/node_modules/playwright-core/lib/generated/pollingRecorderSource.js,72840,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/playwright-core/lib/server/recorder.js,18720,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/playwright-core/lib/server/videoRecorder.js,4886,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/has-symbols/test/shams/get-own-property-symbols.js,760,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/header-generator/data_files/headers-order.json,3691,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/types/order-by-first-call.d.ts,653,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/types/called-in-order.d.ts,1079,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/order-by-first-call.test.js,1463,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/called-in-order.js,1439,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/called-in-order.test.js,3732,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/@sinonjs/commons/lib/order-by-first-call.js,811,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/css-sticky.js,2105,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/mediarecorder.js,2018,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/border-radius.js,2043,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/camofox-browser/node_modules/caniuse-lite/data/features/border-image.js,2178,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gbrain/node_modules/fast-xml-builder/src/orderedJs2Xml.js,10403,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gbrain/node_modules/asynckit/serialOrdered.js,1751,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gbrain/node_modules/asynckit/lib/readable_serial_ordered.js,941,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/cognee/cognee/alembic/versions/1a58b986e6e1_enable_delete_for_old_tutorial_notebooks.py,1288,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/cognee/cognee/alembic/versions/45957f0a9849_add_notebook_table.py,1363,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/cognee/.github/workflows/reusable_notebook.yml,2239,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/cognee/.github/workflows/notebooks_tests.yml,593,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderBookEntry.cpp,3183,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderExpirationEntry.cpp,1825,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/LimitOrder.h,1832,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderBookEntry.h,991,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/TestOrderBookEntry.cpp,3086,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/LimitOrder.cpp,4793,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/cpp/OrderExpirationEntry.h,868,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_tracker_data_source.py,13258,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_query_result.pxd,401,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_expiration_entry.pxd,378,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/OrderBookEntry.pxd,590,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_message.py,2989,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_tracker_entry.py,776,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/OrderExpirationEntry.pxd,680,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book.pxd,1926,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/composite_order_book.pxd,235,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/limit_order.pyx,8479,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_row.py,587,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/in_flight_order.py,14826,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/market_order.py,1836,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/limit_order.pxd,344,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/composite_order_book.pyx,9731,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book.pyx,19768,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_tracker.py,33051,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_candidate.py,15612,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/remote_api_order_book_data_source.py,5477,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/LimitOrder.pxd,1383,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/perpetual_api_order_book_data_source.py,1809,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_expiration_entry.pyx,2752,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/core/data_type/order_book_query_result.pyx,647,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy_v2/utils/order_level_builder.py,4717,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/model/order.py,3072,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/model/order_status.py,1164,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/in_flight_order_base.pyx,6519,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/client_order_tracker.py,19171,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/test_support/mock_order_tracker.py,1605,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/markets_recorder.py,33245,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/gateway/gateway_order_tracker.py,2230,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/gateway/gateway_in_flight_order.py,9404,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/connector/in_flight_order_base.pxd,585,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/client/tab/order_book_tab.py,3142,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/client/command/order_book_command.py,3053,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/client/command/ticker_command.py,3062,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_tracker.pxd,1695,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/perpetual_market_making/perpetual_market_making_order_tracker.py,1452,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_book_asset_price_delegate.pyx,1002,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/pure_market_making/pure_market_making_order_tracker.pyx,1880,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/pure_market_making/pure_market_making_order_tracker.pxd,212,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/hanging_orders_tracker.py,17966,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_book_asset_price_delegate.pxd,241,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/cross_exchange_mining/order_id_market_pair_tracker.pyx,2427,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/cross_exchange_mining/order_id_market_pair_tracker.pxd,520,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/order_tracker.pyx,14174,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/cross_exchange_market_making/order_id_market_pair_tracker.pyx,3206,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/hummingbot/strategy/cross_exchange_market_making/order_id_market_pair_tracker.pxd,520,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/test/hummingbot/connector/test_client_order_tracker.py,47640,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/test/hummingbot/connector/test_markets_recorder.py,46587,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/test/hummingbot/strategy/test_hanging_orders_tracker.py,25936,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/test/hummingbot/strategy/test_order_tracker.py,22987,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/test/mock/mock_api_order_book_data_source.py,7165,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/test/mock/http_recorder.py,10725,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/scripts/download_order_book_and_trades.py,5432,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/controllers/generic/examples/basic_order_example.py,2426,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/hummingbot/controllers/generic/examples/basic_order_open_close_example.py,4165,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/packages/paper-engine/tests/test_orders.py,5752,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/packages/paper-engine/pnlclaw_paper/orders.py,7496,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Pnlclaw-community/packages/exchange-sdk/tests/test_symbol_normalizer.py,3076,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Algorithmic-trading/tradfi/ninjatrader/Indicators/OrderBlockDetector.cs,5353,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/truecourse/dist/db/migrations/0010_sticky_stark_industries.sql,53,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/truecourse/dist/db/migrations/0009_sticky_blizzard.sql,750,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/pi-autoresearch/node_modules/fast-xml-builder/src/orderedJs2Xml.js,10260,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/pi-autoresearch/node_modules/highlight.js/scss/school-book.png,486,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/pi-autoresearch/node_modules/highlight.js/scss/school-book.scss,991,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/pi-autoresearch/node_modules/highlight.js/styles/school-book.png,486,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/pi-autoresearch/node_modules/highlight.js/styles/school-book.css,991,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/RD-Agent/test/notebook/test_notebook_converter.py,6178,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gnhf/node_modules/typescript/lib/lib.es2015.symbol.wellknown.d.ts,11010,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gnhf/node_modules/typescript/lib/lib.es2020.symbol.wellknown.d.ts,1606,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gnhf/node_modules/typescript/lib/lib.es2019.symbol.d.ts,1006,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gnhf/node_modules/typescript/lib/lib.es2015.symbol.d.ts,1649,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/gnhf/node_modules/postcss/lib/symbols.js,91,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/GenericAgent/assets/demo/order_tea.gif,3187619,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/tests/test_data/mock_playbooks.csv,1507,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/tests/lib/test_agent_playbook_unit.py,19102,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/tests/lib/test_user_playbook_unit.py,18792,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/tests/fixtures/llm/playbook_aggregation.json,485,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/tests/fixtures/llm/playbook_extraction.json,533,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/tests/e2e_tests/test_playbook_workflows.py,67991,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/docs/lib/methods/user-playbooks.ts,6485,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/docs/lib/methods/agent-playbooks.ts,7695,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/reflexio/cli/commands/user_playbooks.py,11593,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/reflexio/cli/commands/agent_playbooks.py,16219,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/reflexio/lib/_user_playbook.py,10499,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/reflexio/lib/_agent_playbook.py,11811,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/reflexio/lib/__pycache__/_user_playbook.cpython-312.pyc,11426,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/reflexio/lib/__pycache__/_agent_playbook.cpython-312.pyc,12504,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/htmlcov/z_b8a582f3a1e14f2b__user_playbook_py.html,78960,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/htmlcov/z_8a98c46aa5adcc1f_agent_playbooks_py.html,141163,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/htmlcov/z_b8a582f3a1e14f2b__agent_playbook_py.html,85027,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/htmlcov/z_8a98c46aa5adcc1f_user_playbooks_py.html,106836,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/reflexio/notebooks/03_playbook.ipynb,14813,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/references/overlays/turix-cua/runbook.md,1784,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/bundled/skills/systematic-debugging/defense-in-depth.md,3650,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/design/xl-operator-playbook.md,2899,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/design/blackbox-probe-and-enhancement-playbook.md,6019,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/archive/root-docs/soft-migration-playbook.md,1229,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/operator-default-runbooks.md,2201,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/contributor-default-runbooks.md,1841,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/tests/order-utils/exchange.order.builder.test.ts,4498,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/marketSellOrder.ts,1355,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/cancelOrders.ts,1044,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/areOrdersScoring.ts,1116,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/getBuilderOpenOrders.ts,1595,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/createOrDeriveApiKey.ts,763,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/cancelMarketOrders.ts,1498,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/matchOrders.ts,1457,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/marketBuyOrder.ts,1806,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/orders.ts,2151,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/order.ts,1545,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/populateOrderbook.ts,2134,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/getOpenOrders.ts,1766,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/postOnlyOrder.ts,1249,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/isOrderScoring.ts,1007,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/GTDOrder.ts,1925,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/getOrder.ts,985,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/getOrderbooks.ts,828,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/cancelOrder.ts,1064,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/getOrderbook.ts,742,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/rfqApproveOrder.ts,1692,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/examples/getOpenOrdersWithReadonlyKey.ts,1339,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/src/order-utils/model/order-side.model.ts,49,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/src/order-utils/model/order.model.ts,3254,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/src/order-utils/exchange.order.builder.ts,4457,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/clob-client/src/order-utils/exchange.order.const.ts,1036,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/polymarket-cli/src/output/clob/orders.rs,13221,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/polymarket-cli/src/output/clob/books.rs,4805,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/market_orders_faq.md,4678,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_count_decrement.md,8910,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_amend_keep_priority.md,4705,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/market_orders_faq_CN.md,4488,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/pegged_orders.md,6363,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/pegged_orders_CN.md,6379,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_amend_keep_priority_CN.md,4799,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/binance-spot-api-docs/faqs/order_count_decrement_CN.md,7336,other_false_positive,not_required_root_unlock
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/exchange/fetch_ticker.py,1773,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/exchange/fetch_orderbook.py,1609,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/exchange/fetch_open_orders.py,1422,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/exchange/fetch_tickers.py,1831,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/exchange/cancel_order.py,1654,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/exchange/place_order.py,3383,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/build_akshare_symbols_db.py,8977,source_code_false_positive,code_not_source_owned_data
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/ConsolidateDifferentTickTypesRegressionAlgorithm.py,2201,source_code_false_positive,code_not_source_owned_data
