slot_id,provider,instrument,timeframe,root,crosswalk_layer,crosswalk_decision,source_window_count,materialized_closed_window_count,deferred_refresh_window_count,slot_status
source-window-crosswalk-v1-0034,yfinance,SPY,1h,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0035,yfinance,SPY,1h,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0036,yfinance,SPY,1h,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0037,yfinance,SPY,4h,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0038,yfinance,SPY,4h,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0039,yfinance,SPY,4h,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0040,yfinance,SPY,1mo,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0041,yfinance,SPY,1mo,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0042,yfinance,SPY,1mo,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0043,yfinance,ES=F,1m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0044,yfinance,ES=F,1m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0045,yfinance,ES=F,1m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0046,yfinance,ES=F,5m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0047,yfinance,ES=F,5m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0048,yfinance,ES=F,5m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0049,yfinance,ES=F,15m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0050,yfinance,ES=F,15m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0051,yfinance,ES=F,15m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0052,yfinance,ES=F,30m,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0053,yfinance,ES=F,30m,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0054,yfinance,ES=F,30m,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0055,yfinance,ES=F,1h,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0056,yfinance,ES=F,1h,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0057,yfinance,ES=F,1h,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0058,yfinance,ES=F,4h,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0059,yfinance,ES=F,4h,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0060,yfinance,ES=F,4h,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
source-window-crosswalk-v1-0061,yfinance,ES=F,1mo,Bull,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,3,1,materialized_with_refresh_gap
source-window-crosswalk-v1-0062,yfinance,ES=F,1mo,Bear,spx_tradable_proxy_time_projection,approved_low_risk_market_family_projection,4,4,0,materialized
source-window-crosswalk-v1-0063,yfinance,ES=F,1mo,Crisis,macro_crisis_to_spx_tradable_proxy,approved_low_risk_macro_stress_projection,3,3,0,materialized
