surface,route,query_slug,status,failed_or_parse,top_records,required_filename_hit,owner_hit,mainregimev2_hit,r3_hit,r5_hit,r6_hit,context_hit,first_title_or_name,url,parse_error
gitlab_public_projects,r6_filename,matched_controls_exact,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22direct_manipulation_matched_controls%22&simple=true&per_page=10,
openml_dataset_name,r6_filename,matched_controls_exact,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/direct_manipulation_matched_controls/limit/10,
aws_open_data_registry_html,r6_filename,matched_controls_exact,200,False,0,False,False,False,False,False,False,False,,https://registry.opendata.aws/?search=%22direct_manipulation_matched_controls%22,
data_gov_html,r6_filename,provenance_exact,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22direct_manipulation_provenance%22,
gitlab_public_projects,r6_filename,provenance_exact,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22direct_manipulation_provenance%22&simple=true&per_page=10,
openml_dataset_name,r6_filename,provenance_exact,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/direct_manipulation_provenance/limit/10,
aws_open_data_registry_html,r6_filename,provenance_exact,200,False,0,False,False,False,False,False,False,False,,https://registry.opendata.aws/?search=%22direct_manipulation_provenance%22,
data_gov_html,r6_owner,oystacher_3red_lifecycle,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22Oystacher%22+%223Red+Trading%22+%22order+lifecycle%22,
gitlab_public_projects,r6_owner,oystacher_3red_lifecycle,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22Oystacher%22+%223Red+Trading%22+%22order+lifecycle%22&simple=true&per_page=10,
openml_dataset_name,r6_owner,oystacher_3red_lifecycle,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/Oystacher%22%20%223Red%20Trading%22%20%22order%20lifecycle/limit/10,
aws_open_data_registry_html,r6_owner,oystacher_3red_lifecycle,200,False,2,False,False,False,False,False,False,False,BrainSeq - Neurogenomics to Drive Novel Target Discovery for Neuropsychiatric Disorders,https://registry.opendata.aws/?search=%22Oystacher%22+%223Red+Trading%22+%22order+lifecycle%22,
data_gov_html,r6_context,spoofing_matched_controls_futures,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22spoofing%22+%22matched+controls%22+%22futures%22,
gitlab_public_projects,r6_context,spoofing_matched_controls_futures,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22spoofing%22+%22matched+controls%22+%22futures%22&simple=true&per_page=10,
openml_dataset_name,r6_context,spoofing_matched_controls_futures,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/spoofing%22%20%22matched%20controls%22%20%22futures/limit/10,
aws_open_data_registry_html,r6_context,spoofing_matched_controls_futures,200,False,1,False,False,False,False,False,False,False,MIMIC-IV-ECG: Diagnostic Electrocardiogram Matched Subset,https://registry.opendata.aws/?search=%22spoofing%22+%22matched+controls%22+%22futures%22,
