label,qualifying_condition,source_owner,market_family,symbol,timeframe,timestamp_or_date,split_role,source_row_id,main_regime_v2_label
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,COP,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:8:COP:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,CSCO,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:9:CSCO:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,CVX,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:10:CVX:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,DIS,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:11:DIS:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:12:GE:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GS,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:13:GS:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,HD,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:14:HD:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,INTC,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:15:INTC:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:16:JNJ:2000-01-03:Bull,Bull
Bull,hgb_numeric_probability(Bull) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JPM,1d,2000-01-03,calibration,stock_market_regimes_2000_2026:17:JPM:2000-01-03:Bull,Bull
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-02-01,calibration,stock_market_regimes_2000_2026:684:AMZN:2000-02-01:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-02-02,calibration,stock_market_regimes_2000_2026:718:AMZN:2000-02-02:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,CAT,1d,2000-02-03,calibration,stock_market_regimes_2000_2026:755:CAT:2000-02-03:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,NKE,1d,2000-02-08,calibration,stock_market_regimes_2000_2026:871:NKE:2000-02-08:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,NKE,1d,2000-02-09,calibration,stock_market_regimes_2000_2026:905:NKE:2000-02-09:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,NKE,1d,2000-02-10,calibration,stock_market_regimes_2000_2026:939:NKE:2000-02-10:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,NKE,1d,2000-02-11,calibration,stock_market_regimes_2000_2026:973:NKE:2000-02-11:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,CAT,1d,2000-02-14,calibration,stock_market_regimes_2000_2026:993:CAT:2000-02-14:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,MCD,1d,2000-02-14,calibration,stock_market_regimes_2000_2026:1004:MCD:2000-02-14:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,NKE,1d,2000-02-14,calibration,stock_market_regimes_2000_2026:1007:NKE:2000-02-14:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,CAT,1d,2000-02-15,calibration,stock_market_regimes_2000_2026:1027:CAT:2000-02-15:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,MCD,1d,2000-02-15,calibration,stock_market_regimes_2000_2026:1038:MCD:2000-02-15:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,NKE,1d,2000-02-15,calibration,stock_market_regimes_2000_2026:1041:NKE:2000-02-15:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,AMZN,1d,2000-02-16,calibration,stock_market_regimes_2000_2026:1058:AMZN:2000-02-16:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,CAT,1d,2000-02-16,calibration,stock_market_regimes_2000_2026:1061:CAT:2000-02-16:Crisis,Crisis
Crisis,hgb_numeric_probability(Crisis) >= 0.985,source-owned-stock-market-regimes-2000-2026,us_single_stock,MCD,1d,2000-02-16,calibration,stock_market_regimes_2000_2026:1072:MCD:2000-02-16:Crisis,Crisis
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-13,calibration,stock_market_regimes_2000_2026:3824:JNJ:2000-06-13:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-14,calibration,stock_market_regimes_2000_2026:3858:JNJ:2000-06-14:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-15,calibration,stock_market_regimes_2000_2026:3892:JNJ:2000-06-15:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-16,calibration,stock_market_regimes_2000_2026:3926:JNJ:2000-06-16:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-19,calibration,stock_market_regimes_2000_2026:3960:JNJ:2000-06-19:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-20,calibration,stock_market_regimes_2000_2026:3994:JNJ:2000-06-20:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-21,calibration,stock_market_regimes_2000_2026:4028:JNJ:2000-06-21:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,JNJ,1d,2000-06-22,calibration,stock_market_regimes_2000_2026:4062:JNJ:2000-06-22:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-08-02,calibration,stock_market_regimes_2000_2026:5010:GE:2000-08-02:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-08-04,calibration,stock_market_regimes_2000_2026:5078:GE:2000-08-04:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-08-07,calibration,stock_market_regimes_2000_2026:5112:GE:2000-08-07:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-08-08,calibration,stock_market_regimes_2000_2026:5146:GE:2000-08-08:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-09-18,calibration,stock_market_regimes_2000_2026:6098:GE:2000-09-18:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-09-20,calibration,stock_market_regimes_2000_2026:6166:GE:2000-09-20:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-09-25,calibration,stock_market_regimes_2000_2026:6268:GE:2000-09-25:Sideways,Sideways
Sideways,hgb_numeric_probability(Sideways) >= 0.97,source-owned-stock-market-regimes-2000-2026,us_single_stock,GE,1d,2000-09-27,calibration,stock_market_regimes_2000_2026:6336:GE:2000-09-27:Sideways,Sideways
