path,size_bytes,mtime_epoch,extension,name_hits,content_hits,classification
/Users/thrill3r/Downloads/repo-intake/truecourse/packages/analyzer/dist/layer-detector.js.map,7283,1776133754,.map,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/truecourse/packages/analyzer/src/layer-detector.ts,8277,1776133067,.ts,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/GenericAgent/memory/procmem_scanner.py,4950,1776476851,.py,cme,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/GenericAgent/memory/procmem_scanner_sop.md,4260,1776476851,.md,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/reflexio/htmlcov/keybd_closed_cb_900cfef5.png,9004,1776308118,.png,cfe,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/repo-intake/Vibe-Skills/docs/universalization/router-provider-layer.md,1999,1776334145,.md,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/build_akshare_symbols_db.py,8977,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/cboe_data.py,31999,1777163937,.py,cboe,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/cme_data.py,3473,1777163937,.py,cme,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/cboe_vix_data.py,4952,1777163937,.py,cboe,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/SelectUniverseSymbolsFromIDRegressionAlgorithm.py,2279,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/MultipleSymbolConsolidationAlgorithm.py,5874,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/ComboOrderTicketDemoAlgorithm.py,10578,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/ManuallySetMarketHoursAndSymbolPropertiesDatabaseEntriesAlgorithm.py,4647,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/CoarseFineFundamentalComboAlgorithm.py,3522,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/AllShortableSymbolsCoarseSelectionRegressionAlgorithm.py,6514,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/ComboOrdersFillModelAlgorithm.py,5794,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/external-data-sources/FinceptTerminal/fincept-qt/scripts/strategies/StringToSymbolImplicitConversionRegressionAlgorithm.py,1716,1777163937,.py,mbo,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/hermes-memory-eval/OpenSpace/openspace/tool_layer.py,42791,1775663394,.py,layer,,keyword_candidate_not_sufficient
/Users/thrill3r/Downloads/hermes-memory-eval/TradingView-API/examples/MultipleSyncFetch.js,1148,1775663442,.js,cfe,,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/EBWebView/component_crx_cache/000ac7dc9366969db9d1e41810a3a27c747a7623535d856eecc2de86cfed80c7,1890,1758249290,,cfe,,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CBOE US Index Futures RTH.xml,23268,1773374218,.xml,cboe,cboe,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CFE FX Futures.xml,40081,1773374218,.xml,cfe,cfe,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Forest Futures.xml,32542,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Global Index Futures RTH.xml,59181,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME US Index Futures RTH.xml,59177,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Commodities RTH.xml,23985,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Agriculture Dairy ETH.xml,30396,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME FX Futures RTH.xml,42616,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME FX Futures ETH.xml,42621,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Commodities ETH.xml,23985,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Agriculture Dairy RTH.xml,30391,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME US Index Futures ETH.xml,59182,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Forest Futures ETH.xml,32550,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CME Housing Futures ETH.xml,59181,1773374218,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/TradingHours/CBOE US Index Futures ETH.xml,23273,1773374218,.xml,cboe,cboe,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CME.xml,2068,1714340094,.xml,cme,cme,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CBOE Market Data Internals.xml,890,1714340094,.xml,cboe,cboe,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CFE.xml,852,1714340094,.xml,cfe,cfe,keyword_candidate_not_sufficient
/Users/thrill3r/Documents/NinjaTrader 8/templates/MarketDataEntitlement/CME Bundle.xml,3331,1714340094,.xml,cme,cme,keyword_candidate_not_sufficient
/tmp/ict-engine-cboe-futures-market-data-headers.txt,1174,1778518047,.txt,cboe,cboe,keyword_candidate_not_sufficient
/tmp/ict-engine-r6-cme-delta-jsoncheck-final.out,2550,1778533299,.out,cme,oystacher;cme;cboe;normal control;license;export,possible_owner_correspondence_needs_manual_review
/tmp/current_state_audit_after_v62_owner_export_v1.final.jsoncheck,16999,1778517109,.jsoncheck,owner_export;owner-export,,keyword_candidate_not_sufficient
/tmp/ict-engine-r6-owner-export-local-arrival-scan-after-051754-jsoncheck.out,152821,1778534497,.out,owner_export;owner-export,oystacher;spoof;layering;cme;cboe;cfe;normal control;export,positive_or_case_material_needs_control_policy
/tmp/ict-engine-cme-mbo.html,602,1778517853,.html,cme;mbo,cme,keyword_candidate_not_sufficient
/tmp/ict-engine-cme-datamine.html,602,1778517853,.html,cme,cme,keyword_candidate_not_sufficient
/tmp/oystacher_policy_jsoncheck,19332,1778517369,,oystacher,,keyword_candidate_not_sufficient
/tmp/r6_oystacher_approval_decision_package_v1.json.valid,7249,1778517559,.valid,oystacher,,keyword_candidate_not_sufficient
/tmp/ict-engine-cboe-oof.html,377477,1778518047,.html,cboe,cboe;cfe;market depth;license;export,possible_owner_correspondence_needs_manual_review
/tmp/ict-engine-oystacher-exhibit-a.pdf,1132071,1778517937,.pdf,oystacher,,keyword_candidate_not_sufficient
/tmp/cboe_cfe_futures_trades.html,54399,1778535688,.html,cboe;cfe,cboe;cfe,keyword_candidate_not_sufficient
/tmp/r6_oystacher_local_control_path_disposition_v1.rerun.out,1315,1778517588,.out,oystacher,oystacher;normal control,keyword_candidate_not_sufficient
/tmp/ict-engine-r6-oystacher-normal-control-preflight-v1.verify.out,363,1778517600,.out,oystacher;normal_control;normal-control,oystacher;normal control,keyword_candidate_not_sufficient
/tmp/ict-engine-r6-oystacher-normal-control-preflight-v1.rerun.out,363,1778517492,.out,oystacher;normal_control;normal-control,oystacher;normal control,keyword_candidate_not_sufficient
/tmp/ict-engine-justia-oystacher.html,5618,1778517854,.html,oystacher,,keyword_candidate_not_sufficient
/tmp/ict-engine-cboe-futures-market-data.html,608422,1778518048,.html,cboe,cboe;cfe;license,possible_owner_correspondence_needs_manual_review
/tmp/r6_owner_export_presence_sweep_v1.jsoncheck,3445,1778516495,.jsoncheck,owner_export;owner-export,,keyword_candidate_not_sufficient
/tmp/ict-engine-cftc-oystacher-order.pdf,147602,1778517960,.pdf,oystacher,,keyword_candidate_not_sufficient
/tmp/current_state_audit_after_v62_owner_export_v1.jsoncheck,17685,1778517028,.jsoncheck,owner_export;owner-export,,keyword_candidate_not_sufficient
/tmp/r6_owner_export_target_verifier_after_030300_v1.json.check,1607,1778526545,.check,owner_export;owner-export;verifier,,keyword_candidate_not_sufficient
/tmp/ict-engine-cme-datamine-headers.txt,4641,1778517853,.txt,cme,cme,keyword_candidate_not_sufficient
/tmp/cboe_mdr_quotes_trades.html,51137,1778535660,.html,cboe,cboe;cfe,keyword_candidate_not_sufficient
/tmp/ict-engine-cboe-oof-headers.txt,1878,1778518046,.txt,cboe,cboe,keyword_candidate_not_sufficient
/tmp/r6_oystacher_approval_template_v1.json.valid,1011,1778517559,.valid,oystacher,,keyword_candidate_not_sufficient
/tmp/ict-engine-cme-mbo-headers.txt,4641,1778517853,.txt,cme;mbo,cme,keyword_candidate_not_sufficient
/tmp/ict-engine-r6-owner-export-v5-dispatch-jsoncheck.out,5212,1778534901,.out,owner_export;owner-export,oystacher;spoof;layering;cme;cboe;cfe;normal control;ticket;license;export,request_or_dispatch_draft_only
/tmp/ict-engine-r6-cme-delta-jsoncheck.out,2550,1778533041,.out,cme,oystacher;cme;cboe;normal control;license;export,possible_owner_correspondence_needs_manual_review
/tmp/r6_owner_export_request_bundle_v2_json_check.out,5690,1778518540,.out,owner_export;owner-export,spoof;layering;cme;cboe;cfe;market depth;market by order;normal control;order lifecycle;license;export,request_or_dispatch_draft_only
/tmp/r6_oystacher_canonical_merge_preflight_v1.jsoncheck,16248,1778517316,.jsoncheck,oystacher,,keyword_candidate_not_sufficient
/tmp/cfe_futures_trades_sample_226.zip,1064511,1778535649,.zip,cfe,,keyword_candidate_not_sufficient
/tmp/r6_oystacher_rerun.out,0,1778514781,.out,oystacher,,keyword_candidate_not_sufficient
/tmp/ict-cme-datamine-page.html,602,1778518761,.html,cme,cme,keyword_candidate_not_sufficient
/tmp/r6_oystacher_canonical_merge_preflight_v1.final.jsoncheck,16248,1778517418,.jsoncheck,oystacher,,keyword_candidate_not_sufficient
/tmp/ict-engine-justia-oystacher-headers.txt,2186,1778517854,.txt,oystacher,,keyword_candidate_not_sufficient
/tmp/courtlistener_oystacher_docket_exact.json,58,1778516391,.json,oystacher,,keyword_candidate_not_sufficient
/tmp/r6_owner_export_arrival_scan_after_043027_v1.out,7394,1778531749,.out,owner_export;owner-export,spoof;layering;cme;export,possible_owner_correspondence_needs_manual_review
/tmp/cboe_futures_pitch.html,53675,1778535929,.html,cboe,cboe;cfe,keyword_candidate_not_sufficient
/tmp/courtlistener_oystacher_dockets.json,58,1778516391,.json,oystacher,,keyword_candidate_not_sufficient
/tmp/ict-engine-r6-owner-export-local-arrival-scan-after-051754-final-jsoncheck.out,152821,1778534578,.out,owner_export;owner-export,oystacher;spoof;layering;cme;cboe;cfe;normal control;export,positive_or_case_material_needs_control_policy
/tmp/r6_owner_export_sendable_requests_v3_json_check.out,0,1778518916,.out,owner_export;owner-export,,request_or_dispatch_draft_only
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/.fingerprint/tower-layer-c9280e523df3e41a/dep-lib-tower_layer,14,1778518831,,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/.fingerprint/tower-layer-c9280e523df3e41a/lib-tower_layer,16,1778518834,,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/.fingerprint/tower-layer-c9280e523df3e41a/lib-tower_layer.json,355,1778518834,.json,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/incremental/ict_engine-1tkkjljx2wvha/s-hifkya9g42-0pr2dfa-3czj6aw7pvbqy0shmo6mnwvue/4cfe7r1x4613l4p9lyoaqyeoa.o,95416,1778520366,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/incremental/ict_engine-1ixub8rza30ou/s-hifkeu9hc4-0lpttq6-9etl9dmtsp68wtbfigmjkif1c/5nwdcfego4x6d6118uglbufv4.o,236472,1778520254,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/incremental/eml_poc-3du3ckewjy3x8/s-hifky47lfh-0jsfjzz-a4mq7y6fsvsbxm8wuvwlt7rr6/e6likokbxmbof1cblj59a1lgr.o,4672,1778520305,.o,mbo,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/smallvec-d37cfeb0b273ffb5.smallvec.f943a82f77dfaa1b-cgu.0.rcgu.o,26736,1778518733,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/clap-9ec2bb3fa68e8e9e.clap.de049c38f423cfec-cgu.0.rcgu.o,808,1778519037,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/eml_poc-8d2c7b54a661531b.e6likokbxmbof1cblj59a1lgr.06lmewk.rcgu.o,4672,1778520305,.o,mbo,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/libtower_layer-c9280e523df3e41a.rlib,82880,1778518834,.rlib,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/tower_layer-c9280e523df3e41a.tower_layer.e5e9e44e1dcf36a3-cgu.0.rcgu.o,4824,1778518834,.o,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/rand_core-d8bbdadedae8b544.rand_core.224416421cfe0fa8-cgu.0.rcgu.o,126088,1778518767,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/ict_engine-9c9d34a31eba591c.5nwdcfego4x6d6118uglbufv4.1mqqj95.rcgu.o,236472,1778520254,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/smallvec-d37cfeb0b273ffb5.d,689,1778518730,.d,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/libsmallvec-d37cfeb0b273ffb5.rmeta,207290,1778518733,.rmeta,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/libtower_layer-c9280e523df3e41a.rmeta,77263,1778518834,.rmeta,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/tower_layer-c9280e523df3e41a.d,2334,1778518831,.d,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/ict_engine-76f37a0cf4429c9b.4cfe7r1x4613l4p9lyoaqyeoa.0pjnwlz.rcgu.o,95416,1778520366,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-target-20260512-readonly-bbn/debug/deps/libsmallvec-d37cfeb0b273ffb5.rlib,235440,1778518733,.rlib,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/.fingerprint/tower-layer-c9280e523df3e41a/dep-lib-tower_layer,14,1778521489,,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/.fingerprint/tower-layer-c9280e523df3e41a/lib-tower_layer,16,1778521491,,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/.fingerprint/tower-layer-c9280e523df3e41a/lib-tower_layer.json,355,1778521491,.json,layer,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/incremental/ict_engine-1wt3w0scfj12f/s-hiflrzy79b-027m2nm-6nw4eoxkv6nrqtzj5ohya0uxp/f45cfepm4dxxeaei183plcwge.o,160080,1778522896,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/incremental/ict_engine-1tkkjljx2wvha/s-hiflpptg47-1frt0mv-dwt3o0mjd3lv0o2gsu2l3kds2/4cfe7r1x4613l4p9lyoaqyeoa.o,95416,1778522059,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/incremental/ict_engine-1tkkjljx2wvha/s-hifm60b746-08zxvrf-working/4cfe7r1x4613l4p9lyoaqyeoa.o,95416,1778522059,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/incremental/ict_engine-1ixub8rza30ou/s-hiflk1mf89-1amtwyf-35w7eop37wcm4hy91zm134ngn/5nwdcfego4x6d6118uglbufv4.o,236472,1778521942,.o,cfe,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/incremental/eml_poc-3du3ckewjy3x8/s-hifm66v0rd-0m2d9ui-5i1cdpwa2f8idt3zvcts4wvtr/e6likokbxmbof1cblj59a1lgr.o,4672,1778521974,.o,mbo,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/incremental/eml_poc-3du3ckewjy3x8/s-hiflppryym-1fleu28-3jbws3moxmp8y3n6bih158a1d/e6likokbxmbof1cblj59a1lgr.o,4672,1778521974,.o,mbo,,keyword_candidate_not_sufficient
/tmp/ict-engine-codex-test-agent-neutralized/debug/deps/ict_engine-97d28a47a09f25ad.f45cfepm4dxxeaei183plcwge.0uud5ij.rcgu.o,160080,1778522896,.o,cfe,,keyword_candidate_not_sufficient
