branch_path,main_regime,package_id,profit_factor,provider_provenance,regime_profit_branch_path,sharpe,status,sub_regime,sub_sub_regime_or_profit_factor,total_profit_pct,trade_count,unit_label,win_rate_pct
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-dense-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 30m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.7672,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-2.45,37,IBKR NUE Bayesian-Markov trend detector - 30m dense 3 M,51.3514
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-30m-wide-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 30m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.2099,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.92,16,IBKR NUE Bayesian-Markov trend detector - 30m wide 3 M,50.0
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-quality-2y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1d 2 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.0375,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-1.21,4,IBKR NUE Bayesian-Markov trend detector - 1d quality 2 Y,50.0
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-dense-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 15m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-1.5045,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-4.12,86,IBKR NUE Bayesian-Markov trend detector - 15m dense 3 M,50.0
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-quality-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 15m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.2042,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.57,48,IBKR NUE Bayesian-Markov trend detector - 15m quality 3 M,47.9167
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-15m-wide-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 15m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.4778,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-1.44,37,IBKR NUE Bayesian-Markov trend detector - 15m wide 3 M,45.9459
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-quality-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1h 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.1376,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.48,16,IBKR NUE Bayesian-Markov trend detector - 1h quality 3 M,43.75
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-dense-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 5m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.4493,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.95,149,IBKR NUE Bayesian-Markov trend detector - 5m dense 3 M,41.6107
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-balanced-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 5m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.5477,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,1.25,115,IBKR NUE Bayesian-Markov trend detector - 5m balanced 3 M,40.8696
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-wide-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 5m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.4145,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,1.18,50,IBKR NUE Bayesian-Markov trend detector - 5m wide 3 M,40.0
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-5m-quality-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 5m 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.1114,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.28,79,IBKR NUE Bayesian-Markov trend detector - 5m quality 3 M,39.2405
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1h-wide-3m-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1h 3 M,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,0.2159,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,0.77,13,IBKR NUE Bayesian-Markov trend detector - 1h wide 3 M,38.4615
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-balanced-10d-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1m 10 D,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-13.7332,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-2.43,27,IBKR NUE Bayesian-Markov trend detector - 1m balanced 10 D,33.3333
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-balanced-2y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1d 2 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.1897,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-4.47,7,IBKR NUE Bayesian-Markov trend detector - 1d balanced 2 Y,28.5714
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1d-dense-2y-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1d 2 Y,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-0.1972,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-4.18,7,IBKR NUE Bayesian-Markov trend detector - 1d dense 2 Y,28.5714
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-dense-10d-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1m 10 D,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-14.6552,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-2.42,35,IBKR NUE Bayesian-Markov trend detector - 1m dense 10 D,28.5714
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-quality-10d-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1m 10 D,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-20.527,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-3.31,19,IBKR NUE Bayesian-Markov trend detector - 1m quality 10 D,26.3158
TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,TrendExpansion,ibkr-nue-steel-producer-bayesian-markov-trend-detector-1m-wide-10d-v1,ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,IBKR NUE 1m 10 D,TrendExpansion -> SteelProducerBayesianMarkovTrendContinuation -> bayesian_markov_trend_detector -> ibkr_nue_steel_producer_bayesian_markov_trend_detector_1m_mtf_gate1_v1,-13.8755,completed,SteelProducerBayesianMarkovTrendContinuation,bayesian_markov_trend_detector,-1.83,13,IBKR NUE Bayesian-Markov trend detector - 1m wide 10 D,23.0769
