label,rule_id,rule,rule_kind,calibration_support,calibration_label_hits,calibration_precision,calibration_wilson95_lcb,heldout_market_support,heldout_market_label_hits,heldout_market_precision,heldout_market_wilson95_lcb,heldout_time_support,heldout_time_label_hits,heldout_time_precision,heldout_time_wilson95_lcb,test_support,test_label_hits,test_precision,test_wilson95_lcb,accepted_three_atom_confidence_95,blockers,min_split_support,min_split_wilson95_lcb
Bear,returns_le_-0.03190357354__and__vix_ge_21.82999992__and__regime_confidence_le_0.385,returns <= -0.03190357354 AND vix >= 21.82999992 AND regime_confidence <= 0.385,3_atom_conjunction,1919,1260,0.656591975,0.6350527259,138,99,0.7173913043,0.6371703718,533,348,0.6529080675,0.6115298145,48,36,0.75,0.6121562719,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,48,0.6115298145
Bear,vix_ge_26.60000038__and__volatility_ge_0.9564397693__and__regime_confidence_le_0.385,vix >= 26.60000038 AND volatility >= 0.9564397693 AND regime_confidence <= 0.385,3_atom_conjunction,858,682,0.7948717949,0.7665669578,26,25,0.9615384615,0.811072211,267,178,0.6666666667,0.6081114852,17,15,0.8823529412,0.6566364941,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,17,0.6081114852
Bear,vix_ge_29.98999977__and__returns_le_-0.02126173967__and__regime_confidence_le_0.385,vix >= 29.98999977 AND returns <= -0.02126173967 AND regime_confidence <= 0.385,3_atom_conjunction,1604,1151,0.7175810474,0.6950506955,205,142,0.6926829268,0.626463476,426,277,0.6502347418,0.6037886452,39,33,0.8461538462,0.7027053635,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,39,0.6037886452
Bear,returns_le_-0.02126173967__and__vix_ge_24.78000069__and__regime_confidence_le_0.385,returns <= -0.02126173967 AND vix >= 24.78000069 AND regime_confidence <= 0.385,3_atom_conjunction,2535,1646,0.6493096647,0.6305206567,285,189,0.6631578947,0.6064393362,746,475,0.6367292225,0.6015980525,60,49,0.8166666667,0.7008024625,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,60,0.6015980525
Bear,vix_ge_29.98999977__and__returns_le_-0.01552237502__and__regime_confidence_le_0.385,vix >= 29.98999977 AND returns <= -0.01552237502 AND regime_confidence <= 0.385,3_atom_conjunction,1998,1391,0.6961961962,0.6756698677,297,195,0.6565656566,0.6008705272,512,331,0.646484375,0.6041244029,48,42,0.875,0.7529954171,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,48,0.6008705272
Bear,returns_le_-0.06284239557__and__vix_ge_21.82999992__and__regime_confidence_le_0.385,returns <= -0.06284239557 AND vix >= 21.82999992 AND regime_confidence <= 0.385,3_atom_conjunction,417,317,0.7601918465,0.7169550266,14,13,0.9285714286,0.6853129558,102,71,0.6960784314,0.6010479531,14,12,0.8571428571,0.600586205,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,14,0.600586205
Bear,regime_confidence_le_0.385__and__vix_ge_19.45000076__and__volatility_ge_0.7166634134,regime_confidence <= 0.385 AND vix >= 19.45000076 AND volatility >= 0.7166634134,3_atom_conjunction,2626,1705,0.6492764661,0.6308189698,140,124,0.8857142857,0.8224092536,603,385,0.6384742952,0.5993622925,115,95,0.8260869565,0.7465896677,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,115,0.5993622925
Bear,vix_ge_20.63999939__and__regime_confidence_le_0.385__and__volatility_ge_0.7166634134,vix >= 20.63999939 AND regime_confidence <= 0.385 AND volatility >= 0.7166634134,3_atom_conjunction,2538,1682,0.6627265563,0.6440995506,140,124,0.8857142857,0.8224092536,587,375,0.6388415673,0.5991974032,110,92,0.8363636364,0.7561148837,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,110,0.5991974032
Bear,vix_ge_21.82999992__and__regime_confidence_le_0.385__and__volatility_ge_0.7166634134,vix >= 21.82999992 AND regime_confidence <= 0.385 AND volatility >= 0.7166634134,3_atom_conjunction,2389,1651,0.6910841356,0.6722618329,140,124,0.8857142857,0.8224092536,569,363,0.6379613357,0.5976697896,102,90,0.8823529412,0.805545761,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,102,0.5976697896
Bear,vix_ge_23.25__and__regime_confidence_le_0.385__and__volatility_ge_0.7166634134,vix >= 23.25 AND regime_confidence <= 0.385 AND volatility >= 0.7166634134,3_atom_conjunction,2212,1601,0.7237793852,0.7047703833,140,124,0.8857142857,0.8224092536,557,355,0.6373429084,0.5966020946,98,88,0.8979591837,0.8222723377,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,98,0.5966020946
Bear,vix_ge_29.98999977__and__returns_le_-0.0116448263__and__regime_confidence_le_0.385,vix >= 29.98999977 AND returns <= -0.0116448263 AND regime_confidence <= 0.385,3_atom_conjunction,2285,1566,0.6853391685,0.6660010148,342,223,0.6520467836,0.6001288589,570,363,0.6368421053,0.5965680084,54,44,0.8148148148,0.6916405222,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,54,0.5965680084
Bear,vix_ge_24.78000069__and__regime_confidence_le_0.385__and__volatility_ge_0.7166634134,vix >= 24.78000069 AND regime_confidence <= 0.385 AND volatility >= 0.7166634134,3_atom_conjunction,2045,1534,0.7501222494,0.7309007672,139,123,0.8848920863,0.8211891884,538,343,0.6375464684,0.5960838971,78,73,0.9358974359,0.8585640454,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,78,0.5960838971
Bear,volatility_ge_0.9564397693__and__vix_ge_19.45000076__and__regime_confidence_le_0.4,volatility >= 0.9564397693 AND vix >= 19.45000076 AND regime_confidence <= 0.4,3_atom_conjunction,1139,789,0.6927129061,0.6653085185,26,25,0.9615384615,0.811072211,328,212,0.6463414634,0.5931789203,33,28,0.8484848485,0.6908012412,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.5931789203
Bear,volatility_ge_0.9564397693__and__regime_confidence_le_0.4__and__vix_ge_18.37000084,volatility >= 0.9564397693 AND regime_confidence <= 0.4 AND vix >= 18.37000084,3_atom_conjunction,1156,793,0.6859861592,0.6586526325,26,25,0.9615384615,0.811072211,328,212,0.6463414634,0.5931789203,34,28,0.8235294118,0.664862626,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.5931789203
Bear,returns_le_-0.02126173967__and__vix_ge_26.60000038__and__regime_confidence_le_0.385,returns <= -0.02126173967 AND vix >= 26.60000038 AND regime_confidence <= 0.385,3_atom_conjunction,2108,1414,0.6707779886,0.6504224634,246,161,0.6544715447,0.593082442,594,386,0.6498316498,0.6106188885,47,40,0.8510638298,0.7231437758,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,47,0.593082442
Bear,regime_confidence_le_0.385__and__volatility_ge_0.7166634134__and__vix_ge_18.37000084,regime_confidence <= 0.385 AND volatility >= 0.7166634134 AND vix >= 18.37000084,3_atom_conjunction,2678,1722,0.643017177,0.6246782951,140,124,0.8857142857,0.8224092536,615,387,0.6292682927,0.5904028863,126,102,0.8095238095,0.7322059334,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,126,0.5904028863
Bear,vix_ge_26.60000038__and__regime_confidence_le_0.385__and__volatility_ge_0.7166634134,vix >= 26.60000038 AND regime_confidence <= 0.385 AND volatility >= 0.7166634134,3_atom_conjunction,1835,1399,0.7623978202,0.7423886908,138,122,0.884057971,0.8199522691,518,327,0.6312741313,0.5889022875,61,58,0.9508196721,0.8650887247,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,61,0.5889022875
Bear,vix_ge_29.98999977__and__returns_le_-0.008791377553__and__regime_confidence_le_0.385,vix >= 29.98999977 AND returns <= -0.008791377553 AND regime_confidence <= 0.385,3_atom_conjunction,2502,1683,0.6726618705,0.6540227839,384,252,0.65625,0.6074079981,617,387,0.6272285251,0.5883974035,57,47,0.8245614035,0.7063264717,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,57,0.5883974035
Bear,returns_le_-0.02126173967__and__vix_ge_23.25__and__regime_confidence_le_0.385,returns <= -0.02126173967 AND vix >= 23.25 AND regime_confidence <= 0.385,3_atom_conjunction,2940,1856,0.631292517,0.6136923645,311,200,0.6430868167,0.5883923844,843,526,0.6239620403,0.5907705183,72,54,0.75,0.639064926,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,72,0.5883923844
Bear,volatility_ge_0.9564397693__and__vix_ge_20.63999939__and__regime_confidence_le_0.4,volatility >= 0.9564397693 AND vix >= 20.63999939 AND regime_confidence <= 0.4,3_atom_conjunction,1115,784,0.7031390135,0.6756616898,26,25,0.9615384615,0.811072211,323,207,0.6408668731,0.5871743636,33,28,0.8484848485,0.6908012412,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.5871743636
Bear,vix_ge_24.78000069__and__returns_le_-0.01552237502__and__regime_confidence_le_0.385,vix >= 24.78000069 AND returns <= -0.01552237502 AND regime_confidence <= 0.385,3_atom_conjunction,3316,2057,0.6203256936,0.6036774779,437,275,0.6292906178,0.5830631278,961,599,0.6233090531,0.592239308,77,63,0.8181818182,0.7176371713,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,77,0.5830631278
Bear,vix_ge_29.98999977__and__regime_confidence_le_0.385__and__volatility_ge_0.7166634134,vix >= 29.98999977 AND regime_confidence <= 0.385 AND volatility >= 0.7166634134,3_atom_conjunction,1542,1197,0.7762645914,0.7547918775,133,117,0.8796992481,0.8135022231,466,292,0.6266094421,0.5818246664,45,43,0.9555555556,0.8517248923,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,45,0.5818246664
Bear,vix_ge_29.98999977__and__regime_confidence_le_0.385__and__returns_le_-0.006451652502,vix >= 29.98999977 AND regime_confidence <= 0.385 AND returns <= -0.006451652502,3_atom_conjunction,2703,1800,0.6659267481,0.6479212102,428,279,0.6518691589,0.6055677959,662,409,0.6178247734,0.5802302267,60,49,0.8166666667,0.7008024625,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,60,0.5802302267
Bear,vix_ge_29.98999977__and__volatility_ge_0.9564397693__and__regime_confidence_le_0.385,vix >= 29.98999977 AND volatility >= 0.9564397693 AND regime_confidence <= 0.385,3_atom_conjunction,733,582,0.7939972715,0.7632227178,26,25,0.9615384615,0.811072211,253,172,0.6798418972,0.6200326622,13,11,0.8461538462,0.5776536898,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,13,0.5776536898
Bear,vix_ge_29.98999977__and__volatility_ge_0.9564397693__and__regime_confidence_le_0.4,vix >= 29.98999977 AND volatility >= 0.9564397693 AND regime_confidence <= 0.4,3_atom_conjunction,745,582,0.7812080537,0.7501194367,26,25,0.9615384615,0.811072211,270,172,0.637037037,0.5781298473,13,11,0.8461538462,0.5776536898,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,13,0.5776536898
Bear,returns_le_-0.04801132328__and__vix_ge_26.60000038__and__regime_confidence_le_0.385,returns <= -0.04801132328 AND vix >= 26.60000038 AND regime_confidence <= 0.385,3_atom_conjunction,628,489,0.7786624204,0.7445536455,39,35,0.8974358974,0.7642114554,160,116,0.725,0.6511504496,13,11,0.8461538462,0.5776536898,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,13,0.5776536898
Bear,returns_le_-0.06284239557__and__vix_ge_23.25__and__regime_confidence_le_0.385,returns <= -0.06284239557 AND vix >= 23.25 AND regime_confidence <= 0.385,3_atom_conjunction,398,307,0.7713567839,0.7276200391,14,13,0.9285714286,0.6853129558,93,67,0.7204301075,0.621875783,13,11,0.8461538462,0.5776536898,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,13,0.5776536898
Bear,vix_ge_21.82999992__and__volatility_ge_0.9564397693__and__regime_confidence_le_0.4,vix >= 21.82999992 AND volatility >= 0.9564397693 AND regime_confidence <= 0.4,3_atom_conjunction,1070,776,0.7252336449,0.6977165293,26,25,0.9615384615,0.811072211,315,199,0.6317460317,0.5771922925,30,28,0.9333333333,0.7867654164,False,calibration_wilson95_below_0.95;heldout_market_support_below_50;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,26,0.5771922925
Bear,vix_ge_35.54000092__and__regime_confidence_le_0.333__and__returns_le_-0.008791377553,vix >= 35.54000092 AND regime_confidence <= 0.333 AND returns <= -0.008791377553,3_atom_conjunction,257,176,0.6848249027,0.6256572299,63,51,0.8095238095,0.6959321285,114,76,0.6666666667,0.5759479566,10,9,0.9,0.5958499732,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,10,0.5759479566
Bear,returns_le_-0.03190357354__and__vix_ge_24.78000069__and__regime_confidence_le_0.4,returns <= -0.03190357354 AND vix >= 24.78000069 AND regime_confidence <= 0.4,3_atom_conjunction,1625,1108,0.6818461538,0.6587943752,130,95,0.7307692308,0.6487085699,522,322,0.6168582375,0.5744436653,39,30,0.7692307692,0.6166374277,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_support_below_50;test_wilson95_below_0.95,39,0.5744436653
Bull,regime_confidence_ge_0.833__and__cpi_ge_246.626__and__vix_le_12.89000034,regime_confidence >= 0.833 AND cpi >= 246.626 AND vix <= 12.89000034,3_atom_conjunction,532,443,0.8327067669,0.7986296577,181,169,0.9337016575,0.8877053775,1116,975,0.873655914,0.8528731054,338,289,0.8550295858,0.8135051944,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,181,0.7986296577
Bull,regime_confidence_ge_0.833__and__cpi_ge_246.626__and__vix_le_15.59000015,regime_confidence >= 0.833 AND cpi >= 246.626 AND vix <= 15.59000015,3_atom_conjunction,535,445,0.8317757009,0.7977381446,435,370,0.8505747126,0.8140099121,2322,1945,0.8376399655,0.8220845336,1674,1439,0.8596176822,0.8421520171,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,435,0.7977381446
Bull,regime_confidence_ge_0.833__and__cpi_ge_246.626__and__vix_le_14.81000042,regime_confidence >= 0.833 AND cpi >= 246.626 AND vix <= 14.81000042,3_atom_conjunction,535,445,0.8317757009,0.7977381446,371,326,0.8787061995,0.8415484933,1969,1672,0.8491620112,0.8326749415,1251,1074,0.8585131894,0.8381009946,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,371,0.7977381446
Bull,regime_confidence_ge_0.833__and__cpi_ge_246.626__and__vix_le_14.06999969,regime_confidence >= 0.833 AND cpi >= 246.626 AND vix <= 14.06999969,3_atom_conjunction,535,445,0.8317757009,0.7977381446,311,287,0.922829582,0.8877451352,1735,1492,0.8599423631,0.8428158449,906,780,0.8609271523,0.836867898,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,311,0.7977381446
Bull,regime_confidence_ge_0.833__and__cpi_ge_246.626__and__vix_le_13.43000031,regime_confidence >= 0.833 AND cpi >= 246.626 AND vix <= 13.43000031,3_atom_conjunction,535,445,0.8317757009,0.7977381446,249,233,0.9357429719,0.8981813743,1439,1245,0.8651841557,0.8465627404,608,530,0.8717105263,0.8427763295,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,249,0.7977381446
Bull,regime_confidence_ge_0.833__and__vix_le_12.89000034__and__cpi_ge_238.992,regime_confidence >= 0.833 AND vix <= 12.89000034 AND cpi >= 238.992,3_atom_conjunction,2040,1547,0.7583333333,0.7392820806,297,237,0.797979798,0.7486452138,1116,975,0.873655914,0.8528731054,338,289,0.8550295858,0.8135051944,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,297,0.7392820806
Bull,regime_confidence_ge_0.833__and__cpi_ge_245.183__and__vix_le_12.89000034,regime_confidence >= 0.833 AND cpi >= 245.183 AND vix <= 12.89000034,3_atom_conjunction,796,608,0.7638190955,0.7330897906,209,180,0.8612440191,0.8078269084,1116,975,0.873655914,0.8528731054,338,289,0.8550295858,0.8135051944,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,209,0.7330897906
Bull,regime_confidence_ge_0.833__and__vix_le_13.43000031__and__cpi_ge_238.992,regime_confidence >= 0.833 AND vix <= 13.43000031 AND cpi >= 238.992,3_atom_conjunction,2222,1668,0.7506750675,0.7322646795,395,315,0.7974683544,0.7550580594,1439,1245,0.8651841557,0.8465627404,608,530,0.8717105263,0.8427763295,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,395,0.7322646795
Bull,regime_confidence_ge_0.833__and__cpi_ge_243.892__and__vix_le_13.43000031,regime_confidence >= 0.833 AND cpi >= 243.892 AND vix <= 13.43000031,3_atom_conjunction,1610,1209,0.750931677,0.7292261862,315,254,0.8063492063,0.7591272541,1439,1245,0.8651841557,0.8465627404,608,530,0.8717105263,0.8427763295,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,315,0.7292261862
Bull,regime_confidence_ge_0.833__and__cpi_ge_243.892__and__vix_le_14.06999969,regime_confidence >= 0.833 AND cpi >= 243.892 AND vix <= 14.06999969,3_atom_conjunction,1614,1211,0.7503097893,0.7286158781,378,308,0.8148148148,0.7725573427,1735,1492,0.8599423631,0.8428158449,906,780,0.8609271523,0.836867898,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,378,0.7286158781
Bull,regime_confidence_ge_0.833__and__cpi_ge_245.183__and__vix_le_14.06999969,regime_confidence >= 0.833 AND cpi >= 245.183 AND vix <= 14.06999969,3_atom_conjunction,805,611,0.7590062112,0.7282762491,341,298,0.8739002933,0.8344514645,1735,1492,0.8599423631,0.8428158449,906,780,0.8609271523,0.836867898,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,341,0.7282762491
Bull,regime_confidence_ge_0.833__and__cpi_ge_245.183__and__vix_le_13.43000031,regime_confidence >= 0.833 AND cpi >= 245.183 AND vix <= 13.43000031,3_atom_conjunction,805,611,0.7590062112,0.7282762491,279,244,0.8745519713,0.8305299345,1439,1245,0.8651841557,0.8465627404,608,530,0.8717105263,0.8427763295,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,279,0.7282762491
Bull,regime_confidence_ge_0.833__and__cpi_ge_243.892__and__vix_le_12.89000034,regime_confidence >= 0.833 AND cpi >= 243.892 AND vix <= 12.89000034,3_atom_conjunction,1590,1198,0.7534591195,0.7316801891,243,190,0.7818930041,0.7258029709,1116,975,0.873655914,0.8528731054,338,289,0.8550295858,0.8135051944,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,243,0.7258029709
Bull,regime_confidence_ge_0.833__and__cpi_ge_245.183__and__vix_le_14.81000042,regime_confidence >= 0.833 AND cpi >= 245.183 AND vix <= 14.81000042,3_atom_conjunction,810,612,0.7555555556,0.7247988767,403,337,0.8362282878,0.7969538932,1969,1672,0.8491620112,0.8326749415,1251,1074,0.8585131894,0.8381009946,False,calibration_wilson95_below_0.95;heldout_market_wilson95_below_0.95;heldout_time_wilson95_below_0.95;test_wilson95_below_0.95,403,0.7247988767
