ticker,instrument_class,root,daily_rows,covered
TMO,us_single_stock,Sideways,1626,true
TMO,us_single_stock,Crisis,501,true
TSLA,us_single_stock,Bull,1537,true
TSLA,us_single_stock,Bear,867,true
TSLA,us_single_stock,Sideways,272,true
TSLA,us_single_stock,Crisis,1244,true
UNH,us_single_stock,Bull,3388,true
UNH,us_single_stock,Bear,1225,true
UNH,us_single_stock,Sideways,1532,true
UNH,us_single_stock,Crisis,412,true
VZ,us_single_stock,Bull,2357,true
VZ,us_single_stock,Bear,1647,true
VZ,us_single_stock,Sideways,2166,true
VZ,us_single_stock,Crisis,388,true
WFC,us_single_stock,Bull,2709,true
WFC,us_single_stock,Bear,1441,true
WFC,us_single_stock,Sideways,1803,true
WFC,us_single_stock,Crisis,604,true
WMT,us_single_stock,Bull,2770,true
WMT,us_single_stock,Bear,1334,true
WMT,us_single_stock,Sideways,2150,true
WMT,us_single_stock,Crisis,304,true
XOM,us_single_stock,Bull,2627,true
XOM,us_single_stock,Bear,1658,true
XOM,us_single_stock,Sideways,2067,true
XOM,us_single_stock,Crisis,207,true
^DJI,us_index,Bull,3262,true
^DJI,us_index,Bear,968,true
^DJI,us_index,Sideways,2198,true
^DJI,us_index,Crisis,131,true
^GSPC,us_index,Bull,3339,true
^GSPC,us_index,Bear,1068,true
^GSPC,us_index,Sideways,1993,true
^GSPC,us_index,Crisis,159,true
^IXIC,us_index,Bull,3228,true
^IXIC,us_index,Bear,1281,true
^IXIC,us_index,Sideways,1588,true
^IXIC,us_index,Crisis,462,true
^RUT,us_index,Bull,2957,true
^RUT,us_index,Bear,1318,true
^RUT,us_index,Sideways,2007,true
^RUT,us_index,Crisis,277,true
