node,state,rows,wins,losses,win_rate,total_pnl,avg_pnl,accepted_candidate,rejection_reasons
source_provider_x_branch_path,yfinance | Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,13,7,6,0.538462,183.076815,14.082832,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,ibkr_paxos_long_midpoint | Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,12,3,9,0.25,-26.715788,-2.226316,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,tvr_default_binance | Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,12,2,10,0.166667,-146.993745,-12.249479,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,kraken_public | Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,9,2,7,0.222222,-71.156648,-7.906294,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
source_provider_x_branch_path,yfinance | Range -> ProviderCryptoPullback -> MeanRevertBounce -> ProviderCryptoPullbackRevertV1,8,3,5,0.375,-18.270854,-2.283857,False,best_group_rows_below_30;best_group_not_cross_provider_stable;best_group_win_rate_below_0_95
chronological_quartile,Q1,60,30,30,0.5,852.674356,14.211239,False,chronological_outcomes_unstable;worst_quartile_collapse;does_not_supply_cross_period_regime_lift
chronological_quartile,Q2,59,24,35,0.40678,-0.444799,-0.007539,False,chronological_outcomes_unstable;worst_quartile_collapse;does_not_supply_cross_period_regime_lift
chronological_quartile,Q3,59,3,56,0.050847,-977.165008,-16.562119,False,chronological_outcomes_unstable;worst_quartile_collapse;does_not_supply_cross_period_regime_lift
chronological_quartile,Q4,59,24,35,0.40678,-59.063304,-1.001073,False,chronological_outcomes_unstable;worst_quartile_collapse;does_not_supply_cross_period_regime_lift
factor_weighted_score_sign,negative_or_zero_score,156,0,156,0.0,-3923.672574,-25.151747,False,post_trade_pnl_label_leakage;weighted_score_equals_realized_pnl_for_all_rows;not_admissible_as_pre_trade_bbn_node
factor_weighted_score_sign,positive_score,81,81,0,1.0,3739.67382,46.168813,False,post_trade_pnl_label_leakage;weighted_score_equals_realized_pnl_for_all_rows;not_admissible_as_pre_trade_bbn_node
pre_bayes_canonical_regime,range,237,81,156,0.341772,-183.998755,-0.776366,False,constant_state_range;pre_bayes_gate_pass_neutralized;no_cross_regime_separator_in_current_packet
execution_status_tuple,"('execution_blocked', 'observe', False, False)",237,81,156,0.341772,-183.998755,-0.776366,False,constant_fail_closed_execution_status;ready_false_actionable_false_review_observe;cannot_promote_without_execution_admissibility
